wl,n
0.2100,0.240
0.2200,0.223
0.2300,0.217
0.2400,0.215
0.2500,0.217
0.2600,0.223
0.2700,0.231
0.2800,0.242
0.2900,0.252
0.3000,0.263
0.3100,0.276
0.3200,0.287
0.3300,0.301
0.3400,0.312
0.3500,0.329
0.3600,0.343
0.3700,0.359
0.3800,0.378
0.3900,0.400
0.4000,0.420
0.4100,0.442
0.4200,0.463
0.4300,0.485
0.4400,0.508
0.4500,0.531
0.4600,0.557
0.4700,0.584
0.4800,0.612
0.4900,0.639
0.5000,0.668
0.5100,0.698
0.5200,0.729
0.5300,0.762
0.5400,0.796
0.5500,0.830
0.5600,0.864
0.5700,0.899
0.5800,0.936
0.5900,0.977
0.6000,1.019
0.6100,1.062
0.6200,1.106
0.6300,1.153
0.6400,1.203
0.6500,1.258
0.6600,1.314
0.6700,1.370
0.6800,1.427
0.6900,1.488
0.7000,1.551
0.7100,1.618
0.7200,1.687
0.7300,1.759
0.7400,1.833
0.7500,1.910
0.7600,1.990
0.7700,2.068
0.7800,2.139
0.7900,2.198
0.8000,2.239
0.8101,2.262
0.8200,2.262
0.8300,2.234
0.8400,2.180
0.8500,2.104
0.8600,2.014
0.8700,1.918
0.8800,1.820
0.8900,1.727
0.9000,1.640
0.9100,1.560
0.9200,1.489
0.9300,1.427
0.9400,1.373
0.9500,1.326
0.9600,1.285
0.9700,1.250
0.9800,1.220
0.9900,1.194
1.0000,1.171
1.0100,1.151
1.0200,1.132
1.0300,1.117
1.0400,1.103
1.0500,1.093
1.0600,1.085
1.0700,1.077
1.0800,1.072
1.0900,1.069
1.1000,1.068
1.1100,1.068
1.1200,1.070
1.1300,1.072
1.1400,1.075
1.1500,1.080
1.1600,1.083
1.1700,1.085
1.1800,1.087
1.1900,1.088
1.2000,1.091
1.2100,1.091
1.2200,1.098
1.2300,1.105
1.2400,1.114
1.2500,1.122
1.2600,1.130
1.2700,1.139
1.2800,1.150
1.2900,1.164
1.3000,1.178
1.3100,1.193
1.3200,1.206
1.3300,1.219
1.3400,1.231
1.3500,1.244
1.3600,1.255
1.3700,1.265
1.3800,1.278
1.3900,1.291
1.4000,1.303
1.4100,1.320
1.4200,1.334
1.4300,1.348
1.4400,1.363
1.4500,1.375
1.4600,1.391
1.4700,1.408
1.4800,1.425
1.4900,1.442
1.5000,1.464
1.5100,1.483
1.5200,1.504
1.5300,1.520
1.5400,1.533
1.5500,1.550
1.5600,1.565
1.5700,1.588
1.5800,1.616
1.5900,1.638
1.6000,1.660
1.6100,1.683
1.6200,1.705
1.6300,1.727
1.6400,1.750
1.6500,1.773
1.6600,1.795
1.6700,1.818
1.6800,1.841
1.6900,1.864
1.7000,1.887
1.7100,1.910
1.7200,1.934
1.7300,1.957
1.7400,1.981
1.7500,2.004
1.7600,2.028
1.7700,2.052
1.7800,2.076
1.7900,2.100
1.8000,2.124
1.8100,2.148
1.8200,2.172
1.8300,2.193
1.8400,2.218
1.8500,2.243
1.8600,2.268
1.8700,2.293
1.8800,2.318
1.8900,2.343
1.9000,2.368
1.9100,2.394
1.9200,2.419
1.9300,2.445
1.9400,2.471
1.9500,2.496
1.9600,2.522
1.9700,2.548
1.9800,2.575
1.9900,2.601
2.0000,2.627
2.0100,2.654
2.0200,2.680
2.0300,2.707
2.0400,2.734
2.0500,2.761
2.0600,2.788
2.0700,2.815
2.0800,2.842
2.0900,2.869
2.1000,2.897
2.1100,2.924
2.1200,2.952
2.1300,2.980
2.1400,3.008
2.1500,3.036
2.1600,3.064
2.1700,3.092
2.1800,3.120
2.1900,3.148
2.2000,3.177
2.2100,3.205
2.2200,3.234
2.2300,3.263
2.2400,3.292
2.2500,3.320
2.2600,3.349
2.2700,3.378
2.2800,3.406
2.2900,3.431
2.3000,3.461
2.3100,3.491
2.3200,3.521
2.3300,3.551
2.3400,3.581
2.3500,3.611
2.3600,3.641
2.3700,3.671
2.3800,3.702
2.3900,3.732
2.4000,3.762
2.4100,3.793
2.4200,3.824
2.4300,3.854
2.4400,3.885
2.4500,3.916
2.4600,3.947
2.4700,3.978
2.4800,4.009
2.4900,4.040
2.5000,4.063
2.5063,4.084
2.5126,4.105
2.5189,4.125
2.5253,4.145
2.5316,4.165
2.5381,4.186
2.5445,4.207
2.5510,4.227
2.5575,4.248
2.5641,4.269
2.5707,4.290
2.5773,4.312
2.5840,4.333
2.5907,4.355
2.5974,4.376
2.6042,4.398
2.6110,4.420
2.6178,4.442
2.6247,4.464
2.6316,4.486
2.6385,4.508
2.6455,4.530
2.6525,4.545
2.6596,4.569
2.6667,4.593
2.6738,4.616
2.6810,4.640
2.6882,4.663
2.6954,4.686
2.7027,4.702
2.7100,4.728
2.7174,4.752
2.7248,4.776
2.7322,4.793
2.7397,4.819
2.7473,4.844
2.7548,4.869
2.7624,4.887
2.7701,4.914
2.7778,4.940
2.7855,4.965
2.7933,4.984
2.8011,5.011
2.8090,5.038
2.8169,5.057
2.8249,5.086
2.8329,5.114
2.8409,5.141
2.8490,5.161
2.8571,5.191
2.8653,5.220
2.8736,5.248
2.8818,5.269
2.8902,5.300
2.8986,5.330
2.9070,5.360
2.9155,5.390
2.9240,5.420
2.9326,5.442
2.9412,5.475
2.9499,5.539
2.9499,5.507
2.9674,5.571
2.9762,5.603
2.9851,5.636
2.9940,5.669
3.0030,5.702
3.0120,5.735
3.0211,5.768
3.0303,5.802
3.0395,5.836
3.0488,5.871
3.0581,5.905
3.0675,5.940
3.0769,5.976
3.0864,6.011
3.0960,6.048
3.1056,6.085
3.1153,6.132
3.1250,6.166
3.1348,6.202
3.1447,6.238
3.1546,6.276
3.1646,6.313
3.1746,6.351
3.1847,6.389
3.1949,6.427
3.2051,6.466
3.2154,6.505
3.2258,6.545
3.2362,6.585
3.2468,6.625
3.2573,6.665
3.2680,6.706
3.2787,6.747
3.2895,6.789
3.3003,6.831
3.3113,6.873
3.3223,6.916
3.3333,6.959
3.3445,7.003
3.3557,7.046
3.3670,7.091
3.3784,7.135
3.3898,7.180
3.4014,7.225
3.4130,7.271
3.4247,7.317
3.4364,7.364
3.4483,7.410
3.4602,7.457
3.4722,7.504
3.4843,7.550
3.4965,7.587
3.5088,7.639
3.5211,7.690
3.5336,7.741
3.5461,7.792
3.5587,7.844
3.5714,7.896
3.5842,7.948
3.5971,8.001
3.6101,8.054
3.6232,8.108
3.6364,8.162
3.6496,8.217
3.6630,8.272
3.6765,8.328
3.6900,8.384
3.7037,8.441
3.7175,8.498
3.7453,8.614
3.7594,8.673
3.7594,8.556
3.7736,8.732
3.7879,8.792
3.8023,8.852
3.8168,8.913
3.8314,8.975
3.8462,9.037
3.8610,9.099
3.8760,9.162
3.8911,9.226
3.9063,9.290
3.9216,9.354
3.9370,9.418
3.9526,9.480
3.9683,9.533
3.9841,9.603
4.0000,9.672
4.0161,9.741
4.0323,9.810
4.0486,9.879
4.0650,9.946
4.0816,10.002
4.0984,10.077
4.1152,10.149
4.1322,10.219
4.1494,10.277
4.1667,10.332
4.1841,10.414
4.2017,10.494
4.2194,10.569
4.2373,10.631
4.2553,10.711
4.2735,10.777
4.2918,10.862
4.3103,10.942
4.3290,11.008
4.3478,11.093
4.3668,11.162
4.3860,11.250
4.4053,11.322
4.4248,11.415
4.4444,11.501
4.4643,11.572
4.4843,11.652
4.5045,11.750
4.5249,11.842
4.5455,11.921
4.5662,12.018
4.5872,12.100
4.6083,12.201
4.6296,12.287
4.6512,12.394
4.6729,12.496
4.6948,12.584
4.7170,12.695
4.7393,12.801
4.7619,12.893
4.7847,13.009
4.8077,13.122
4.8309,13.232
4.8544,13.329
4.8780,13.452
4.9020,13.571
4.9261,13.687
4.9505,13.790
4.9751,13.920
5.0000,14.048
5.0251,14.176
5.0505,14.305
5.0761,14.436
5.1020,14.568
5.1282,14.701
5.1546,14.836
5.1813,14.972
5.2083,15.110
5.2356,15.250
5.2632,15.392
5.2910,15.535
5.3191,15.681
5.3476,15.831
5.3763,15.986
5.4054,16.158
5.4348,16.302
5.4645,16.453
5.4945,16.606
5.5249,16.763
5.5556,16.924
5.5866,17.091
5.6180,17.276
5.6497,17.431
5.6818,17.593
5.7143,17.758
5.7471,17.926
5.7803,18.097
5.8140,18.269
5.8480,18.444
5.8824,18.622
5.9172,18.801
5.9524,18.982
5.9880,19.166
6.0241,19.351
6.0606,19.539
6.0976,19.728
6.1350,19.917
6.1728,20.102
6.2112,20.273
6.2500,20.483
6.2893,20.687
6.3291,20.885
6.3694,21.069
6.4103,21.292
6.4516,21.508
6.4935,21.716
6.5359,21.911
6.5789,22.145
6.6225,22.365
6.6667,22.571
6.7114,22.816
6.7568,23.047
6.8027,23.262
6.8493,23.518
6.8966,23.758
6.9444,23.982
6.9930,24.240
7.0423,24.474
7.0922,24.743
7.1429,24.988
7.1942,25.267
7.2464,25.524
7.2993,25.824
7.3529,26.105
7.4074,26.372
7.4627,26.684
7.5188,26.979
7.5758,27.259
7.6336,27.586
7.6923,27.894
7.7519,28.189
7.8125,28.531
7.8740,28.855
7.9365,29.165
8.0000,29.524
8.0645,29.864
8.1301,30.192
8.1967,30.572
8.2645,30.941
8.3333,31.297
8.4034,31.643
8.4746,32.044
8.5470,32.432
8.6207,32.807
8.6957,33.171
8.7719,33.578
8.8496,33.963
8.9286,34.402
9.0090,34.814
9.0909,35.216
9.1743,35.672
9.2593,36.100
9.3458,36.516
9.4340,36.975
9.5238,37.410
9.6154,37.885
9.7087,38.335
9.8039,38.825
9.9010,39.289
10.0000,39.791
10.1010,40.253
10.2041,40.762
10.3093,41.294
10.4167,41.779
10.5263,42.300
10.6383,42.856
10.7527,43.429
10.8696,43.951
10.9890,44.505
11.1111,45.078
11.2360,45.665
11.3636,46.265
11.4943,46.879
11.6279,47.505
11.7647,48.140
11.9048,48.767
12.0482,49.415
12.1951,50.148
12.3457,50.874
12.5000,51.611

wl,k
0.2100,1.976
0.2200,2.084
0.2300,2.199
0.2400,2.315
0.2500,2.433
0.2600,2.549
0.2700,2.665
0.2800,2.778
0.2900,2.891
0.3000,3.003
0.3100,3.114
0.3200,3.224
0.3300,3.336
0.3400,3.445
0.3500,3.557
0.3600,3.667
0.3700,3.779
0.3800,3.891
0.3900,4.001
0.4000,4.108
0.4100,4.216
0.4200,4.322
0.4300,4.429
0.4400,4.536
0.4500,4.643
0.4600,4.750
0.4700,4.856
0.4800,4.960
0.4900,5.064
0.5000,5.168
0.5100,5.272
0.5200,5.375
0.5300,5.476
0.5400,5.577
0.5500,5.676
0.5600,5.776
0.5700,5.876
0.5800,5.976
0.5900,6.075
0.6000,6.173
0.6100,6.268
0.6200,6.363
0.6300,6.457
0.6400,6.551
0.6500,6.641
0.6600,6.726
0.6700,6.808
0.6800,6.889
0.6900,6.966
0.7000,7.041
0.7100,7.111
0.7200,7.174
0.7300,7.232
0.7400,7.282
0.7500,7.324
0.7600,7.352
0.7700,7.365
0.7800,7.359
0.7900,7.339
0.8000,7.306
0.8101,7.264
0.8200,7.214
0.8300,7.166
0.8400,7.127
0.8500,7.107
0.8600,7.107
0.8700,7.131
0.8800,7.175
0.8900,7.238
0.9000,7.316
0.9100,7.405
0.9200,7.502
0.9300,7.607
0.9400,7.715
0.9500,7.826
0.9600,7.939
0.9700,8.051
0.9800,8.165
0.9900,8.277
1.0000,8.389
1.0100,8.500
1.0200,8.614
1.0300,8.726
1.0400,8.839
1.0500,8.951
1.0600,9.063
1.0700,9.174
1.0800,9.294
1.0900,9.395
1.1000,9.505
1.1100,9.614
1.1200,9.722
1.1300,9.828
1.1400,9.933
1.1500,10.037
1.1600,10.141
1.1700,10.243
1.1800,10.346
1.1900,10.449
1.2000,10.553
