wl,n,k
0.24797,0.85637,2.0847
0.24934,0.86098,2.1028
0.25072,0.86575,2.1208
0.25211,0.87067,2.1388
0.25351,0.87575,2.1567
0.25492,0.88097,2.1746
0.25633,0.88634,2.1925
0.25775,0.89186,2.2104
0.25918,0.89752,2.2282
0.26061,0.90332,2.246
0.26206,0.90926,2.2638
0.26351,0.91535,2.2816
0.26497,0.92157,2.2993
0.26644,0.92793,2.317
0.26792,0.93443,2.3347
0.2694,0.94106,2.3523
0.2709,0.94783,2.37
0.2724,0.95474,2.3876
0.27391,0.96177,2.4052
0.27542,0.96894,2.4228
0.27695,0.97625,2.4403
0.27849,0.98368,2.4579
0.28003,0.99125,2.4754
0.28158,0.99895,2.4929
0.28314,1.0068,2.5104
0.28471,1.0147,2.5279
0.28629,1.0228,2.5454
0.28788,1.0311,2.5628
0.28947,1.0394,2.5803
0.29108,1.0479,2.5977
0.29269,1.0565,2.6151
0.29431,1.0653,2.6325
0.29594,1.0741,2.6499
0.29758,1.0831,2.6673
0.29923,1.0923,2.6846
0.30089,1.1015,2.7019
0.30256,1.1109,2.7193
0.30423,1.1205,2.7366
0.30592,1.1301,2.7539
0.30762,1.1399,2.7711
0.30932,1.1499,2.7884
0.31104,1.1599,2.8056
0.31276,1.1701,2.8229
0.31449,1.1804,2.8401
0.31624,1.1909,2.8573
0.31799,1.2015,2.8744
0.31975,1.2122,2.8916
0.32152,1.2231,2.9087
0.32331,1.2341,2.9258
0.3251,1.2452,2.9429
0.3269,1.2565,2.96
0.32871,1.2679,2.977
0.33053,1.2794,2.994
0.33236,1.2911,3.011
0.33421,1.3029,3.028
0.33606,1.3149,3.045
0.33792,1.327,3.0619
0.33979,1.3392,3.0788
0.34168,1.3515,3.0956
0.34357,1.364,3.1125
0.34548,1.3767,3.1293
0.34739,1.3895,3.146
0.34932,1.4024,3.1627
0.35125,1.4154,3.1794
0.3532,1.4287,3.1961
0.35516,1.442,3.2127
0.35712,1.4555,3.2293
0.3591,1.4691,3.2458
0.36109,1.4829,3.2623
0.36309,1.4968,3.2788
0.36511,1.5108,3.2952
0.36713,1.525,3.3115
0.36917,1.5393,3.3278
0.37121,1.5538,3.3441
0.37327,1.5684,3.3603
0.37534,1.5832,3.3764
0.37742,1.5981,3.3925
0.37951,1.6132,3.4085
0.38161,1.6283,3.4245
0.38373,1.6437,3.4404
0.38585,1.6591,3.4562
0.38799,1.6748,3.472
0.39014,1.6905,3.4877
0.39231,1.7064,3.5034
0.39448,1.7225,3.5189
0.39667,1.7386,3.5344
0.39886,1.755,3.5498
0.40108,1.7714,3.5652
0.4033,1.788,3.5804
0.40553,1.8048,3.5956
0.40778,1.8216,3.6107
0.41004,1.8387,3.6256
0.41231,1.8558,3.6405
0.4146,1.8731,3.6554
0.4169,1.8905,3.6701
0.41921,1.9081,3.6847
0.42153,1.9258,3.6992
0.42387,1.9436,3.7136
0.42622,1.9616,3.7279
0.42858,1.9797,3.7421
0.43095,1.9979,3.7562
0.43334,2.0163,3.7702
0.43574,2.0347,3.784
0.43816,2.0533,3.7978
0.44059,2.0721,3.8114
0.44303,2.0909,3.8249
0.44548,2.1099,3.8383
0.44795,2.129,3.8515
0.45044,2.1482,3.8646
0.45293,2.1676,3.8776
0.45544,2.187,3.8905
0.45797,2.2066,3.9032
0.46051,2.2262,3.9157
0.46306,2.246,3.9282
0.46562,2.2659,3.9404
0.4682,2.2859,3.9526
0.4708,2.306,3.9645
0.47341,2.3262,3.9764
0.47603,2.3465,3.988
0.47867,2.3668,3.9996
0.48132,2.3873,4.0109
0.48399,2.4079,4.0221
0.48667,2.4285,4.0331
0.48937,2.4493,4.044
0.49208,2.4701,4.0547
0.49481,2.491,4.0652
0.49755,2.5119,4.0756
0.50031,2.533,4.0857
0.50308,2.5541,4.0957
0.50587,2.5752,4.1055
0.50868,2.5964,4.1152
0.51149,2.6177,4.1246
0.51433,2.6391,4.1339
0.51718,2.6605,4.143
0.52005,2.6819,4.1519
0.52293,2.7034,4.1606
0.52583,2.7249,4.1691
0.52874,2.7464,4.1774
0.53167,2.768,4.1856
0.53462,2.7896,4.1935
0.53758,2.8112,4.2012
0.54056,2.8329,4.2088
0.54356,2.8545,4.2161
0.54657,2.8762,4.2233
0.5496,2.8979,4.2302
0.55264,2.9196,4.237
0.55571,2.9412,4.2435
0.55879,2.9629,4.2499
0.56188,2.9845,4.256
0.565,3.0062,4.262
0.56813,3.0278,4.2677
0.57128,3.0494,4.2733
0.57444,3.0709,4.2786
0.57763,3.0924,4.2838
0.58083,3.1139,4.2887
0.58405,3.1353,4.2935
0.58729,3.1567,4.298
0.59054,3.1781,4.3024
0.59381,3.1993,4.3065
0.5971,3.2205,4.3105
0.60041,3.2417,4.3143
0.60374,3.2627,4.3178
0.60709,3.2837,4.3212
0.61045,3.3046,4.3244
0.61384,3.3254,4.3274
0.61724,3.3462,4.3302
0.62066,3.3668,4.3328
0.6241,3.3873,4.3352
0.62756,3.4078,4.3375
0.63104,3.4281,4.3395
0.63453,3.4483,4.3414
0.63805,3.4684,4.3431
0.64159,3.4883,4.3447
0.64514,3.5081,4.346
0.64872,3.5278,4.3472
0.65231,3.5474,4.3483
0.65593,3.5668,4.3491
0.65956,3.5861,4.3499
0.66322,3.6052,4.3504
0.66689,3.6242,4.3508
0.67059,3.643,4.3511
0.67431,3.6617,4.3512
0.67804,3.6802,4.3511
0.6818,3.6985,4.3509
0.68558,3.7167,4.3506
0.68938,3.7347,4.3502
0.6932,3.7525,4.3496
0.69704,3.7702,4.3489
0.70091,3.7876,4.3481
0.70479,3.8049,4.3471
0.7087,3.8219,4.3461
0.71263,3.8388,4.3449
0.71657,3.8555,4.3436
0.72055,3.872,4.3423
0.72454,3.8883,4.3408
0.72856,3.9044,4.3392
0.73259,3.9203,4.3376
0.73665,3.9359,4.3359
0.74074,3.9514,4.3341
0.74484,3.9667,4.3322
0.74897,3.9817,4.3302
0.75312,3.9965,4.3282
0.75729,4.0111,4.3261
0.76149,4.0255,4.324
0.76571,4.0397,4.3218
0.76996,4.0537,4.3196
0.77422,4.0674,4.3173
0.77851,4.0809,4.315
0.78283,4.0942,4.3126
0.78717,4.1072,4.3102
0.79153,4.12,4.3078
0.79592,4.1326,4.3054
0.80033,4.145,4.3029
0.80476,4.1571,4.3005
0.80922,4.169,4.298
0.81371,4.1807,4.2956
0.81822,4.1922,4.2931
0.82275,4.2034,4.2907
0.82731,4.2144,4.2882
0.8319,4.2251,4.2858
0.83651,4.2356,4.2834
0.84115,4.2459,4.281
0.84581,4.256,4.2787
0.8505,4.2658,4.2764
0.85521,4.2754,4.2741
0.85995,4.2848,4.2719
0.86472,4.2939,4.2697
0.86951,4.3028,4.2676
0.87433,4.3115,4.2655
0.87917,4.3199,4.2635
0.88405,4.3281,4.2615
0.88895,4.3361,4.2596
0.89387,4.3439,4.2578
0.89883,4.3514,4.2561
0.90381,4.3588,4.2544
0.90882,4.3659,4.2529
0.91385,4.3727,4.2514
0.91892,4.3794,4.25
0.92401,4.3858,4.2487
0.92913,4.392,4.2475
0.93428,4.398,4.2464
0.93946,4.4038,4.2454
0.94467,4.4094,4.2445
0.9499,4.4148,4.2438
0.95517,4.4199,4.2431
0.96046,4.4249,4.2426
0.96578,4.4296,4.2422
0.97114,4.4341,4.2419
0.97652,4.4384,4.2418
0.98193,4.4426,4.2417
0.98737,4.4465,4.2419
0.99285,4.4502,4.2421
0.99835,4.4537,4.2425
1.0039,4.457,4.2431
1.0094,4.4602,4.2438
1.015,4.4631,4.2446
1.0207,4.4658,4.2456
1.0263,4.4684,4.2468
1.032,4.4708,4.2481
1.0377,4.473,4.2496
1.0435,4.475,4.2513
1.0493,4.4768,4.2531
1.0551,4.4784,4.2551
1.0609,4.4799,4.2572
1.0668,4.4812,4.2596
1.0727,4.4823,4.2621
1.0787,4.4833,4.2648
1.0846,4.484,4.2677
1.0907,4.4846,4.2707
1.0967,4.4851,4.274
1.1028,4.4854,4.2774
1.1089,4.4855,4.2811
1.115,4.4855,4.2849
1.1212,4.4853,4.2889
1.1274,4.4849,4.2932
1.1337,4.4844,4.2976
1.14,4.4838,4.3022
1.1463,4.483,4.307
1.1526,4.482,4.3121
1.159,4.4809,4.3173
1.1654,4.4797,4.3228
1.1719,4.4783,4.3285
1.1784,4.4768,4.3344
1.1849,4.4752,4.3405
1.1915,4.4734,4.3468
1.1981,4.4715,4.3533
1.2047,4.4694,4.3601
1.2114,4.4673,4.3671
1.2181,4.465,4.3743
1.2249,4.4625,4.3817
1.2317,4.46,4.3894
1.2385,4.4573,4.3973
1.2454,4.4546,4.4054
1.2523,4.4517,4.4137
1.2592,4.4487,4.4223
1.2662,4.4455,4.4311
1.2732,4.4423,4.4402
1.2803,4.439,4.4495
1.2874,4.4355,4.459
1.2945,4.432,4.4688
1.3017,4.4284,4.4788
1.3089,4.4246,4.489
1.3161,4.4208,4.4995
1.3234,4.4168,4.5103
1.3308,4.4128,4.5213
1.3381,4.4087,4.5325
1.3456,4.4045,4.544
1.353,4.4002,4.5557
1.3605,4.3958,4.5677
1.368,4.3913,4.5799
1.3756,4.3868,4.5924
1.3833,4.3822,4.6052
1.3909,4.3774,4.6181
1.3986,4.3727,4.6314
1.4064,4.3678,4.6449
1.4142,4.3629,4.6587
1.422,4.3579,4.6727
1.4299,4.3528,4.687
1.4378,4.3477,4.7015
1.4458,4.3425,4.7163
1.4538,4.3372,4.7313
1.4619,4.3319,4.7467
1.47,4.3265,4.7623
1.4781,4.3211,4.7781
1.4863,4.3156,4.7942
1.4945,4.31,4.8106
1.5028,4.3044,4.8272
1.5112,4.2988,4.8441
1.5195,4.293,4.8613
1.5279,4.2873,4.8788
1.5364,4.2815,4.8965
1.5449,4.2756,4.9145
1.5535,4.2698,4.9327
1.5621,4.2638,4.9512
1.5708,4.2579,4.97
1.5795,4.2519,4.9891
1.5882,4.2458,5.0084
1.597,4.2397,5.0281
1.6059,4.2336,5.0479
1.6148,4.2275,5.0681
1.6237,4.2213,5.0885
1.6327,4.2151,5.1092
1.6418,4.2089,5.1302
1.6509,4.2026,5.1515
1.66,4.1964,5.173
1.6692,4.1901,5.1948
1.6785,4.1837,5.2169
1.6878,4.1774,5.2393
1.6971,4.171,5.2619
1.7065,4.1646,5.2849
1.716,4.1582,5.3081
1.7255,4.1518,5.3315
1.7351,4.1454,5.3553
1.7447,4.139,5.3794
1.7544,4.1325,5.4037
1.7641,4.1261,5.4283
1.7739,4.1196,5.4532
1.7837,4.1131,5.4784
1.7936,4.1066,5.5038
1.8035,4.1001,5.5295
1.8135,4.0937,5.5556
1.8236,4.0872,5.5819
1.8337,4.0807,5.6085
1.8438,4.0742,5.6353
1.854,4.0677,5.6625
1.8643,4.0612,5.69
1.8747,4.0547,5.7177
1.885,4.0482,5.7457
1.8955,4.0417,5.774
1.906,4.0352,5.8026
1.9166,4.0288,5.8315
1.9272,4.0223,5.8607
1.9379,4.0159,5.8901
1.9486,4.0094,5.9199
1.9594,4.003,5.9499
1.9703,3.9966,5.9803
1.9812,3.9901,6.0109
1.9922,3.9838,6.0418
2.0032,3.9774,6.073
2.0143,3.971,6.1045
2.0255,3.9647,6.1363
2.0367,3.9583,6.1684
2.048,3.952,6.2008
2.0593,3.9457,6.2335
2.0707,3.9394,6.2665
