wl,n
12.398,11.985
12.146,11.548
11.899,11.127
11.656,10.723
11.419,10.334
11.186,9.9606
10.959,9.6017
10.735,9.257
10.517,8.9261
10.303,8.6086
10.093,8.3039
9.8873,8.0117
9.6859,7.7316
9.4887,7.4632
9.2954,7.2061
9.1061,6.96
8.9207,6.7244
8.739,6.499
8.5611,6.2835
8.3867,6.0776
8.2159,5.8808
8.0486,5.6929
7.8847,5.5136
7.7242,5.3425
7.5669,5.1794
7.4128,5.0239
7.2618,4.8758
7.1139,4.7346
6.9691,4.6002
6.8271,4.4722
6.6881,4.3504
6.5519,4.2344
6.4185,4.1239
6.2878,4.0186
6.1597,3.9182
6.0343,3.8223
5.9114,3.7308
5.791,3.6432
5.6731,3.5593
5.5576,3.4787
5.4444,3.4011
5.3335,3.3261
5.2249,3.2536
5.1185,3.1832
5.0143,3.1145
4.9122,3.0474
4.8121,2.9816
4.7141,2.9168
4.6181,2.8529
4.5241,2.7895
4.4319,2.7267
4.3417,2.6641
4.2533,2.6018
4.1667,2.5396
4.0818,2.4775
3.9987,2.4154
3.9173,2.3534
3.8375,2.2914
3.7593,2.2296
3.6828,2.1679
3.6078,2.1064
3.5343,2.0452
3.4623,1.9844
3.3918,1.9241
3.3228,1.8643
3.2551,1.8053
3.1888,1.747
3.1239,1.6896
3.0602,1.6332
2.9979,1.5778
2.9369,1.5235
2.8771,1.4704
2.8185,1.4185
2.7611,1.3679
2.7049,1.3186
2.6498,1.2707
2.5958,1.2241
2.543,1.1789
2.4912,1.1351
2.4404,1.0926
2.3907,1.0516
2.3421,1.0119
2.2944,0.97364
2.2476,0.93669
2.2019,0.90106
2.157,0.86674
2.1131,0.8337
2.0701,0.80191
2.0279,0.77134
1.9866,0.74195
1.9462,0.71373
1.9065,0.68664
1.8677,0.66064
1.8297,0.6357
1.7924,0.6118
1.7559,0.5889
1.7201,0.56696
1.6851,0.54596
1.6508,0.52587
1.6172,0.50666
1.5842,0.4883
1.552,0.47077
1.5204,0.45403
1.4894,0.43806
1.4591,0.42284
1.4294,0.40834
1.4003,0.39454
1.3717,0.38142
1.3438,0.36896
1.3164,0.35714
1.2896,0.34595
1.2634,0.33536
1.2376,0.32537
1.2124,0.31595
1.1878,0.30709
1.1636,0.2988
1.1399,0.29104
1.1167,0.28382
1.0939,0.27713
1.0716,0.27096
1.0498,0.26532
1.0284,0.26019
1.0075,0.25557
0.98698,0.25148
0.96688,0.24791
0.94719,0.24487
0.9279,0.24237
0.909,0.24042
0.89049,0.23904
0.87236,0.23825
0.85459,0.23807
0.83719,0.23853
0.82014,0.23965
0.80344,0.24149
0.78708,0.24409
0.77105,0.24751
0.75535,0.2518
0.73997,0.25706
0.7249,0.26336
0.71014,0.27081
0.69567,0.27955
0.68151,0.28971
0.66763,0.30149
0.65403,0.31507
0.64071,0.33072
0.62767,0.34872
0.61488,0.36943
0.60236,0.39326
0.5901,0.42068
0.57808,0.45227
0.56631,0.48865
0.55477,0.53052
0.54348,0.57861
0.53241,0.63358
0.52157,0.6959
0.51094,0.7656
0.50054,0.84204
0.49035,0.92356
0.48036,1.0073
0.47058,1.0892
0.461,1.1644
0.45161,1.2279
0.44241,1.2752
0.4334,1.3036
0.42458,1.3123
0.41593,1.3033
0.40746,1.2805
0.39916,1.2496
0.39103,1.2163
0.38307,1.1854
0.37527,1.1608
0.36763,1.1448
0.36014,1.1386
0.35281,1.1423
0.34562,1.1556
0.33858,1.1776
0.33169,1.2068
0.32493,1.2418
0.31832,1.2807
0.31183,1.3219
0.30548,1.3636
0.29926,1.4041
0.29317,1.4419
0.2872,1.4758
0.28135,1.5045
0.27562,1.527
0.27001,1.5424
0.26451,1.5501
0.25912,1.5496
0.25385,1.5405
0.24868,1.5229
0.24361,1.4969
0.23865,1.4632
0.23379,1.4225
0.22903,1.3761
0.22437,1.325
0.2198,1.2707
0.21532,1.2145
0.21094,1.1579
0.20664,1.1018

wl,k
12.398,79.048
12.146,77.519
11.899,76.015
11.656,74.536
11.419,73.083
11.186,71.655
10.959,70.251
10.735,68.872
10.517,67.517
10.303,66.186
10.093,64.879
9.8873,63.596
9.6859,62.335
9.4887,61.098
9.2954,59.883
9.1061,58.691
8.9207,57.52
8.739,56.372
8.5611,55.245
8.3867,54.14
8.2159,53.056
8.0486,51.993
7.8847,50.95
7.7242,49.928
7.5669,48.926
7.4128,47.944
7.2618,46.981
7.1139,46.038
6.9691,45.114
6.8271,44.209
6.6881,43.323
6.5519,42.456
