wl,n,k
12.398,3.4094,0.002172
9.5631,3.4102,0.0028173
7.7832,3.4113,0.0034634
6.5619,3.4125,0.0041108
5.6719,3.414,0.0047595
4.9945,3.4158,0.0054098
4.4616,3.4177,0.006062
4.0315,3.42,0.0067161
3.677,3.4225,0.0073723
3.3798,3.4252,0.008031
3.1271,3.4283,0.0086921
2.9095,3.4317,0.0093559
2.7203,3.4354,0.010022
2.5541,3.4396,0.010692
2.4071,3.4442,0.011364
2.2761,3.4492,0.012039
2.1586,3.4549,0.012716
2.0527,3.4614,0.013395
1.9566,3.4688,0.014075
1.8692,3.4776,0.014754
1.7892,3.4886,0.015428
1.7158,3.5041,0.016086
1.6482,3.5455,0.030846
1.5857,3.5356,0.066993
1.5277,3.5276,0.082274
1.4739,3.5211,0.09172
1.4237,3.5162,0.098017
1.3768,3.5127,0.10232
1.3329,3.5106,0.10526
1.2918,3.5098,0.10723
1.2531,3.5106,0.10848
1.2166,3.5137,0.10917
1.1822,3.5223,0.11656
1.1497,3.5201,0.1239
1.119,3.5187,0.12766
1.0898,3.5182,0.12998
1.0621,3.5184,0.13144
1.0358,3.5194,0.13232
1.0108,3.5212,0.13417
0.98691,3.5238,0.13883
0.96416,3.5271,0.14597
0.94243,3.5312,0.15525
0.92166,3.536,0.16638
0.90179,3.5415,0.17909
0.88275,3.5477,0.19314
0.8645,3.5546,0.20834
0.84699,3.5622,0.2245
0.83018,3.5705,0.24145
0.81402,3.5794,0.25904
0.79847,3.5891,0.27716
0.78351,3.5994,0.29567
0.7691,3.6104,0.31448
0.75521,3.622,0.3335
0.74182,3.6344,0.35264
0.72889,3.6475,0.37184
0.7164,3.6613,0.39102
0.70433,3.6758,0.41014
0.69267,3.6911,0.42913
0.68138,3.7071,0.44795
0.67046,3.724,0.46655
0.65988,3.7416,0.48491
0.64963,3.7601,0.50298
0.63969,3.7795,0.52074
0.63005,3.7999,0.53814
0.6207,3.8212,0.55517
0.61162,3.8436,0.57179
0.60281,3.867,0.58799
0.59424,3.8917,0.60373
0.58591,3.9176,0.61898
0.57782,3.945,0.63374
0.56994,3.9738,0.64796
0.56228,4.0042,0.66162
0.55482,4.0363,0.6747
0.54756,4.0703,0.68717
0.54048,4.1062,0.69901
0.53358,4.1443,0.71021
0.52686,4.1844,0.72078
0.5203,4.2264,0.73073
0.51391,4.2935,0.86563
0.50767,4.3682,1.0161
0.50158,4.4463,1.1689
0.49564,4.5265,1.3304
0.48983,4.6092,1.5138
0.48416,4.7107,1.7698
0.47862,4.5909,1.438
0.4732,4.5746,1.4534
0.46791,4.549,1.4742
0.46273,4.5191,1.4992
0.45767,4.4891,1.5283
0.45271,4.4611,1.5622
0.44786,4.4364,1.6034
0.44312,4.4163,1.6587
0.43847,4.416,1.7691
0.43392,4.3832,1.804
0.42947,4.33,1.7971
0.4251,4.2758,1.7919
0.42082,4.2222,1.7875
0.41663,4.1705,1.7835
0.41252,4.1216,1.7795
0.40849,4.0756,1.7755
0.40454,4.0328,1.7713
0.40066,3.9931,1.767
0.39686,3.9564,1.7626
0.39313,3.9226,1.7582
0.38947,3.8916,1.7538
0.38588,3.8632,1.7496
0.38235,3.8374,1.7456
0.37888,3.8139,1.7419
0.37548,3.7928,1.7386
0.37214,3.774,1.7357
0.36886,3.7573,1.7335
0.36563,3.7426,1.732
0.36246,3.73,1.7312
0.35935,3.7194,1.7313
0.35629,3.7106,1.7325
0.35328,3.7036,1.7347
0.35032,3.6983,1.7382
0.34741,3.6947,1.7432
0.34454,3.6928,1.7496
0.34173,3.6923,1.7578
0.33896,3.6932,1.7678
0.33623,3.6955,1.7799
0.33355,3.6989,1.7942
0.33091,3.7034,1.8109
0.32831,3.7087,1.8302
0.32576,3.7146,1.8524
0.32324,3.721,1.8777
0.32076,3.7275,1.9062
0.31832,3.7338,1.9381
0.31591,3.7395,1.9737
0.31354,3.7442,2.0131
0.31121,3.7473,2.0565
0.30891,3.7484,2.1039
0.30665,3.7467,2.1552
0.30442,3.7417,2.2105
0.30222,3.7325,2.2695
0.30005,3.7185,2.3318
0.29791,3.6989,2.397
0.2958,3.673,2.4643
0.29372,3.6402,2.533
0.29168,3.6,2.602
0.28966,3.5522,2.6702
0.28766,3.4967,2.7363
0.2857,3.4336,2.7991
0.28376,3.3636,2.8574
0.28185,3.2873,2.91
0.27996,3.2056,2.956
0.2781,3.1197,2.9947
0.27626,3.0309,3.0256
0.27445,2.9403,3.0486
0.27266,2.8492,3.0637
0.27089,2.7587,3.0712
0.26915,2.6698,3.0716
0.26743,2.5832,3.0655
0.26573,2.4997,3.0536
0.26405,2.4197,3.0365
0.26239,2.3434,3.0151
0.26076,2.2712,2.99
0.25914,2.203,2.9618
0.25755,2.1388,2.9312
0.25597,2.0787,2.8985
0.25441,2.0224,2.8645
0.25287,1.9697,2.8293
0.25135,1.9206,2.7933
0.24985,1.8747,2.757
0.24837,1.832,2.7203
0.2469,1.7921,2.6837
0.24545,1.7549,2.6472
0.24402,1.7202,2.611
0.2426,1.6878,2.5752
0.2412,1.6576,2.5398
0.23982,1.6293,2.505
0.23845,1.6028,2.4708
0.2371,1.5781,2.4371
0.23577,1.5548,2.4041
0.23444,1.533,2.3718
0.23314,1.5126,2.3401
0.23184,1.4934,2.3091
0.23057,1.4753,2.2788
0.2293,1.4582,2.2491
0.22805,1.4421,2.2201
0.22681,1.427,2.1917
0.22559,1.4126,2.1639
0.22438,1.399,2.1368
0.22318,1.3862,2.1102
0.222,1.374,2.0842
0.22083,1.3625,2.0588
0.21967,1.3515,2.034
0.21852,1.3411,2.0097
0.21738,1.3312,1.9859
0.21626,1.3218,1.9625
0.21515,1.3128,1.9397
0.21404,1.3042,1.9174
0.21295,1.296,1.8955
0.21188,1.2882,1.874
0.21081,1.2808,1.853
0.20975,1.2737,1.8324
0.2087,1.2668,1.8121
0.20767,1.2603,1.7923
0.20664,1.2541,1.7728
