wl,n
0.95395,3.21926
0.94262,3.22227
0.93223,3.23129
0.92611,3.23129
0.91675,3.23729
0.90692,3.2403
0.89858,3.24631
0.88418,3.25532
0.87564,3.25833
0.86609,3.26584
0.85328,3.27486
0.8414,3.28387
0.83094,3.29439
0.81861,3.30641
0.80767,3.31693
0.79903,3.32594
0.79205,3.33195
0.78133,3.34698
0.77229,3.35599
0.76347,3.36651
0.7535,3.38004
0.74641,3.39356
0.73902,3.40408
0.73094,3.4191
0.72056,3.43863
0.71448,3.4536
0.70945,3.46525
0.70425,3.4799
0.69974,3.4952
0.69328,3.51979
0.67937,3.55398
0.6746,3.55869
0.67347,3.55982
0.66765,3.57103
0.66674,3.57339
0.66637,3.57434
0.66508,3.57768
0.66307,3.58288
0.66106,3.58809
0.65942,3.59231
0.65762,3.59419
0.65565,3.59546
0.65386,3.5966
0.65209,3.59774
0.65015,3.59899
0.64787,3.60045
0.64613,3.60157
0.64371,3.60313
0.64113,3.60363
0.63908,3.60363
0.63604,3.60363
0.63352,3.60363
0.62971,3.60363
0.62594,3.60363
0.62334,3.60363
0.6198,3.60363
0.61694,3.60363
0.61426,3.60363
0.61222,3.60363
0.60974,3.60363
0.60804,3.60363
0.60605,3.60363
0.58562,3.60363
0.57342,3.61762
0.54396,3.68379
0.51025,3.7811
0.47584,3.90357
0.45538,4.02608
0.43788,4.15118
0.42532,4.26053
0.41002,4.44523
0.40114,4.54576
0.39473,4.59041
0.39004,4.58864
0.38623,4.57061
0.37738,4.42574
0.36892,4.27275
0.36283,4.13426
0.35564,4.00669
0.34329,3.84155
0.329,3.7071
0.31788,3.67616
0.31039,3.67616
0.30278,3.68883
0.29465,3.729
0.28737,3.80658
0.28244,3.87378
0.27846,3.91411
0.27383,3.96469
0.27046,3.97665
0.26644,3.94779
0.26466,3.91787
0.2629,3.88834
0.25979,3.74968
0.25742,3.59851
0.25476,3.46011
0.25184,3.19836
0.24961,3.02554

wl,k
0.95395,0.0
0.94262,0.0
0.93223,0.0
0.92611,0.0
0.91675,0.0
0.90692,0.0
0.89858,0.0
0.88418,0.0
0.87564,0.0
0.86609,0.0
0.85328,0.0
0.8414,0.0
0.83094,0.0
0.81861,0.0
0.80767,0.0
0.79903,0.0
0.79205,0.0
0.78133,0.0
0.77229,0.0
0.76347,0.0
0.7535,0.0
0.74641,0.0
0.73902,0.0
0.73094,0.0
0.72056,0.0
0.71448,0.0
0.70945,0.0
0.70425,0.0
0.69974,0.0
0.69328,0.0
0.67937,0.0
0.6746,0.0
0.67347,0.00488
0.66765,0.01111
0.66674,0.01677
0.66637,0.02036
0.66508,0.02874
0.66307,0.04311
0.66106,0.05629
0.65942,0.06707
0.65762,0.07844
0.65565,0.08802
0.65386,0.0982
0.65209,0.10599
0.65015,0.11497
0.64787,0.12156
0.64613,0.12755
0.64371,0.13294
0.64113,0.14012
0.63908,0.14431
0.63604,0.1485
0.63352,0.1521
0.62971,0.15689
0.62594,0.16048
0.62334,0.16407
0.6198,0.16587
0.61694,0.16707
0.61426,0.16767
0.61222,0.17066
0.60974,0.17126
0.60804,0.17305
0.60605,0.17425
0.58562,0.17149
0.57342,0.16984
0.54396,0.21291
0.51025,0.22725
0.47584,0.34209
0.45538,0.38516
0.43788,0.47125
0.42532,0.55737
0.41002,0.71528
0.40114,0.88749
0.39473,1.04537
0.39004,1.19019
0.38623,1.39475
0.37738,1.62081
0.36892,1.73925
0.36283,1.82534
0.35564,1.84687
0.34329,1.86844
0.329,1.85766
0.31788,1.85766
0.31039,1.85766
0.30278,1.86844
0.29465,1.95456
0.28737,2.06219
0.28244,2.14835
0.27846,2.26675
0.27383,2.42825
0.27046,2.622
0.26644,2.82656
0.26466,2.92344
0.2629,3.08494
0.25979,3.2895
0.25742,3.40791
0.25476,3.55863
0.25184,3.68781
0.24961,3.74166
