wl,n,k
12.398,3.0904,0.0
9.5631,3.0908,0.0
7.7832,3.0913,0.0
6.5619,3.0919,0.0
5.6719,3.0926,0.0
4.9945,3.0934,0.0
4.4616,3.0943,0.0
4.0315,3.0953,0.0
3.677,3.0965,0.0
3.3798,3.0977,0.0
3.1271,3.099,0.0
2.9095,3.1004,0.0
2.7203,3.102,0.0
2.5541,3.1036,0.0
2.4071,3.1054,0.0
2.2761,3.1073,0.0
2.1586,3.1092,0.0
2.0527,3.1113,0.0
1.9566,3.1135,0.0
1.8692,3.1158,0.0
1.7892,3.1183,0.0
1.7158,3.1208,0.0
1.6482,3.1234,0.0
1.5857,3.1262,0.0
1.5277,3.1291,0.0
1.4739,3.1321,0.0
1.4237,3.1352,0.0
1.3768,3.1385,0.0
1.3329,3.1419,0.0
1.2918,3.1454,0.0
1.2531,3.149,0.0
1.2166,3.1528,0.0
1.1822,3.1566,0.0
1.1497,3.1607,0.0
1.119,3.1648,0.0
1.0898,3.1691,0.0
1.0621,3.1735,0.0
1.0358,3.1781,0.0
1.0108,3.1828,0.0
0.98691,3.1877,0.0
0.96416,3.1927,0.0
0.94243,3.1979,0.0
0.92166,3.2032,0.0
0.90179,3.2087,0.0
0.88275,3.2143,0.0
0.8645,3.2202,0.0
0.84699,3.2261,0.0
0.83018,3.2323,0.0
0.81402,3.2386,0.0
0.79847,3.2451,0.0
0.78351,3.2518,0.0
0.7691,3.2587,0.0
0.75521,3.2658,0.0
0.74182,3.2731,0.0
0.72889,3.2806,0.0
0.7164,3.2883,0.0
0.70433,3.2962,0.0
0.69267,3.3043,0.0
0.68138,3.3127,0.0
0.67046,3.3213,0.0
0.65988,3.3302,0.0
0.64963,3.3393,0.0
0.63969,3.3486,0.0
0.63005,3.3583,0.0
0.6207,3.3682,0.0
0.61162,3.3784,0.0
0.60281,3.3889,0.0
0.59424,3.3998,0.0
0.58591,3.411,0.0
0.57782,3.4225,0.0
0.56994,3.4343,0.0
0.56228,3.4466,0.0
0.55482,3.4593,0.0
0.54756,3.4723,2.4128e-06
0.54048,3.4858,0.00014469
0.53358,3.4998,0.00049262
0.52686,3.5143,0.001028
0.5203,3.5293,0.0017339
0.51391,3.5449,0.0025945
0.50767,3.5612,0.0035952
0.50158,3.5781,0.004722
0.49564,3.5958,0.005962
0.48983,3.6143,0.0073031
0.48416,3.6338,0.0087334
0.47862,3.6544,0.010242
0.4732,3.6764,0.011817
0.46791,3.7002,0.013448
0.46273,3.7265,0.015122
0.45767,3.7572,0.01682
0.45271,3.805,0.018467
0.44786,3.8285,0.059733
0.44312,3.8453,0.077149
0.43847,3.8662,0.08986
0.43392,3.89,0.11427
0.42947,3.9025,0.13179
0.4251,3.916,0.14513
0.42082,3.9308,0.15617
0.41663,3.9467,0.16561
0.41252,3.964,0.17379
0.40849,3.9827,0.18097
0.40454,4.0028,0.18729
0.40066,4.0245,0.19288
0.39686,4.0479,0.19781
0.39313,4.0731,0.20215
0.38947,4.1003,0.20596
0.38588,4.1297,0.20928
0.38235,4.1614,0.21213
0.37888,4.1998,0.28323
0.37548,4.2449,0.38462
0.37214,4.2953,0.48329
0.36886,4.351,0.57938
0.36563,4.4125,0.67305
0.36246,4.4926,0.83421
0.35935,4.5686,0.92485
0.35629,4.6523,1.0139
0.35328,4.7451,1.1018
0.35032,4.8488,1.1893
0.34741,4.9655,1.2774
0.34454,5.0978,1.3683
0.34173,5.2469,1.4668
0.33896,5.4062,1.5869
0.33623,5.5495,1.7832
0.33355,5.5873,1.9858
0.33091,5.4621,2.0068
0.32831,5.3134,2.0388
0.32576,5.1745,2.0696
0.32324,5.0518,2.0964
0.32076,4.9442,2.1191
0.31832,4.8495,2.1381
0.31591,4.7655,2.1542
0.31354,4.6906,2.1678
0.31121,4.6234,2.1794
0.30891,4.563,2.1894
0.30665,4.5085,2.1982
0.30442,4.4594,2.2059
0.30222,4.4152,2.2129
0.30005,4.3756,2.2194
0.29791,4.3402,2.2256
0.2958,4.3088,2.2317
0.29372,4.2812,2.238
0.29168,4.2573,2.2446
0.28966,4.237,2.2519
