wl,n,k
2.48,4.071,0.0
2.431,4.074,0.0
2.384,4.077,0.0
2.339,4.08,0.0
2.296,4.083,0.0
2.254,4.087,0.0
2.214,4.09,0.0
2.175,4.094,2.065e-07
2.138,4.097,4.043e-07
2.101,4.101,7.691e-07
2.066,4.105,1.433e-06
2.033,4.109,2.607e-06
2.0,4.113,4.634e-06
1.968,4.117,8.048e-06
1.937,4.122,1.366e-05
1.907,4.126,2.267e-05
1.879,4.131,3.677e-05
1.851,4.136,5.835e-05
1.823,4.141,9.06e-05
1.797,4.146,0.0001376
1.771,4.152,0.0002048
1.746,4.158,0.0002984
1.722,4.164,0.0004261
1.698,4.171,0.0005967
1.675,4.178,0.0008197
1.653,4.186,0.001106
1.631,4.194,0.001465
1.61,4.204,0.001915
1.59,4.216,0.002758
1.569,4.234,0.007651
1.55,4.25,0.02519
1.531,4.249,0.04564
1.512,4.243,0.05406
1.494,4.241,0.057
1.476,4.242,0.05941
1.459,4.244,0.06183
1.442,4.246,0.06429
1.425,4.249,0.06677
1.409,4.253,0.06928
1.393,4.256,0.0718
1.378,4.259,0.07433
1.362,4.263,0.07687
1.348,4.267,0.07941
1.333,4.271,0.08194
1.319,4.275,0.08447
1.305,4.279,0.08699
1.292,4.283,0.0895
1.278,4.287,0.092
1.265,4.292,0.09449
1.252,4.296,0.09698
1.24,4.301,0.09945
1.228,4.306,0.1019
1.216,4.31,0.1044
1.204,4.315,0.1068
1.192,4.32,0.1093
1.181,4.326,0.1118
1.17,4.331,0.1143
1.159,4.337,0.1171
1.148,4.344,0.1204
1.137,4.35,0.1245
1.127,4.355,0.1292
1.117,4.36,0.1338
1.107,4.364,0.1378
1.097,4.368,0.1412
1.088,4.372,0.1442
1.078,4.377,0.147
1.069,4.382,0.1498
1.06,4.387,0.1525
1.051,4.392,0.1553
1.042,4.397,0.158
1.033,4.403,0.1607
1.025,4.408,0.1634
1.016,4.414,0.1661
1.008,4.42,0.1689
0.9999,4.426,0.1716
0.9919,4.432,0.1743
0.984,4.438,0.177
0.9763,4.444,0.1797
0.9686,4.45,0.1825
0.9611,4.457,0.1852
0.9537,4.464,0.188
0.9464,4.47,0.1907
0.9393,4.477,0.1935
0.9322,4.484,0.1963
0.9253,4.492,0.1991
0.9184,4.499,0.202
0.9116,4.506,0.2049
0.905,4.514,0.2078
0.8984,4.522,0.2108
0.892,4.53,0.2137
0.8856,4.538,0.2168
0.8793,4.546,0.2199
0.8731,4.555,0.223
0.867,4.564,0.2262
0.861,4.573,0.2295
0.8551,4.582,0.2328
0.8492,4.591,0.2362
0.8434,4.601,0.2397
0.8377,4.611,0.2433
0.8321,4.621,0.247
0.8266,4.631,0.2508
0.8211,4.641,0.2547
0.8157,4.652,0.2587
0.8104,4.663,0.2628
0.8051,4.674,0.267
0.7999,4.685,0.2714
0.7948,4.697,0.276
0.7897,4.708,0.2807
0.7847,4.721,0.2855
0.7798,4.733,0.2906
0.7749,4.745,0.2958
0.7701,4.758,0.3012
0.7653,4.771,0.3068
0.7606,4.785,0.3126
0.756,4.798,0.3186
0.7514,4.812,0.3248
0.7469,4.827,0.3313
0.7424,4.841,0.338
0.738,4.856,0.3449
0.7336,4.871,0.3522
0.7293,4.887,0.3597
0.7251,4.902,0.3674
0.7208,4.918,0.3755
0.7167,4.935,0.3838
0.7126,4.951,0.3925
0.7085,4.969,0.4015
0.7045,4.986,0.4108
0.7005,5.004,0.4204
0.6965,5.022,0.4305
0.6926,5.041,0.4409
0.6888,5.061,0.4517
0.685,5.081,0.463
0.6812,5.101,0.4748
0.6775,5.122,0.4871
0.6738,5.144,0.5001
0.6702,5.167,0.5137
0.6666,5.19,0.5282
0.663,5.214,0.5435
0.6595,5.239,0.5599
0.656,5.265,0.5774
0.6525,5.292,0.5961
0.6491,5.319,0.6164
0.6458,5.348,0.6382
0.6424,5.377,0.6618
0.6391,5.407,0.6874
0.6358,5.437,0.7151
0.6326,5.468,0.7453
0.6294,5.5,0.778
0.6262,5.532,0.8137
0.623,5.564,0.8524
0.6199,5.596,0.8947
0.6168,5.628,0.9408
0.6138,5.66,0.9913
0.6108,5.69,1.047
0.6078,5.719,1.108
0.6048,5.745,1.175
0.6019,5.766,1.249
0.599,5.78,1.329
0.5961,5.785,1.416
0.5932,5.778,1.505
0.5904,5.758,1.595
0.5876,5.725,1.681
0.5848,5.68,1.759
0.5821,5.625,1.826
0.5794,5.564,1.88
0.5767,5.504,1.92
0.574,5.446,1.948
0.5714,5.396,1.966
0.5687,5.353,1.979
0.5661,5.319,1.989
0.5636,5.292,2.0
0.561,5.27,2.014
0.5585,5.252,2.031
0.556,5.236,2.051
0.5535,5.219,2.076
0.551,5.202,2.104
0.5486,5.183,2.134
0.5462,5.16,2.167
0.5438,5.134,2.2
0.5414,5.105,2.233
0.5391,5.072,2.265
0.5367,5.035,2.296
0.5344,4.996,2.323
0.5321,4.953,2.348
0.5298,4.91,2.368
0.5276,4.865,2.385
0.5254,4.82,2.397
0.5231,4.775,2.405
0.5209,4.731,2.41
0.5188,4.69,2.411
0.5166,4.65,2.41
0.5145,4.613,2.406
0.5123,4.578,2.4
0.5102,4.546,2.394
0.5081,4.516,2.386
0.5061,4.488,2.378
0.504,4.463,2.369
0.502,4.439,2.361
0.4999,4.416,2.353
0.4979,4.395,2.345
0.4959,4.376,2.337
0.494,4.357,2.329
0.492,4.339,2.322
