wl,n
0.2200,0.957
0.2400,0.983
0.2600,1.001
0.2800,1.020
0.3000,1.048
0.3200,1.086
0.3400,1.148
0.3600,1.215
0.3800,1.287
0.4000,1.370
0.4200,1.460
0.4400,1.549
0.4600,1.639
0.4800,1.732
0.5000,1.816
0.5200,1.905
0.5400,1.988
0.5600,2.065
0.5800,2.138
0.6000,2.223
0.6200,2.296
0.6400,2.377
0.6600,2.450
0.6800,2.513
0.7000,2.575
0.7200,2.638
0.7400,2.702
0.7600,2.765
0.7800,2.835
0.8000,2.916
0.8200,2.985
0.8400,3.053
0.8600,3.103
0.8800,3.140
0.9000,3.177
0.9200,3.230
0.9400,3.287
0.9600,3.342
0.9800,3.409
1.0000,3.480
1.0200,3.521
1.0400,3.587
1.0600,3.657
1.0800,3.722
1.1000,3.793
1.1200,3.858
1.1400,3.908
1.1600,3.965
1.1800,4.032
1.2000,4.098
1.2200,4.140
1.2400,4.194
1.2600,4.243
1.2800,4.296
1.3000,4.350
1.3200,4.399
1.3400,4.436
1.3600,4.493
1.3800,4.537
1.4000,4.563
1.4200,4.617
1.4400,4.646
1.4600,4.700
1.4800,4.736
1.5000,4.780
1.5200,4.824
1.5400,4.851
1.5600,4.899
1.5800,4.934
1.6000,4.975
1.6200,5.012
1.6400,5.047
1.6600,5.088
1.6800,5.121
1.7000,5.149
1.7200,5.193
1.7400,5.215
1.7600,5.263
1.7800,5.281
1.8000,5.305
1.8200,5.338
1.8400,5.369
1.8600,5.431
1.8800,5.423
1.9000,5.494
1.9200,5.546
1.9400,5.610
1.9600,5.670
1.9800,5.721
2.0000,5.769
2.0200,5.800
2.0400,5.819
2.0600,5.845
2.0800,5.870
2.1000,5.909
2.1200,5.947
2.1400,5.992
2.1600,6.015
2.1800,6.041
2.2000,6.082
2.2200,6.101
2.2400,6.135
2.2600,6.152
2.2800,6.185
2.3000,6.194
2.3200,6.216
2.3400,6.247
2.3600,6.279
2.3800,6.286
2.4000,6.320
2.4200,6.351
2.4400,6.394
2.4600,6.432
2.4800,6.486
2.5000,6.503
2.5126,6.490
2.5253,6.491
2.5381,6.494
2.5510,6.497
2.5641,6.504
2.5773,6.514
2.5907,6.525
2.6042,6.539
2.6178,6.549
2.6316,6.564
2.6455,6.578
2.6596,6.595
2.6738,6.607
2.6882,6.623
2.7027,6.642
2.7174,6.659
2.7322,6.676
2.7473,6.691
2.7624,6.711
2.7778,6.728
2.7933,6.742
2.8090,6.762
2.8249,6.781
2.8409,6.796
2.8571,6.818
