wl,n,k
0.188,1.26,1.6
0.192,1.29,1.64
0.195,1.29,1.69
0.199,1.28,1.75
0.203,1.28,1.82
0.207,1.29,1.89
0.212,1.32,1.96
0.216,1.34,2.02
0.221,1.38,2.09
0.226,1.43,2.15
0.231,1.49,2.2
0.237,1.57,2.25
0.243,1.65,2.29
0.249,1.73,2.31
0.255,1.82,2.32
0.262,1.89,2.3
0.269,1.96,2.29
0.276,2.01,2.26
0.284,2.03,2.23
0.292,2.03,2.2
0.301,2.02,2.18
0.311,2.01,2.18
0.32,1.93,2.19
0.332,1.84,2.22
0.342,1.78,2.26
0.354,1.74,2.32
0.368,1.7,2.4
0.381,1.72,2.48
0.397,1.72,2.57
0.413,1.7,2.69
0.431,1.71,2.82
0.451,1.73,2.95
0.471,1.78,3.09
0.496,1.82,3.25
0.521,1.85,3.42
0.549,1.92,3.61
0.582,1.96,3.8
0.617,1.99,4.02
0.659,1.99,4.26
0.667,2.15,3.88
0.714,2.25,4.11
0.769,2.4,4.34
0.833,2.56,4.57
0.909,2.69,4.8
1,2.82,5.11
1.05,2.87,5.28
1.11,2.95,5.48
1.18,2.99,5.7
1.25,3.05,5.98
1.33,3.14,6.3
1.43,3.23,6.65
1.54,3.36,7.05
1.67,3.51,7.49
1.82,3.64,8.01
2,3.83,8.63
2.11,3.95,8.95
2.22,4.03,9.3
2.35,4.06,9.73
2.5,4.16,10.2
2.67,4.28,10.8
2.86,4.4,11.4
3.08,4.53,12.1
3.33,4.67,12.9
3.64,4.79,13.9
4,4.95,15.1
4.44,5.11,16.6
5,5.3,18.5
5.71,5.45,21
6.67,6.05,24.4
8,7.12,29
10,8.42,35.7
11.1,9.55,39.5
12.5,11,43.8
14.3,13,49
16.7,15.2,55.5
20,18.1,64.6
22.2,20,70.7
25,22.5,78.1
28.6,25.6,87.8
33.3,30.8,101
40,39.1,117
44.4,45.1,127
50,52.7,139
57.1,62.5,153
66.7,75.1,170
80,92,191
100,116,219
125,144,250
154,176,279
200,219,317
286,286,375
