wl,n,k
6.1992,4.9348,22.797
6.1793,4.9228,22.722
6.1594,4.9109,22.647
6.1396,4.8992,22.572
6.1198,4.8875,22.497
6.1001,4.876,22.423
6.0805,4.8646,22.349
6.061,4.8533,22.275
6.0415,4.8422,22.201
6.022,4.8311,22.128
6.0026,4.8202,22.054
5.9833,4.8094,21.981
5.9641,4.7987,21.909
5.9449,4.7881,21.836
5.9258,4.7776,21.764
5.9067,4.7673,21.692
5.8877,4.757,21.62
5.8688,4.7469,21.548
5.8499,4.7368,21.477
5.8311,4.7269,21.406
5.8123,4.7171,21.335
5.7936,4.7074,21.264
5.775,4.6978,21.194
5.7564,4.6884,21.123
5.7379,4.679,21.053
5.7194,4.6697,20.984
5.701,4.6606,20.914
5.6827,4.6515,20.845
5.6644,4.6426,20.776
5.6462,4.6337,20.707
5.628,4.625,20.638
5.6099,4.6163,20.57
5.5919,4.6078,20.502
5.5739,4.5993,20.434
5.556,4.591,20.366
5.5381,4.5828,20.298
5.5203,4.5746,20.231
5.5025,4.5666,20.164
5.4848,4.5586,20.097
5.4672,4.5508,20.031
5.4496,4.543,19.964
5.432,4.5354,19.898
5.4146,4.5278,19.832
5.3972,4.5203,19.767
5.3798,4.513,19.701
5.3625,4.5057,19.636
5.3452,4.4985,19.571
5.328,4.4914,19.506
5.3109,4.4844,19.441
5.2938,4.4775,19.377
5.2768,4.4706,19.313
5.2598,4.4639,19.249
5.2429,4.4572,19.185
5.226,4.4507,19.122
5.2092,4.4442,19.059
5.1925,4.4378,18.996
5.1758,4.4315,18.933
5.1591,4.4253,18.87
5.1425,4.4191,18.808
5.126,4.4131,18.746
5.1095,4.4071,18.684
5.093,4.4012,18.622
5.0767,4.3954,18.561
5.0603,4.3897,18.499
5.044,4.384,18.438
5.0278,4.3785,18.378
5.0116,4.373,18.317
4.9955,4.3676,18.257
4.9794,4.3622,18.196
4.9634,4.357,18.136
4.9475,4.3518,18.077
4.9315,4.3467,18.017
4.9157,4.3417,17.958
4.8999,4.3367,17.899
4.8841,4.3318,17.84
4.8684,4.327,17.781
4.8527,4.3223,17.723
4.8371,4.3176,17.665
4.8216,4.313,17.607
4.8061,4.3085,17.549
4.7906,4.304,17.491
4.7752,4.2996,17.434
4.7598,4.2953,17.377
4.7445,4.2911,17.32
4.7292,4.2869,17.263
4.714,4.2828,17.206
4.6989,4.2787,17.15
4.6838,4.2747,17.094
4.6687,4.2708,17.038
4.6537,4.2669,16.982
4.6387,4.2631,16.927
4.6238,4.2594,16.872
4.6089,4.2557,16.817
4.5941,4.2521,16.762
4.5793,4.2485,16.707
4.5646,4.245,16.653
4.5499,4.2416,16.598
4.5352,4.2382,16.544
4.5207,4.2349,16.491
4.5061,4.2316,16.437
4.4916,4.2284,16.384
4.4772,4.2253,16.33
4.4628,4.2222,16.277
4.4484,4.2191,16.225
4.4341,4.2161,16.172
4.4198,4.2132,16.12
4.4056,4.2103,16.068
4.3914,4.2075,16.016
4.3773,4.2047,15.964
4.3632,4.202,15.912
4.3492,4.1993,15.861
4.3352,4.1966,15.81
4.3213,4.194,15.759
4.3074,4.1915,15.708
4.2935,4.189,15.658
4.2797,4.1866,15.607
4.2659,4.1842,15.557
4.2522,4.1818,15.507
4.2385,4.1795,15.457
4.2249,4.1772,15.408
4.2113,4.175,15.359
4.1977,4.1728,15.309
4.1842,4.1707,15.26
4.1708,4.1686,15.212
4.1574,4.1665,15.163
4.144,4.1645,15.115
4.1307,4.1625,15.067
4.1174,4.1605,15.019
4.1041,4.1586,14.971
4.0909,4.1568,14.923
4.0778,4.1549,14.876
4.0646,4.1531,14.829
4.0516,4.1514,14.782
4.0385,4.1496,14.735
4.0255,4.1479,14.688
4.0126,4.1463,14.642
3.9997,4.1446,14.596
3.9868,4.143,14.55
3.974,4.1415,14.504
3.9612,4.1399,14.458
3.9485,4.1384,14.413
3.9358,4.137,14.367
3.9231,4.1355,14.322
3.9105,4.1341,14.277
3.8979,4.1327,14.233
3.8854,4.1313,14.188
3.8729,4.13,14.144
3.8604,4.1287,14.1
3.848,4.1274,14.056
3.8356,4.1261,14.012
3.8233,4.1249,13.968
3.811,4.1237,13.925
3.7987,4.1225,13.882
3.7865,4.1213,13.839
3.7743,4.1202,13.796
3.7622,4.119,13.753
3.7501,4.1179,13.711
3.738,4.1168,13.668
3.726,4.1158,13.626
3.714,4.1147,13.584
3.702,4.1137,13.543
3.6901,4.1127,13.501
3.6783,4.1117,13.459
3.6664,4.1107,13.418
3.6546,4.1097,13.377
3.6429,4.1088,13.336
3.6312,4.1078,13.296
3.6195,4.1069,13.255
3.6078,4.106,13.215
3.5962,4.1051,13.175
3.5847,4.1042,13.134
3.5731,4.1033,13.095
3.5616,4.1025,13.055
3.5502,4.1016,13.016
3.5388,4.1008,12.976
3.5274,4.0999,12.937
3.516,4.0991,12.898
3.5047,4.0983,12.859
3.4934,4.0975,12.821
3.4822,4.0967,12.782
3.471,4.0959,12.744
3.4598,4.0951,12.706
3.4487,4.0943,12.668
3.4376,4.0935,12.63
3.4266,4.0928,12.592
3.4155,4.092,12.555
3.4045,4.0912,12.517
3.3936,4.0905,12.48
3.3827,4.0897,12.443
3.3718,4.0889,12.407
3.3609,4.0882,12.37
3.3501,4.0874,12.333
3.3394,4.0867,12.297
3.3286,4.0859,12.261
3.3179,4.0852,12.225
3.3072,4.0844,12.189
3.2966,4.0836,12.153
3.286,4.0829,12.118
3.2754,4.0821,12.082
3.2649,4.0814,12.047
3.2544,4.0806,12.012
3.2439,4.0798,11.977
3.2335,4.079,11.942
3.2231,4.0783,11.908
3.2127,4.0775,11.873
3.2024,4.0767,11.839
3.1921,4.0759,11.805
3.1818,4.0751,11.771
3.1716,4.0743,11.737
3.1614,4.0735,11.703
3.1512,4.0727,11.67
3.1411,4.0718,11.636
3.131,4.071,11.603
3.1209,4.0701,11.57
3.1108,4.0693,11.537
3.1008,4.0684,11.504
3.0909,4.0676,11.471
3.0809,4.0667,11.439
3.071,4.0658,11.406
3.0611,4.0649,11.374
3.0513,4.064,11.342
3.0415,4.063,11.31
3.0317,4.0621,11.278
3.0219,4.0611,11.247
3.0122,4.0602,11.215
3.0025,4.0592,11.184
2.9929,4.0582,11.152
2.9832,4.0572,11.121
2.9736,4.0562,11.09
2.9641,4.0552,11.059
2.9545,4.0541,11.029
2.945,4.053,10.998
2.9356,4.052,10.968
2.9261,4.0509,10.937
2.9167,4.0498,10.907
2.9073,4.0486,10.877
2.898,4.0475,10.847
2.8886,4.0463,10.817
2.8793,4.0452,10.788
2.8701,4.044,10.758
2.8608,4.0428,10.729
2.8516,4.0416,10.699
2.8425,4.0403,10.67
2.8333,4.0391,10.641
2.8242,4.0378,10.612
2.8151,4.0365,10.584
2.8061,4.0352,10.555
2.797,4.0338,10.526
2.788,4.0325,10.498
2.7791,4.0311,10.47
2.7701,4.0297,10.441
2.7612,4.0283,10.413
2.7523,4.0269,10.385
2.7435,4.0254,10.358
2.7347,4.0239,10.33
2.7259,4.0224,10.302
2.7171,4.0209,10.275
2.7084,4.0194,10.248
2.6996,4.0178,10.22
2.691,4.0163,10.193
2.6823,4.0147,10.166
2.6737,4.013,10.139
2.6651,4.0114,10.113
2.6565,4.0097,10.086
2.648,4.008,10.059
2.6394,4.0063,10.033
2.6309,4.0046,10.007
2.6225,4.0028,9.9804
2.614,4.0011,9.9543
2.6056,3.9993,9.9283
2.5973,3.9974,9.9024
2.5889,3.9956,9.8767
2.5806,3.9937,9.851
2.5723,3.9918,9.8254
2.564,3.9899,9.7999
2.5557,3.988,9.7746
2.5475,3.986,9.7493
2.5393,3.9841,9.7242
2.5312,3.9821,9.6991
