wl,n,k
12.398,4.0945,54.602
12.35,4.0799,54.385
12.302,4.0654,54.169
12.254,4.0511,53.954
12.206,4.0369,53.739
12.158,4.0229,53.526
12.111,4.0089,53.313
12.063,3.9951,53.101
12.016,3.9815,52.89
11.969,3.9679,52.679
11.922,3.9545,52.47
11.876,3.9412,52.261
11.829,3.928,52.053
11.783,3.915,51.846
11.737,3.9021,51.64
11.691,3.8893,51.434
11.645,3.8766,51.229
11.6,3.8641,51.025
11.555,3.8517,50.822
11.509,3.8393,50.62
11.464,3.8272,50.418
11.42,3.8151,50.217
11.375,3.8031,50.017
11.331,3.7913,49.817
11.286,3.7796,49.619
11.242,3.768,49.421
11.198,3.7565,49.224
11.154,3.7451,49.027
11.111,3.7338,48.832
11.067,3.7227,48.637
11.024,3.7116,48.443
10.981,3.7007,48.249
10.938,3.6899,48.057
10.895,3.6792,47.865
10.853,3.6686,47.674
10.81,3.6581,47.483
10.768,3.6477,47.293
10.726,3.6374,47.104
10.684,3.6273,46.916
10.642,3.6172,46.729
10.601,3.6072,46.542
10.559,3.5974,46.356
10.518,3.5876,46.17
10.477,3.578,45.985
10.436,3.5684,45.801
10.395,3.559,45.618
10.355,3.5497,45.436
10.314,3.5404,45.254
10.274,3.5313,45.072
10.234,3.5222,44.892
10.194,3.5133,44.712
10.154,3.5044,44.533
10.114,3.4957,44.354
10.075,3.487,44.177
10.035,3.4785,43.999
9.9961,3.47,43.823
9.957,3.4617,43.647
9.9181,3.4534,43.472
9.8793,3.4452,43.298
9.8407,3.4372,43.124
9.8023,3.4292,42.951
9.7639,3.4213,42.778
9.7258,3.4135,42.607
9.6878,3.4058,42.435
9.6499,3.3982,42.265
9.6122,3.3907,42.095
9.5746,3.3832,41.926
9.5372,3.3759,41.757
9.4999,3.3686,41.589
9.4628,3.3615,41.422
9.4258,3.3544,41.256
9.389,3.3474,41.09
9.3523,3.3405,40.924
9.3157,3.3337,40.759
9.2793,3.327,40.595
9.2431,3.3204,40.432
9.2069,3.3138,40.269
9.171,3.3074,40.107
9.1351,3.301,39.945
9.0994,3.2947,39.784
9.0638,3.2885,39.624
9.0284,3.2824,39.464
8.9931,3.2764,39.305
8.958,3.2704,39.146
8.923,3.2646,38.988
8.8881,3.2588,38.831
8.8534,3.2531,38.674
