wl,n
12.398,4.0945
12.35,4.0799
12.302,4.0654
12.254,4.0511
12.206,4.0369
12.158,4.0229
12.111,4.0089
12.063,3.9951
12.016,3.9815
11.969,3.9679
11.922,3.9545
11.876,3.9412
11.829,3.928
11.783,3.915
11.737,3.9021
11.691,3.8893
11.645,3.8766
11.6,3.8641
11.555,3.8517
11.509,3.8393
11.464,3.8272
11.42,3.8151
11.375,3.8031
11.331,3.7913
11.286,3.7796
11.242,3.768
11.198,3.7565
11.154,3.7451
11.111,3.7338
11.067,3.7227
11.024,3.7116
10.981,3.7007
10.938,3.6899
10.895,3.6792
10.853,3.6686
10.81,3.6581
10.768,3.6477
10.726,3.6374
10.684,3.6273
10.642,3.6172
10.601,3.6072
10.559,3.5974
10.518,3.5876
10.477,3.578
10.436,3.5684
10.395,3.559
10.355,3.5497
10.314,3.5404
10.274,3.5313
10.234,3.5222
10.194,3.5133
10.154,3.5044
10.114,3.4957
10.075,3.487
10.035,3.4785
9.9961,3.47
9.957,3.4617
9.9181,3.4534
9.8793,3.4452
9.8407,3.4372
9.8023,3.4292
9.7639,3.4213
9.7258,3.4135
9.6878,3.4058
9.6499,3.3982
9.6122,3.3907
9.5746,3.3832
9.5372,3.3759
9.4999,3.3686
9.4628,3.3615
9.4258,3.3544
9.389,3.3474
9.3523,3.3405
9.3157,3.3337
9.2793,3.327
9.2431,3.3204
9.2069,3.3138
9.171,3.3074
9.1351,3.301
9.0994,3.2947
9.0638,3.2885
9.0284,3.2824
8.9931,3.2764
8.958,3.2704
8.923,3.2646
8.8881,3.2588
8.8534,3.2531
8.8188,3.2475
8.7843,3.2419
8.75,3.2365
8.7158,3.2311
8.6817,3.2258
8.6478,3.2206
8.614,3.2155
8.5803,3.2104
8.5468,3.2054
8.5134,3.2006
8.4801,3.1957
8.447,3.191
8.4139,3.1864
8.3811,3.1818
8.3483,3.1773
8.3157,3.1729
8.2832,3.1685
8.2508,3.1643
8.2186,3.1601
8.1864,3.156
8.1544,3.1519
8.1226,3.148
8.0908,3.1441
8.0592,3.1403
8.0277,3.1366
7.9963,3.1329
7.9651,3.1294
7.934,3.1259
7.9029,3.1224
7.8721,3.1191
7.8413,3.1158
7.8106,3.1126
7.7801,3.1095
7.7497,3.1064
7.7194,3.1034
7.6893,3.1005
7.6592,3.0977
7.6293,3.0949
7.5995,3.0923
7.5698,3.0896
7.5402,3.0871
7.5107,3.0846
7.4813,3.0822
7.4521,3.0799
7.423,3.0777
7.394,3.0755
7.3651,3.0734
7.3363,3.0714
7.3076,3.0694
7.2791,3.0675
7.2506,3.0657
7.2223,3.0639
7.194,3.0623
7.1659,3.0607
7.1379,3.0591
7.11,3.0577
7.0822,3.0563
7.0546,3.055
7.027,3.0537
6.9995,3.0526
6.9722,3.0514
6.9449,3.0504
6.9178,3.0495
6.8907,3.0486
6.8638,3.0477
6.837,3.047
6.8103,3.0463
6.7836,3.0457
6.7571,3.0452
6.7307,3.0447
6.7044,3.0443
6.6782,3.044
6.6521,3.0437
6.6261,3.0435
6.6002,3.0434
6.5744,3.0434
6.5487,3.0434
6.5231,3.0435
6.4976,3.0437
6.4722,3.0439
6.4469,3.0442
6.4218,3.0446
6.3967,3.045
6.3717,3.0456
6.3468,3.0461
6.3219,3.0468
6.2972,3.0475
6.2726,3.0483
6.2481,3.0492
6.2237,3.0502
6.1994,3.0512
6.1751,3.0523
6.151,3.0534
6.127,3.0547
6.103,3.056
6.0792,3.0573
6.0554,3.0588
6.0317,3.0603
6.0082,3.0619
5.9847,3.0635
5.9613,3.0653
5.938,3.0671
5.9148,3.0689
5.8917,3.0709
5.8686,3.0729
5.8457,3.075
5.8229,3.0771
5.8001,3.0793
5.7774,3.0816
5.7549,3.084
5.7324,3.0865
5.71,3.089
5.6876,3.0916
5.6654,3.0942
5.6433,3.097
5.6212,3.0998
5.5993,3.1027
5.5774,3.1056
5.5556,3.1086
5.5339,3.1117
5.5122,3.1149
5.4907,3.1181
5.4692,3.1215
5.4479,3.1248
5.4266,3.1283
5.4054,3.1318
5.3842,3.1354
5.3632,3.1391
5.3422,3.1429
5.3213,3.1467
5.3005,3.1506
5.2798,3.1546
5.2592,3.1586
5.2386,3.1627
5.2182,3.1669
5.1978,3.1712
5.1775,3.1755
5.1572,3.1799
5.1371,3.1844
5.117,3.189
5.097,3.1936
5.0771,3.1983
5.0572,3.2031
5.0375,3.2079
5.0178,3.2129
4.9982,3.2179
4.9786,3.2229
4.9592,3.2281
4.9398,3.2333
4.9205,3.2386
4.9013,3.2439
4.8821,3.2494
4.863,3.2549
4.844,3.2605
4.8251,3.2661
4.8062,3.2718
4.7874,3.2776
4.7687,3.2835
4.7501,3.2894
4.7315,3.2954
4.713,3.3015
4.6946,3.3077
4.6763,3.3139
