wl,n,k
0.017586,0.8049,0.0938
0.017712,0.803,0.099
0.017839,0.8019,0.1054
0.017969,0.8008,0.1111
0.0181,0.8005,0.1174
0.018233,0.8003,0.1243
0.018368,0.8013,0.1304
0.018505,0.8023,0.1365
0.018644,0.8044,0.1417
0.018785,0.8066,0.1469
0.018929,0.8088,0.1521
0.019074,0.812,0.1558
0.019222,0.8144,0.159
0.019373,0.8169,0.1622
0.019525,0.8191,0.1642
0.01968,0.8206,0.1657
0.019837,0.8221,0.1667
0.019997,0.8223,0.1678
0.02016,0.8219,0.1691
0.020325,0.8203,0.1701
0.020493,0.8182,0.1717
0.020664,0.8157,0.1741
0.020838,0.8126,0.1772
0.021014,0.8087,0.1818
0.021194,0.8048,0.1864
0.021377,0.8008,0.1929
0.021562,0.7965,0.2009
0.021752,0.7927,0.2107
0.021944,0.7894,0.2217
0.02214,0.7858,0.2354
0.022339,0.7806,0.2556
0.022543,0.7903,0.3107
0.022749,0.8519,0.277
0.02296,0.8407,0.2736
0.023175,0.8443,0.2807
0.023393,0.8529,0.2872
0.023616,0.8646,0.2909
0.023843,0.8769,0.2914
0.024075,0.8885,0.2887
0.024311,0.8985,0.2833
0.024551,0.906,0.2754
0.024797,0.9105,0.2663
0.025047,0.9117,0.2572
0.025303,0.9098,0.2484
0.025564,0.905,0.2409
0.02583,0.8975,0.2357
0.026102,0.8879,0.2331
0.02638,0.8769,0.2344
0.026663,0.8659,0.2402
0.026953,0.8558,0.2518
0.027249,0.8511,0.2691
0.027552,0.8561,0.2897
0.027862,0.873,0.3053
0.028178,0.8964,0.3074
0.028502,0.9135,0.2939
0.028834,0.9168,0.2749
0.029173,0.9078,0.2611
0.02952,0.8939,0.2551
0.029876,0.8796,0.2581
0.03024,0.8685,0.2671
0.030613,0.8631,0.281
0.030996,0.8643,0.295
0.031388,0.8727,0.3059
0.031791,0.8848,0.3097
0.032204,0.8957,0.3054
0.032627,0.9013,0.2957
0.033062,0.8995,0.2829
0.033509,0.8906,0.2723
0.033968,0.8764,0.2647
0.03444,0.8589,0.262
0.034925,0.8396,0.2644
0.035424,0.8192,0.2722
0.035937,0.8001,0.285
0.036466,0.7827,0.3028
0.03701,0.7686,0.3253
0.037571,0.7586,0.3513
0.038149,0.7545,0.3797
0.038745,0.7571,0.4088
0.03936,0.7665,0.4364
0.039995,0.7821,0.459
0.040651,0.8008,0.4746
0.041328,0.8204,0.4827
0.042029,0.837,0.4833
0.042753,0.8478,0.4783
0.043503,0.8507,0.4708
0.04428,0.8451,0.4639
0.045085,0.8328,0.4611
0.04592,0.8155,0.4648
0.046786,0.7953,0.4759
0.047686,0.7762,0.4954
0.048621,0.7597,0.5226
0.049594,0.7501,0.5546
0.050606,0.7475,0.588
0.05166,0.7496,0.6196
0.052759,0.7531,0.6474
0.053906,0.7534,0.675
0.055104,0.7503,0.7077
0.056356,0.7487,0.7487
0.057667,0.7543,0.7987
0.05904,0.7723,0.8546
0.06048,0.8062,0.9099
0.061992,0.856,0.958
0.063582,0.9179,0.9897
0.065255,0.9834,1.0001
0.067018,1.0399,0.9891
0.06888,1.0767,0.9645
0.070848,1.0903,0.9396
0.072932,1.0859,0.9264
0.075142,1.0723,0.9316
0.07749,1.0599,0.9562
0.07999,1.0563,0.9964
0.082656,1.0673,1.0465
0.085506,1.095,1.1005
0.08856,1.1402,1.1515
0.09184,1.2013,1.1933
0.095372,1.2743,1.2202
0.099187,1.3537,1.227
0.10332,1.4308,1.2109
0.107812,1.4966,1.1733
0.112713,1.5421,1.1186
0.11808,1.5614,1.0545
0.123984,1.5506,0.9906
0.13051,1.5098,0.9362
0.13776,1.4393,0.8998
0.145864,1.3408,0.892
0.15498,1.2178,0.9263
0.165312,1.0837,1.021
0.17712,0.971,1.189
0.190745,0.9247,1.4036
0.20664,0.9303,1.5942
0.225426,0.8983,1.7939
0.247968,0.8956,2.0886
0.261019,0.9341,2.2529
0.27552,1.0003,2.4118
0.291728,1.0885,2.5516
0.30996,1.1837,2.6591
0.330625,1.2576,2.7278
0.354241,1.2707,2.7709
0.38149,1.19,2.8341
0.413281,1.0164,2.9861
0.450852,0.7961,3.2843
0.495937,0.5886,3.7425
0.551041,0.4262,4.3501
0.619921,0.3114,5.1115
0.708481,0.2363,6.0649
0.826561,0.1937,7.2961
0.991874,0.1818,8.9708
1.239842,0.2092,11.4251
1.653123,0.3131,15.4435
2.479684,0.6551,23.3736
