wl,n,k
5.0,1.6240317502663,0.0
4.842,1.6332058556533,0.0
4.688,1.6417334442682,0.0
4.54,1.6495581507485,0.0
4.396,1.6568352356965,0.0
4.257,1.663555792699,0.0
4.122,1.6698063350772,0.0
3.991,1.6756189316007,0.0
3.865,1.6809814756374,0.0
3.742,1.6860063236089,0.0
3.624,1.6906368746825,0.0
3.509,1.6949749939614,0.0
3.398,1.6990024419669,0.0
3.29,1.7027737381029,0.0
3.186,1.7062709711188,0.0
3.085,1.709543722848,0.0
2.987,1.7126051747702,0.0
2.893,1.715438147562,0.0
2.801,1.7181145792243,0.0
2.712,1.7206148427182,0.0
2.627,1.7229226773359,0.0
2.543,1.7251280028472,0.0
2.463,1.7271600353641,0.0
2.385,1.7290784375914,0.0
2.309,1.730889247653,0.0
2.236,1.7325755211079,0.0
2.165,1.7341669205685,0.0
2.097,1.7356472403196,0.0
2.03,1.7370650289788,0.0
1.966,1.7383827319917,0.0
1.904,1.7396263439883,0.0
1.843,1.7408195373476,0.0
1.785,1.7419273828406,0.0
1.728,1.742992131424,0.0
1.674,1.7439802356172,0.0
1.621,1.7449319592359,0.0
1.569,1.7458498390026,0.0
1.52,1.7467019118788,0.0
1.471,1.7475432140301,0.0
1.425,1.7483249348844,0.0
1.38,1.7490839326181,0.0
1.336,1.7498225628591,0.0
1.294,1.7505264589423,0.0
1.253,1.7512147150232,0.0
1.213,1.751889641765,0.0
1.175,1.7525364667588,0.0
1.137,1.7531915603611,0.0
1.101,1.7538227008788,0.0
1.066,1.7544492215126,0.0
1.033,1.7550547342523,0.0
1.0,1.7556780777757,0.0
0.9683,1.7562973768044,0.0
0.9377,1.7569182191283,0.0
0.9079,1.7575488420438,0.0
0.8792,1.7581849835841,0.0
0.8513,1.7588353492177,0.0
0.8244,1.7594974153468,0.0
0.7983,1.7601781977445,0.0
0.773,1.7608801757554,0.0
0.7485,1.7616058134504,0.0
0.7248,1.7623575309256,0.0
0.7018,1.7631412029905,0.0
0.6796,1.7639560666816,0.0
0.6581,1.7648083776856,0.0
0.6372,1.7657055418929,0.0
0.617,1.7666467187031,0.0
0.5975,1.7676347594555,0.0
0.5786,1.768678092594,0.0
0.5602,1.7697870034397,0.0
0.5425,1.7709534510436,0.0
0.5253,1.7721946418157,0.0
0.5087,1.7735082113872,0.0
0.4926,1.7749069668851,0.0
0.477,1.7763969806669,0.0
0.4618,1.7779954669163,0.0
0.4472,1.7796876970942,0.0
0.433,1.7815032886078,0.0
0.4193,1.7834376078764,0.0
0.406,1.7855131978094,0.0
0.3932,1.7877228296252,0.0
0.3807,1.7901123299044,0.0
0.3687,1.792654904549,0.0
0.357,1.7954050494599,0.0
0.3457,1.7983552384705,0.0
0.3347,1.8015488081449,0.0
0.3241,1.8049747310816,0.0
0.3139,1.8086465749755,0.0
0.3039,1.812662211763,0.0
0.2943,1.8169687643807,0.0
0.285,1.8216335887885,0.0
0.2759,1.8267479542496,0.0
0.2672,1.8322345043326,0.0
0.2587,1.8382585951889,0.0
0.2505,1.8448039892896,0.0
0.2426,1.8519174110987,0.0
0.2349,1.859757418441,0.0
0.2275,1.8682985747984,0.0
0.2203,1.8777446762354,0.0
0.2133,1.8882235599463,0.0
0.2065,1.8998877983536,0.0
0.2,1.9127094080587,0.0
