wl,n,k
6.154470000000001,0.99066944,0.006999813
6.197871,0.99057737,0.007129969
6.2415780000000005,0.99048697,0.007262762
6.2855929999999995,0.99039731,0.007398043
6.329918,0.99030815,0.007535862
6.374556,0.99021939,0.007676256
6.419509000000001,0.99013098,0.007819274
6.464779,0.99004291,0.007964981
6.510368,0.98995529,0.00811343
6.556279,0.98986888,0.008264665
6.602513,0.98978236,0.008415588
6.6490730000000005,0.9896939,0.008568564
6.695962,0.98960346,0.008723644
6.743181,0.98950972,0.008880329
6.790734,0.98941107,0.009039841
6.838622,0.98930577,0.009202227
6.8868469999999995,0.98919329,0.009367536
6.935413,0.98902742,0.009509631
6.984321,0.98884164,0.009773624
7.0335730000000005,0.98868008,0.010052269
7.0831729999999995,0.98852488,0.010402748
7.133123,0.98846412,0.010861947
7.183426,0.9885054,0.011269102
7.234082,0.98863714,0.011694434
7.2850969999999995,0.98885037,0.012004526
7.33647,0.98908109,0.01223417
7.3882069999999995,0.98929609,0.012367365
7.440308,0.98943692,0.012434636
7.492777,0.9895399,0.012561458
7.545615000000001,0.98968194,0.012685157
7.598826000000001,0.98982809,0.012723997
7.652412,0.98992419,0.012715817
7.706377000000001,0.98995536,0.012686032
7.760721,0.98991291,0.012670371
7.815449,0.98988377,0.012751205
7.870563000000001,0.98980692,0.012694764
7.9260660000000005,0.98964519,0.012777595
7.981959000000001,0.9894181,0.012855711
8.038247,0.98917796,0.013201276
8.094932,0.98920294,0.013739611
8.152016999999999,0.98953254,0.014070478
8.209503999999999,0.98973919,0.013912822
8.267396999999999,0.98965255,0.013903821
8.325698,0.98959946,0.014124355
8.384411,0.98964703,0.014268603
8.443537,0.98969219,0.014374116
8.503079999999999,0.98972596,0.014456296
8.563044000000001,0.98972566,0.014499269
8.623429,0.98967568,0.014547607
8.684239999999999,0.9895433,0.014593758
8.745482,0.98941116,0.014816417
8.807153999999999,0.9893829,0.015035778
8.869261999999999,0.98933735,0.015140553
8.931806,0.98922369,0.015301626
8.994792,0.98904231,0.015475674
9.058223,0.98884568,0.015842797
9.122101,0.98872115,0.016300781
9.186428999999999,0.98875575,0.01692386
9.251211,0.98902639,0.017508434
9.31645,0.98948856,0.017958088
9.382149,0.9899685,0.01810828
9.448310999999999,0.99036534,0.018196546
9.51494,0.99069666,0.018181913
9.58204,0.99091783,0.018135946
9.64961,0.99108923,0.018163275
9.717658,0.99123069,0.018168241
9.786187,0.99136607,0.018265454
9.855197,0.99153413,0.018347394
