wl,n,k
25.0,2.23,0.362
24.876,2.258,0.39
24.752,2.285,0.422
24.631,2.31,0.458
24.51,2.333,0.498
24.39,2.354,0.541
24.272,2.372,0.589
24.155,2.387,0.64
24.038,2.397,0.694
23.923,2.403,0.751
23.81,2.403,0.81
23.697,2.399,0.872
23.585,2.388,0.934
23.474,2.372,0.998
23.364,2.349,1.061
23.256,2.32,1.123
23.148,2.284,1.184
23.041,2.243,1.243
22.936,2.195,1.299
22.831,2.142,1.351
22.727,2.083,1.399
22.624,2.019,1.442
22.523,1.951,1.479
22.422,1.879,1.511
22.321,1.804,1.536
22.222,1.727,1.554
22.124,1.648,1.566
22.026,1.567,1.57
21.93,1.487,1.568
21.834,1.407,1.558
21.739,1.329,1.541
21.645,1.252,1.517
21.552,1.178,1.487
21.459,1.107,1.451
21.368,1.04,1.408
21.277,0.977,1.36
21.186,0.92,1.308
21.097,0.868,1.25
21.008,0.821,1.189
20.921,0.781,1.124
20.833,0.748,1.057
20.747,0.721,0.987
20.661,0.702,0.916
20.576,0.691,0.844
20.492,0.688,0.773
20.408,0.693,0.704
20.325,0.706,0.639
20.243,0.726,0.579
20.161,0.751,0.525
20.08,0.78,0.478
20.0,0.811,0.439
19.92,0.842,0.405
19.841,0.873,0.377
19.763,0.903,0.354
19.685,0.931,0.335
19.608,0.957,0.319
19.531,0.981,0.306
19.455,1.004,0.295
19.38,1.025,0.285
19.305,1.044,0.276
19.231,1.062,0.269
19.157,1.078,0.262
19.084,1.094,0.257
19.011,1.108,0.251
18.939,1.122,0.246
18.868,1.134,0.242
18.797,1.146,0.238
18.727,1.157,0.234
18.657,1.168,0.23
18.587,1.178,0.227
18.519,1.187,0.224
18.45,1.196,0.22
18.382,1.205,0.217
18.315,1.213,0.215
18.248,1.221,0.212
18.182,1.229,0.209
18.116,1.236,0.207
18.051,1.243,0.204
17.986,1.25,0.202
17.921,1.256,0.2
17.857,1.262,0.197
17.794,1.268,0.195
17.73,1.274,0.193
17.668,1.28,0.191
17.606,1.285,0.189
17.544,1.291,0.187
17.483,1.296,0.185
17.422,1.301,0.184
17.361,1.306,0.182
17.301,1.31,0.18
17.241,1.315,0.178
17.182,1.32,0.177
17.123,1.324,0.175
17.065,1.328,0.173
17.007,1.333,0.172
16.949,1.337,0.17
16.892,1.341,0.169
16.835,1.345,0.167
16.779,1.349,0.166
16.722,1.352,0.164
16.667,1.356,0.163
16.611,1.36,0.161
16.556,1.364,0.16
16.502,1.367,0.159
16.447,1.371,0.157
16.393,1.374,0.156
16.34,1.378,0.155
16.287,1.381,0.153
16.234,1.384,0.152
16.181,1.388,0.151
16.129,1.391,0.149
16.077,1.394,0.148
16.026,1.397,0.147
15.974,1.4,0.146
15.924,1.404,0.145
15.873,1.407,0.143
15.823,1.41,0.142
15.773,1.413,0.141
15.723,1.416,0.14
15.674,1.419,0.139
15.625,1.422,0.138
15.576,1.425,0.137
15.528,1.428,0.136
15.48,1.431,0.134
15.432,1.434,0.133
15.385,1.437,0.132
15.337,1.44,0.131
15.291,1.443,0.13
15.244,1.446,0.129
15.198,1.449,0.128
15.152,1.451,0.127
15.106,1.454,0.126
15.06,1.457,0.125
15.015,1.46,0.124
14.97,1.463,0.123
14.925,1.466,0.122
14.881,1.469,0.121
14.837,1.472,0.12
14.793,1.475,0.119
14.749,1.478,0.118
14.706,1.481,0.117
14.663,1.484,0.116
14.62,1.487,0.116
14.577,1.49,0.115
14.535,1.493,0.114
14.493,1.497,0.113
14.451,1.5,0.112
14.409,1.503,0.111
14.368,1.506,0.11
14.327,1.51,0.109
14.286,1.513,0.108
14.28571,1.75483,0.06946
14.20455,1.76192,0.07544
14.12429,1.76854,0.08189
14.04494,1.77462,0.08873
13.96648,1.78013,0.09586
13.88889,1.78507,0.10319
13.81215,1.78948,0.11065
13.73626,1.79339,0.11821
13.6612,1.79685,0.12588
13.58696,1.79987,0.13369
13.51351,1.80239,0.14169
13.44086,1.80433,0.14989
13.36898,1.80555,0.15829
13.29787,1.80591,0.16676
13.22751,1.80528,0.17513
13.15789,1.80364,0.18315
13.08901,1.80107,0.19056
13.02083,1.79774,0.19719
12.95337,1.7939,0.20292
12.8866,1.78975,0.2078
12.82051,1.78543,0.21195
12.7551,1.78091,0.21548
12.69036,1.7761,0.21842
12.62626,1.77085,0.22064
12.56281,1.76517,0.22183
12.5,1.7593,0.22171
12.43781,1.75367,0.22019
12.37624,1.74866,0.21746
12.31527,1.74439,0.21381
12.2549,1.74082,0.20949
12.19512,1.73783,0.20453
12.13592,1.73537,0.19887
12.07729,1.73352,0.19237
12.01923,1.73247,0.18498
11.96172,1.73248,0.17672
11.90476,1.73378,0.16778
11.84834,1.73652,0.15839
11.79245,1.74074,0.14885
11.73709,1.74636,0.1394
11.68224,1.75327,0.13019
11.62791,1.76132,0.12133
11.57407,1.77039,0.11281
11.52074,1.78044,0.10464
11.46789,1.79143,0.09678
11.41553,1.80341,0.08924
11.36364,1.8164,0.08204
11.31222,1.83045,0.07525
11.26126,1.84556,0.06894
11.21076,1.86174,0.0632
11.16071,1.87896,0.05809
11.11111,1.89719,0.05366
11.06195,1.9164,0.04995
11.01322,1.93656,0.04696
10.96491,1.95769,0.04471
10.91703,1.9798,0.04317
10.86957,2.00296,0.04236
10.82251,2.02724,0.04228
10.77586,2.05275,0.04296
10.72961,2.07964,0.04446
10.68376,2.10805,0.04686
10.6383,2.13818,0.05029
10.59322,2.17023,0.05492
10.54852,2.20442,0.061
10.5042,2.24098,0.06886
10.46025,2.28013,0.07893
10.41667,2.32206,0.09175
10.37344,2.36687,0.10802
10.33058,2.41454,0.12857
10.28807,2.46479,0.15438
10.2459,2.51707,0.18645
10.20408,2.5704,0.22569
10.1626,2.62348,0.27266
10.12146,2.6749,0.32737
10.08065,2.72354,0.38927
10.04016,2.76904,0.45759
10.0,2.8118,0.53217
9.96016,2.85225,0.61411
9.92063,2.88951,0.70568
9.88142,2.92035,0.80887
9.84252,2.93983,0.92326
9.80392,2.94379,1.04494
9.76563,2.93182,1.1682
9.72763,2.90744,1.28965
9.68992,2.87413,1.41089
9.65251,2.83031,1.53603
9.61538,2.76898,1.66503
9.57854,2.68488,1.78965
9.54198,2.5828,1.89944
9.5057,2.47376,1.99475
9.4697,2.35725,2.0846
9.43396,2.22394,2.16431
9.3985,2.08084,2.2235
9.3633,1.93544,2.26706
9.32836,1.78426,2.29703
9.29368,1.62714,2.30736
9.25926,1.47188,2.29387
9.22509,1.32733,2.26057
9.19118,1.19557,2.21577
9.15751,1.0725,2.16419
9.12409,0.95412,2.10448
9.09091,0.84093,2.03267
9.05797,0.73752,1.94684
9.02527,0.64924,1.84907
8.99281,0.57931,1.74424
8.96057,0.52817,1.6378
8.92857,0.49418,1.53432
8.8968,0.47462,1.43703
8.86525,0.46637,1.34784
8.83392,0.46639,1.26754
8.80282,0.47204,1.19597
8.77193,0.48134,1.13242
8.74126,0.49305,1.07603
8.7108,0.50643,1.02616
8.68056,0.52092,0.9826
8.65052,0.53562,0.94547
8.62069,0.54901,0.91466
8.59107,0.55926,0.88913
8.56164,0.56528,0.86671
8.53242,0.56761,0.84504
8.5034,0.56782,0.82306
8.47458,0.56717,0.80107
8.44595,0.56586,0.7798
8.41751,0.56333,0.75958
8.38926,0.55888,0.74006
8.3612,0.55206,0.72038
8.33333,0.54295,0.69945
8.30565,0.53216,0.67628
8.27815,0.52066,0.65024
8.25083,0.50958,0.6212
8.22368,0.49989,0.58946
8.19672,0.49223,0.55563
8.16993,0.48688,0.52033
8.14332,0.48386,0.48403
8.11688,0.48309,0.44699
8.09061,0.48459,0.40924
8.06452,0.4886,0.37072
8.03859,0.49564,0.33153
8.01282,0.50638,0.29212
7.98722,0.52132,0.2534
7.96178,0.54054,0.21658
7.93651,0.56351,0.18289
7.91139,0.58921,0.15315
7.88644,0.61646,0.1277
7.86164,0.64421,0.10639
7.83699,0.67163,0.08881
7.8125,0.69819,0.07443
7.78816,0.72356,0.06272
7.76398,0.74758,0.05319
7.73994,0.77021,0.04543
7.71605,0.79147,0.03908
7.69231,0.8114,0.03388
7.66871,0.8301,0.02959
7.64526,0.84764,0.02603
7.62195,0.86413,0.02307
7.59878,0.87963,0.02058
7.57576,0.89424,0.01849
7.55287,0.90804,0.01672
7.53012,0.92108,0.0152
7.50751,0.93343,0.0139
7.48503,0.94515,0.01278
7.46269,0.95629,0.01181
7.44048,0.96689,0.01096
7.4184,0.977,0.01022
7.39645,0.98666,0.00956
7.37463,0.99589,0.00898
7.35294,1.00472,0.00846
7.33138,1.01319,0.008
7.30994,1.02132,0.00759
7.28863,1.02913,0.00722
7.26744,1.03665,0.00688
7.24638,1.04388,0.00657
7.22543,1.05085,0.00629
7.20461,1.05757,0.00603
7.18391,1.06406,0.0058
7.16332,1.07032,0.00558
7.14286,1.07639,0.00538
7.12251,1.08225,0.0052
7.10227,1.08793,0.00502
7.08215,1.09343,0.00486
7.06215,1.09877,0.00471
7.04225,1.10394,0.00457
7.02247,1.10896,0.00444
7.0028,1.11384,0.00432
6.98324,1.11858,0.0042
6.96379,1.12319,0.00409
6.94444,1.12767,0.00398
6.92521,1.13204,0.00389
6.90608,1.13628,0.00379
6.88705,1.14042,0.0037
6.86813,1.14445,0.00362
6.84932,1.14838,0.00354
6.8306,1.15221,0.00346
6.81199,1.15595,0.00339
6.79348,1.1596,0.00331
6.77507,1.16316,0.00325
6.75676,1.16664,0.00318
6.73854,1.17004,0.00312
6.72043,1.17336,0.00306
6.70241,1.17661,0.003
6.68449,1.17978,0.00295
6.66667,1.18289,0.00289
6.64894,1.18593,0.00284
6.6313,1.1889,0.00279
6.61376,1.19181,0.00274
6.59631,1.19466,0.00269
6.57895,1.19745,0.00265
6.56168,1.20019,0.00261
6.5445,1.20286,0.00256
6.52742,1.20549,0.00252
6.51042,1.20807,0.00248
6.49351,1.21059,0.00244
6.47668,1.21307,0.00241
6.45995,1.21549,0.00237
6.4433,1.21788,0.00233
6.42674,1.22022,0.0023
6.41026,1.22251,0.00227
6.39386,1.22476,0.00223
6.37755,1.22698,0.0022
6.36132,1.22915,0.00217
6.34518,1.23128,0.00214
6.32911,1.23338,0.00211
6.31313,1.23544,0.00208
6.29723,1.23747,0.00205
6.28141,1.23946,0.00203
6.26566,1.24141,0.002
6.25,1.24334,0.00197
6.23441,1.24523,0.00195
6.21891,1.24709,0.00192
6.20347,1.24892,0.0019
6.18812,1.25072,0.00187
6.17284,1.25249,0.00185
6.15764,1.25424,0.00183
6.14251,1.25595,0.00181
6.12745,1.25764,0.00178
6.11247,1.25931,0.00176
6.09756,1.26095,0.00174
6.08273,1.26256,0.00172
6.06796,1.26415,0.0017
6.05327,1.26571,0.00168
6.03865,1.26725,0.00166
6.0241,1.26877,0.00164
6.00962,1.27027,0.00162
5.9952,1.27174,0.0016
5.98086,1.27319,0.00159
5.96659,1.27463,0.00157
5.95238,1.27604,0.00155
5.93824,1.27743,0.00153
5.92417,1.2788,0.00152
5.91017,1.28016,0.0015
5.89623,1.28149,0.00149
5.88235,1.28281,0.00147
5.86854,1.2841,0.00145
5.8548,1.28538,0.00144
5.84112,1.28665,0.00142
5.82751,1.28789,0.00141
5.81395,1.28912,0.00139
5.80046,1.29034,0.00138
5.78704,1.29154,0.00137
5.77367,1.29272,0.00135
5.76037,1.29388,0.00134
5.74713,1.29504,0.00132
5.73394,1.29617,0.00131
5.72082,1.2973,0.0013
5.70776,1.2984,0.00129
5.69476,1.2995,0.00127
5.68182,1.30058,0.00126
5.66893,1.30165,0.00125
5.65611,1.3027,0.00124
5.64334,1.30374,0.00122
5.63063,1.30477,0.00121
5.61798,1.30579,0.0012
5.60538,1.30679,0.00119
5.59284,1.30779,0.00118
5.58036,1.30877,0.00117
5.56793,1.30974,0.00116
5.55556,1.31069,0.00115
5.54324,1.31164,0.00114
5.53097,1.31258,0.00113
5.51876,1.3135,0.00112
5.50661,1.31442,0.00111
5.49451,1.31532,0.0011
5.48246,1.31621,0.00109
5.47046,1.3171,0.00108
5.45852,1.31797,0.00107
5.44662,1.31883,0.00106
5.43478,1.31969,0.00105
5.42299,1.32053,0.00104
5.41126,1.32137,0.00103
5.39957,1.32219,0.00102
5.38793,1.32301,0.00101
5.37634,1.32382,0.001
5.36481,1.32462,0.00099
5.35332,1.32541,0.00099
5.34188,1.32619,0.00098
5.33049,1.32697,0.00097
5.31915,1.32774,0.00096
5.30786,1.32849,0.00095
5.29661,1.32924,0.00095
5.28541,1.32999,0.00094
5.27426,1.33072,0.00093
5.26316,1.33145,0.00092
5.2521,1.33217,0.00091
5.24109,1.33288,0.00091
5.23013,1.33359,0.0009
5.21921,1.33429,0.00089
5.20833,1.33498,0.00089
5.19751,1.33566,0.00088
5.18672,1.33634,0.00087
5.17598,1.33701,0.00086
5.16529,1.33768,0.00086
5.15464,1.33833,0.00085
5.14403,1.33899,0.00084
5.13347,1.33963,0.00084
5.12295,1.34027,0.00083
5.11247,1.3409,0.00082
5.10204,1.34153,0.00082
5.09165,1.34215,0.00081
5.0813,1.34276,0.00081
5.07099,1.34337,0.0008
5.06073,1.34398,0.00079
5.05051,1.34457,0.00079
5.04032,1.34517,0.00078
5.03018,1.34575,0.00078
5.02008,1.34633,0.00077
5.01002,1.34691,0.00076
5.0,1.34748,0.00076
4.99002,1.34805,0.00075
4.98008,1.34861,0.00075
4.97018,1.34916,0.00074
4.96032,1.34971,0.00074
4.9505,1.35026,0.00073
4.94071,1.3508,0.00073
4.93097,1.35133,0.00072
4.92126,1.35186,0.00071
4.91159,1.35239,0.00071
4.90196,1.35291,0.0007
4.89237,1.35343,0.0007
4.88281,1.35394,0.00069
4.87329,1.35445,0.00069
4.86381,1.35495,0.00068
4.85437,1.35545,0.00068
4.84496,1.35594,0.00067
4.83559,1.35643,0.00067
4.82625,1.35692,0.00067
4.81696,1.3574,0.00066
4.80769,1.35788,0.00066
4.79846,1.35835,0.00065
4.78927,1.35882,0.00065
4.78011,1.35929,0.00064
4.77099,1.35975,0.00064
