wl,n,k
30.996,25.227,38.632
30.847,25.121,38.54
30.698,25.014,38.448
30.55,24.908,38.355
30.403,24.802,38.263
30.256,24.696,38.172
30.11,24.59,38.08
29.965,24.485,37.988
29.82,24.38,37.896
29.677,24.275,37.804
29.534,24.17,37.713
29.391,24.065,37.621
29.249,23.961,37.53
29.108,23.857,37.438
28.968,23.753,37.347
28.828,23.649,37.256
28.689,23.545,37.165
28.551,23.442,37.073
28.413,23.339,36.982
28.276,23.236,36.891
28.14,23.133,36.8
28.004,23.031,36.709
27.869,22.928,36.618
27.735,22.826,36.528
27.601,22.724,36.437
27.468,22.623,36.346
27.336,22.521,36.255
27.204,22.42,36.165
27.073,22.319,36.074
26.942,22.218,35.984
26.812,22.118,35.893
26.683,22.017,35.803
26.554,21.917,35.712
26.426,21.817,35.622
26.299,21.718,35.532
26.172,21.618,35.442
26.046,21.519,35.351
25.92,21.42,35.261
25.796,21.321,35.171
25.671,21.223,35.081
25.547,21.124,34.991
25.424,21.026,34.901
25.302,20.928,34.811
25.18,20.831,34.721
25.058,20.733,34.631
24.937,20.636,34.541
24.817,20.539,34.451
24.697,20.442,34.362
24.578,20.346,34.272
24.46,20.249,34.182
24.342,20.153,34.092
24.225,20.058,34.003
24.108,19.962,33.913
23.992,19.867,33.824
23.876,19.772,33.734
23.761,19.677,33.644
23.646,19.582,33.555
23.532,19.488,33.465
23.419,19.394,33.376
23.306,19.3,33.287
23.193,19.206,33.197
23.082,19.113,33.108
22.97,19.019,33.019
22.86,18.926,32.929
22.749,18.834,32.84
22.64,18.741,32.751
22.531,18.649,32.662
22.422,18.557,32.572
22.314,18.466,32.483
22.206,18.374,32.394
22.099,18.283,32.305
21.993,18.192,32.216
21.887,18.101,32.127
21.781,18.011,32.038
21.676,17.921,31.949
21.572,17.831,31.86
21.468,17.741,31.771
21.364,17.652,31.682
21.261,17.563,31.593
21.158,17.474,31.504
21.056,17.385,31.415
20.955,17.297,31.326
20.854,17.209,31.237
20.753,17.121,31.148
20.653,17.033,31.06
20.554,16.946,30.971
20.455,16.859,30.882
20.356,16.772,30.793
20.258,16.685,30.705
20.16,16.599,30.616
20.063,16.513,30.527
19.966,16.428,30.439
19.87,16.342,30.35
19.774,16.257,30.261
19.679,16.172,30.173
19.584,16.087,30.084
19.49,16.003,29.996
19.396,15.919,29.907
19.302,15.835,29.819
19.209,15.752,29.73
19.116,15.669,29.642
19.024,15.586,29.553
18.932,15.503,29.465
18.841,15.421,29.377
18.75,15.338,29.288
18.66,15.257,29.2
18.57,15.175,29.112
18.48,15.094,29.023
18.391,15.013,28.935
18.303,14.932,28.847
18.214,14.852,28.759
18.127,14.772,28.67
18.039,14.692,28.582
17.952,14.613,28.494
17.866,14.533,28.406
17.78,14.454,28.318
17.694,14.376,28.23
17.608,14.298,28.142
17.524,14.22,28.054
17.439,14.142,27.966
17.355,14.064,27.878
17.271,13.987,27.79
17.188,13.91,27.702
17.105,13.834,27.614
17.023,13.758,27.526
16.941,13.682,27.439
16.859,13.606,27.351
16.778,13.531,27.263
16.697,13.456,27.175
16.616,13.381,27.088
16.536,13.307,27.0
16.456,13.233,26.912
16.377,13.159,26.825
16.298,13.085,26.737
16.22,13.012,26.65
16.141,12.939,26.562
16.064,12.867,26.475
15.986,12.795,26.388
15.909,12.723,26.3
15.832,12.651,26.213
15.756,12.58,26.126
15.68,12.509,26.038
15.604,12.438,25.951
15.529,12.368,25.864
15.454,12.298,25.777
15.38,12.228,25.69
15.306,12.159,25.603
15.232,12.09,25.516
15.158,12.021,25.429
15.085,11.953,25.342
15.013,11.885,25.255
14.94,11.817,25.169
14.868,11.749,25.082
14.796,11.682,24.995
14.725,11.615,24.909
14.654,11.549,24.822
14.583,11.483,24.736
14.513,11.417,24.649
14.443,11.352,24.563
14.374,11.286,24.476
14.304,11.222,24.39
14.235,11.157,24.304
14.167,11.093,24.218
14.098,11.029,24.132
14.03,10.966,24.046
13.963,10.902,23.96
13.895,10.839,23.874
13.828,10.777,23.788
13.762,10.715,23.702
13.695,10.653,23.616
13.629,10.591,23.531
13.564,10.53,23.445
13.498,10.469,23.36
13.433,10.409,23.274
13.368,10.349,23.189
13.304,10.289,23.104
13.24,10.229,23.018
13.176,10.17,22.933
13.112,10.111,22.848
13.049,10.053,22.763
12.986,9.9946,22.678
12.924,9.9367,22.594
12.861,9.8792,22.509
12.799,9.8221,22.424
12.738,9.7652,22.34
12.676,9.7088,22.255
12.615,9.6526,22.171
12.554,9.5968,22.086
12.494,9.5413,22.002
12.434,9.4862,21.918
12.374,9.4314,21.834
12.314,9.3769,21.75
12.255,9.3228,21.666
12.195,9.2691,21.583
12.137,9.2156,21.499
12.078,9.1625,21.415
12.02,9.1098,21.332
11.962,9.0573,21.249
11.904,9.0053,21.165
11.847,8.9535,21.082
11.79,8.9021,20.999
11.733,8.8511,20.916
11.676,8.8003,20.833
11.62,8.75,20.751
11.564,8.6999,20.668
11.508,8.6502,20.586
11.453,8.6009,20.503
11.398,8.5518,20.421
11.343,8.5031,20.339
11.288,8.4548,20.257
11.233,8.4068,20.175
11.179,8.3591,20.093
11.125,8.3118,20.011
11.072,8.2648,19.93
11.018,8.2182,19.848
10.965,8.1718,19.767
10.912,8.1259,19.686
10.86,8.0802,19.605
10.807,8.0349,19.524
10.755,7.99,19.443
10.703,7.9454,19.362
10.652,7.9011,19.282
10.6,7.8571,19.201
10.549,7.8135,19.121
10.499,7.7702,19.041
10.448,7.7273,18.961
10.398,7.6847,18.881
10.347,7.6424,18.801
10.298,7.6005,18.722
10.248,7.5589,18.642
10.198,7.5176,18.563
10.149,7.4767,18.484
10.1,7.4361,18.405
10.052,7.3958,18.326
10.003,7.3559,18.247
9.955,7.3162,18.169
9.907,7.277,18.09
9.8592,7.238,18.012
9.8117,7.1994,17.934
9.7643,7.1611,17.856
9.7173,7.1232,17.778
9.6704,7.0856,17.701
9.6238,7.0483,17.623
9.5774,7.0113,17.546
9.5312,6.9747,17.469
9.4853,6.9383,17.392
9.4395,6.9024,17.315
9.394,6.8667,17.238
9.3487,6.8314,17.162
9.3036,6.7963,17.086
