wl,n
30.996,25.227
30.847,25.121
30.698,25.014
30.55,24.908
30.403,24.802
30.256,24.696
30.11,24.59
29.965,24.485
29.82,24.38
29.677,24.275
29.534,24.17
29.391,24.065
29.249,23.961
29.108,23.857
28.968,23.753
28.828,23.649
28.689,23.545
28.551,23.442
28.413,23.339
28.276,23.236
28.14,23.133
28.004,23.031
27.869,22.928
27.735,22.826
27.601,22.724
27.468,22.623
27.336,22.521
27.204,22.42
27.073,22.319
26.942,22.218
26.812,22.118
26.683,22.017
26.554,21.917
26.426,21.817
26.299,21.718
26.172,21.618
26.046,21.519
25.92,21.42
25.796,21.321
25.671,21.223
25.547,21.124
25.424,21.026
25.302,20.928
25.18,20.831
25.058,20.733
24.937,20.636
24.817,20.539
24.697,20.442
24.578,20.346
24.46,20.249
24.342,20.153
24.225,20.058
24.108,19.962
23.992,19.867
23.876,19.772
23.761,19.677
23.646,19.582
23.532,19.488
23.419,19.394
23.306,19.3
23.193,19.206
23.082,19.113
22.97,19.019
22.86,18.926
22.749,18.834
22.64,18.741
22.531,18.649
22.422,18.557
22.314,18.466
22.206,18.374
22.099,18.283
21.993,18.192
21.887,18.101
21.781,18.011
21.676,17.921
21.572,17.831
21.468,17.741
21.364,17.652
21.261,17.563
21.158,17.474
21.056,17.385
20.955,17.297
20.854,17.209
20.753,17.121
20.653,17.033
20.554,16.946
20.455,16.859
20.356,16.772
20.258,16.685
20.16,16.599
20.063,16.513
19.966,16.428
19.87,16.342
19.774,16.257
19.679,16.172
19.584,16.087
19.49,16.003
19.396,15.919
19.302,15.835
19.209,15.752
19.116,15.669
19.024,15.586
18.932,15.503
18.841,15.421
18.75,15.338
18.66,15.257
18.57,15.175
18.48,15.094
18.391,15.013
18.303,14.932
18.214,14.852
18.127,14.772
18.039,14.692
17.952,14.613
17.866,14.533
17.78,14.454
17.694,14.376
17.608,14.298
17.524,14.22
17.439,14.142
17.355,14.064
17.271,13.987
17.188,13.91
17.105,13.834
17.023,13.758
16.941,13.682
16.859,13.606
16.778,13.531
16.697,13.456
16.616,13.381
16.536,13.307
16.456,13.233
16.377,13.159
16.298,13.085
16.22,13.012
16.141,12.939
16.064,12.867
15.986,12.795
15.909,12.723
15.832,12.651
15.756,12.58
15.68,12.509
15.604,12.438
15.529,12.368
15.454,12.298
15.38,12.228
15.306,12.159
15.232,12.09
15.158,12.021
15.085,11.953
15.013,11.885
14.94,11.817
14.868,11.749
14.796,11.682
14.725,11.615
14.654,11.549
14.583,11.483
14.513,11.417
14.443,11.352
14.374,11.286
14.304,11.222
14.235,11.157
14.167,11.093
14.098,11.029
14.03,10.966
13.963,10.902
13.895,10.839
13.828,10.777
13.762,10.715
13.695,10.653
13.629,10.591
13.564,10.53
13.498,10.469
13.433,10.409
13.368,10.349
13.304,10.289
13.24,10.229
13.176,10.17
13.112,10.111
13.049,10.053
12.986,9.9946
12.924,9.9367
12.861,9.8792
12.799,9.8221
12.738,9.7652
12.676,9.7088
12.615,9.6526
12.554,9.5968
12.494,9.5413
12.434,9.4862
12.374,9.4314
12.314,9.3769
12.255,9.3228
12.195,9.2691
12.137,9.2156
12.078,9.1625
12.02,9.1098
11.962,9.0573
11.904,9.0053
11.847,8.9535
11.79,8.9021
11.733,8.8511
11.676,8.8003
11.62,8.75
11.564,8.6999
11.508,8.6502
11.453,8.6009
11.398,8.5518
11.343,8.5031
11.288,8.4548
11.233,8.4068
11.179,8.3591
11.125,8.3118
11.072,8.2648
11.018,8.2182
10.965,8.1718
10.912,8.1259
10.86,8.0802
10.807,8.0349
10.755,7.99
10.703,7.9454
10.652,7.9011
10.6,7.8571
10.549,7.8135
10.499,7.7702
10.448,7.7273
10.398,7.6847
10.347,7.6424
10.298,7.6005
10.248,7.5589
10.198,7.5176
10.149,7.4767
10.1,7.4361
10.052,7.3958
10.003,7.3559
9.955,7.3162
9.907,7.277
9.8592,7.238
9.8117,7.1994
9.7643,7.1611
9.7173,7.1232
9.6704,7.0856
9.6238,7.0483
9.5774,7.0113
9.5312,6.9747
9.4853,6.9383
9.4395,6.9024
9.394,6.8667
9.3487,6.8314
9.3036,6.7963
9.2588,6.7617
9.2141,6.7273
9.1697,6.6932
9.1255,6.6595
9.0815,6.6261
9.0377,6.593
8.9941,6.5603
8.9508,6.5278
8.9076,6.4957
8.8647,6.4639
8.8219,6.4324
8.7794,6.4013
8.7371,6.3704
8.6949,6.3399
8.653,6.3096
8.6113,6.2797
8.5698,6.2501
8.5285,6.2208
8.4873,6.1918
8.4464,6.1632
8.4057,6.1348
8.3652,6.1067
8.3248,6.079
8.2847,6.0515
8.2448,6.0244
8.205,5.9976
8.1654,5.971
8.1261,5.9448
8.0869,5.9189
8.0479,5.8932
8.0091,5.8679
7.9705,5.8429
7.9321,5.8182
7.8938,5.7937
7.8558,5.7696
7.8179,5.7457
7.7802,5.7222
7.7427,5.6989
7.7053,5.6759
7.6682,5.6533
7.6312,5.6309
7.5944,5.6088
7.5578,5.587
7.5214,5.5654
7.4851,5.5442
7.449,5.5232
7.4131,5.5025
7.3774,5.4821
7.3418,5.462
7.3064,5.4422
7.2712,5.4226
7.2361,5.4033
7.2012,5.3843
7.1665,5.3655
7.1319,5.3471
7.0976,5.3289
7.0633,5.3109
7.0293,5.2933
6.9954,5.2759
6.9617,5.2588
6.9281,5.2419
6.8947,5.2253
6.8614,5.2089
6.8284,5.1929
6.7954,5.177
6.7627,5.1615
6.7301,5.1462
6.6976,5.1311
6.6653,5.1163
6.6332,5.1017
6.6012,5.0874
6.5694,5.0734
6.5377,5.0596
6.5062,5.046
6.4748,5.0327
6.4436,5.0196
6.4125,5.0068
6.3816,4.9942
6.3508,4.9818
6.3202,4.9697
6.2897,4.9578
6.2594,4.9461
6.2292,4.9347
6.1992,4.9235
6.1693,4.9125
6.1396,4.9018
6.11,4.8912
6.0805,4.8809
6.0512,4.8708
6.022,4.8609
5.993,4.8513
5.9641,4.8418
5.9353,4.8326
5.9067,4.8236
5.8782,4.8148
5.8499,4.8062
5.8217,4.7978
5.7936,4.7896
5.7657,4.7816
5.7379,4.7738
5.7102,4.7661
5.6827,4.7587
5.6553,4.7515
5.628,4.7445
5.6009,4.7376
5.5739,4.731
5.547,4.7245
5.5203,4.7182
5.4937,4.7121
5.4672,4.7062
5.4408,4.7004
5.4146,4.6948
5.3885,4.6894
5.3625,4.6841
5.3366,4.679
5.3109,4.6741
5.2853,4.6693
5.2598,4.6647
5.2344,4.6603
5.2092,4.656
5.1841,4.6519
5.1591,4.6479
5.1342,4.644
5.1095,4.6403
5.0848,4.6367
5.0603,4.6333
5.0359,4.63
5.0116,4.6269
4.9875,4.6239
4.9634,4.621
4.9395,4.6182
4.9157,4.6156
4.892,4.6131
4.8684,4.6107
4.8449,4.6084
4.8216,4.6062
4.7983,4.6042
4.7752,4.6022
4.7522,4.6004
4.7292,4.5987
4.7064,4.597
4.6838,4.5955
4.6612,4.5941
4.6387,4.5927
4.6163,4.5915
4.5941,4.5903
4.5719,4.5893
4.5499,4.5883
4.5279,4.5874
4.5061,4.5865
4.4844,4.5858
4.4628,4.5851
4.4412,4.5845
4.4198,4.5839
4.3985,4.5835
4.3773,4.583
4.3562,4.5827
4.3352,4.5824
4.3143,4.5822
4.2935,4.582
4.2728,4.5818
4.2522,4.5818
4.2317,4.5817
4.2113,4.5817
4.191,4.5818
4.1708,4.5818
4.1507,4.582
4.1307,4.5821
4.1107,4.5823
4.0909,4.5825
4.0712,4.5827
4.0516,4.583
4.032,4.5833
4.0126,4.5836
3.9932,4.5839
3.974,4.5843
3.9548,4.5846
3.9358,4.585
3.9168,4.5854
3.8979,4.5857
3.8791,4.5861
3.8604,4.5865
3.8418,4.5869
3.8233,4.5873
3.8048,4.5877
3.7865,4.588
3.7682,4.5884
3.7501,4.5888
3.732,4.5891
3.714,4.5895
3.6961,4.5898
3.6783,4.5901
3.6605,4.5904
3.6429,4.5907
3.6253,4.5909
3.6078,4.5911
3.5904,4.5913
3.5731,4.5915
3.5559,4.5917
3.5388,4.5918
3.5217,4.5919
3.5047,4.5919
3.4878,4.5919
3.471,4.5919
3.4543,4.5919
3.4376,4.5918
3.421,4.5917
3.4045,4.5915
3.3881,4.5913
3.3718,4.5911
3.3555,4.5908
3.3394,4.5904
3.3233,4.5901
3.3072,4.5896
3.2913,4.5892
3.2754,4.5886
3.2596,4.5881
3.2439,4.5874
3.2283,4.5868
3.2127,4.586
3.1972,4.5852
3.1818,4.5844
3.1665,4.5835
3.1512,4.5826
3.136,4.5816
3.1209,4.5805
3.1058,4.5794
3.0909,4.5782
3.076,4.577
3.0611,4.5757
3.0464,4.5744
3.0317,4.573
3.0171,4.5715
3.0025,4.57
2.988,4.5684
2.9736,4.5667
2.9593,4.565
2.945,4.5632
2.9308,4.5614
2.9167,4.5595
2.9026,4.5575
2.8886,4.5555
2.8747,4.5534
2.8608,4.5512
2.8471,4.549
2.8333,4.5467
2.8197,4.5444
2.8061,4.542
2.7925,4.5395
2.7791,4.5369
2.7657,4.5343
2.7523,4.5317
2.7391,4.5289
2.7259,4.5261
2.7127,4.5232
2.6996,4.5203
2.6866,4.5173
2.6737,4.5142
2.6608,4.5111
2.648,4.5079
2.6352,4.5047
2.6225,4.5013
2.6098,4.498
2.5973,4.4945
2.5847,4.491
2.5723,4.4874
2.5599,4.4838
2.5475,4.4801
2.5352,4.4763
2.523,4.4725
2.5109,4.4686
2.4987,4.4646
2.4867,4.4606
2.4747,4.4565
2.4628,4.4524
2.4509,4.4482
2.4391,4.4439
2.4273,4.4396
2.4156,4.4352
2.404,4.4308
2.3924,4.4263
2.3809,4.4217
2.3694,4.4171
2.3579,4.4124
2.3466,4.4077
2.3353,4.4029
2.324,4.398
2.3128,4.3931
2.3017,4.3881
2.2906,4.3831
2.2795,4.378
2.2685,4.3729
2.2576,4.3677
2.2467,4.3624
2.2359,4.3571
2.2251,4.3518
2.2144,4.3464
2.2037,4.3409
2.1931,4.3354
2.1825,4.3298
2.172,4.3242
2.1615,4.3185
2.1511,4.3128
2.1407,4.307
2.1304,4.3012
2.1201,4.2953
2.1099,4.2894
2.0997,4.2834
2.0896,4.2773
2.0795,4.2713
2.0695,4.2651
2.0595,4.259
2.0496,4.2527
2.0397,4.2465
2.0299,4.2402
2.0201,4.2338
2.0103,4.2274
2.0006,4.2209
1.991,4.2144
1.9814,4.2079
1.9718,4.2013
1.9623,4.1947
1.9529,4.188
1.9435,4.1813
1.9341,4.1745
1.9248,4.1677
1.9155,4.1608
1.9062,4.1539
1.8971,4.147
1.8879,4.14
1.8788,4.133
1.8697,4.126
1.8607,4.1189
1.8518,4.1117
1.8428,4.1046
1.8339,4.0974
1.8251,4.0901
1.8163,4.0828
1.8075,4.0755
1.7988,4.0681
1.7902,4.0607
1.7815,4.0533
1.7729,4.0458
1.7644,4.0383
1.7559,4.0307
1.7474,4.0232
1.739,4.0155
1.7306,4.0079
1.7223,4.0002
