wl,n
20.0,29.97724
19.6304,29.64276
19.27421,29.31693
18.93068,28.99924
18.59922,28.68943
18.27916,28.38706
17.96994,28.09178
17.67097,27.8034
17.38181,27.52154
17.10197,27.24584
16.83099,26.97613
16.56847,26.71202
16.31399,26.45327
16.06723,26.19972
15.82782,25.95104
15.59544,25.70713
15.36977,25.46769
15.15055,25.23278
14.9375,25.00219
14.73036,24.77587
14.52887,24.55374
14.33283,24.33574
14.14201,24.12175
13.95621,23.91166
13.77522,23.70536
13.59886,23.5028
13.42696,23.30385
13.25936,23.10838
13.0959,22.91623
12.93639,22.72748
12.78075,22.54174
12.6288,22.3591
12.48042,22.1795
12.33549,22.00278
12.19387,21.82879
12.05548,21.65746
11.9202,21.48886
11.78792,21.32281
11.65853,21.15925
11.53196,20.99801
11.40812,20.83924
11.2869,20.68266
11.16823,20.52831
11.05202,20.37621
10.93821,20.22621
10.82673,20.07821
10.71749,19.93225
10.61043,19.78825
10.50549,19.64626
10.40261,19.50606
10.30173,19.36769
10.20277,19.23106
10.10571,19.09623
10.01047,18.96308
9.91699,18.83161
9.82531,18.70177
9.7352,18.57351
9.64683,18.44684
9.55996,18.32167
9.47472,18.198
9.39099,18.0758
9.30865,17.95503
9.22782,17.83566
9.14829,17.71767
9.07021,17.60103
8.99345,17.48571
8.9179,17.37169
8.84369,17.25894
8.77062,17.14742
8.69883,17.03714
8.62813,16.92806
8.55864,16.82016
8.49026,16.71341
8.4229,16.60777
8.35666,16.50328
8.29139,16.39987
8.2272,16.29754
8.16393,16.19625
8.10169,16.09601
8.04039,15.99678
7.97995,15.89856
7.92048,15.80132
7.86182,15.70505
7.80409,15.60973
7.74719,15.51536
7.69107,15.42188
7.6358,15.32934
7.58127,15.23768
7.52757,15.14688
7.47457,15.05697
7.42236,14.96789
7.37088,14.87965
7.32005,14.79223
7.26998,14.70563
7.22053,14.61983
7.1718,14.5348
7.12367,14.45056
7.07624,14.36709
7.02943,14.28436
6.98319,14.20237
6.9376,14.12112
6.89256,14.04058
6.84814,13.96075
6.80425,13.88162
6.76096,13.80319
6.71822,13.72543
6.67597,13.64834
6.63429,13.57191
6.59309,13.49615
6.55244,13.42103
6.51228,13.34653
6.47258,13.27266
6.43339,13.1994
6.39464,13.12677
6.35639,13.05475
6.31856,12.98331
6.28121,12.91244
6.2443,12.84219
6.20779,12.77246
6.17173,12.70333
6.13606,12.63475
6.10083,12.56673
6.06597,12.49924
6.03154,12.43231
5.99751,12.36589
5.96381,12.29999
5.93053,12.23462
5.89758,12.16976
5.86503,12.1054
5.83281,12.04154
5.80097,11.97819
5.76947,11.91533
5.73829,11.85294
5.70747,11.79102
5.67695,11.72958
5.64678,11.6686
5.61694,11.60811
5.58737,11.54805
5.55815,11.48844
5.5292,11.42928
5.50058,11.37056
5.47223,11.31229
5.44419,11.25445
5.41644,11.19702
5.38895,11.14002
5.36176,11.08343
5.33481,11.02727
5.30817,10.97152
5.28176,10.91616
5.25563,10.8612
5.22977,10.80664
5.20413,10.75248
5.17877,10.69871
5.15363,10.6453
5.12876,10.59229
5.1041,10.53965
5.0797,10.48738
5.05554,10.43549
5.03157,10.38397
5.00786,10.33279
4.98435,10.28198
4.96108,10.23152
4.93803,10.18143
4.91516,10.13165
4.89254,10.08227
4.87009,10.03319
4.84787,9.98444
4.82584,9.93605
4.80402,9.88798
4.7824,9.84025
4.76095,9.7928
4.73972,9.74571
4.71865,9.69894
4.69779,9.65248
4.67709,9.60634
4.6566,9.5605
4.63628,9.51497
4.61612,9.46974
4.59616,9.42483
4.57634,9.3802
4.55672,9.33587
4.53727,9.29183
4.51796,9.24811
4.49883,9.20465
4.47985,9.16145
4.46104,9.11857
4.44237,9.07598
4.42388,9.03365
4.40554,8.9916
4.38733,8.94982
4.36929,8.9083
4.35138,8.86708
4.33364,8.82609
4.31602,8.78539
4.29856,8.74495
4.28124,8.70475
4.26405,8.66483
4.24701,8.62516
4.23008,8.58572
4.21331,8.54655
4.19666,8.50762
4.18015,8.46896
4.16377,8.43053
4.1475,8.39233
4.13138,8.35438
4.11536,8.31668
4.09949,8.2792
4.08373,8.24197
4.06808,8.20496
4.05257,8.1682
4.03716,8.13164
4.02188,8.09532
4.0067,8.05924
3.99165,8.02336
3.97671,7.9877
3.96187,7.95227
3.94716,7.91708
3.93253,7.88207
3.91803,7.84729
3.90363,7.81272
3.88934,7.77838
3.87516,7.74422
3.86106,7.7103
3.84709,7.67655
3.83319,7.64303
3.81942,7.60971
3.80573,7.57658
3.79214,7.54366
3.77866,7.51093
3.76526,7.47842
3.75197,7.44607
3.73875,7.41393
3.72564,7.38199
3.71263,7.35023
3.69969,7.31867
3.68685,7.2873
3.67409,7.2561
3.66143,7.22509
3.64885,7.19427
3.63636,7.16364
3.62396,7.13318
3.61163,7.10291
3.5994,7.0728
3.58724,7.04286
3.57517,7.01315
3.56317,6.98356
3.55126,6.95414
3.53943,6.92494
3.52767,6.89586
3.516,6.86698
3.50439,6.83825
3.49288,6.8097
3.48143,6.78132
3.47005,6.75311
3.45876,6.72502
3.44753,6.69713
3.43638,6.66938
3.42529,6.6418
