wl,n,k
126.1227623,5.841016959,0.701308042
125.1227623,5.841016959,0.701308042
124.4045669,5.840386312,0.705331161
123.6904939,5.83974843,0.709376772
122.9805196,5.839103235,0.713444984
122.2746205,5.838450652,0.717535906
121.5727732,5.837790601,0.721649646
120.8749545,5.837123004,0.725786315
120.1811412,5.836447783,0.72994602
119.4913103,5.835764858,0.734128871
118.8054391,5.835074149,0.738334976
118.1235046,5.834375576,0.742564444
117.4454844,5.833669058,0.746817384
116.7713561,5.832954513,0.751093905
116.1010971,5.832231862,0.755394114
115.4346854,5.831501021,0.759718121
114.7720988,5.830761909,0.764066034
114.1133155,5.830014443,0.76843796
113.4583135,5.82925854,0.772834006
112.8070712,5.828494118,0.777254282
112.1595669,5.827721092,0.781698893
111.5157793,5.826939381,0.786167947
110.875687,5.826148899,0.790661551
110.2392687,5.825349564,0.79517981
109.6065035,5.824541291,0.799722831
108.9773702,5.823723997,0.804290719
108.3518482,5.822897597,0.808883579
107.7299166,5.822062009,0.813501516
107.1115548,5.821217148,0.818144634
106.4967424,5.820362931,0.822813036
105.885459,5.819499274,0.827506827
105.2776843,5.818626095,0.832226107
104.6733982,5.81774331,0.83697098
104.0725806,5.816850837,0.841741547
103.4752117,5.815948594,0.846537908
102.8812716,5.8150365,0.851360163
102.2907408,5.814114474,0.856208412
101.7035995,5.813182436,0.861082752
101.1198283,5.812240306,0.865983282
100.539408,5.811288005,0.870910097
99.96231923,5.810325457,0.875863296
99.38854291,5.809352584,0.880842971
98.81806002,5.808369311,0.885849217
98.25085167,5.807375564,0.890882128
97.68689904,5.80637127,0.895941795
97.12618347,5.805356358,0.90102831
96.56868636,5.804330758,0.906141762
96.01438924,5.803294402,0.91128224
95.46327375,5.802247224,0.916449832
94.91532161,5.80118916,0.921644625
94.37051469,5.800120148,0.926866703
93.82883491,5.79904013,0.932116151
93.29026434,5.797949047,0.937393051
92.75478512,5.796846847,0.942697485
92.22237951,5.795733477,0.948029533
91.69302987,5.79460889,0.953389273
91.16671866,5.793473041,0.958776784
90.64342844,5.792325889,0.964192141
90.12314186,5.791167397,0.969635418
89.6058417,5.789997532,0.975106689
89.09151079,5.788816265,0.980606025
88.58013211,5.787623571,0.986133497
88.0716887,5.786419431,0.991689173
87.56616372,5.785203831,0.997273121
87.06354042,5.783976763,1.002885407
86.56380213,5.782738224,1.008526094
86.06693231,5.781488218,1.014195247
85.57291448,5.780226754,1.019892927
85.08173228,5.77895385,1.025619194
84.59336943,5.77766953,1.031374108
84.10780975,5.776373826,1.037157726
83.62503714,5.775066781,1.042970106
83.14503561,5.773748442,1.048811303
82.66778925,5.772418868,1.054681373
82.19328226,5.771078129,1.060580368
81.7214989,5.769726302,1.066508344
81.25242354,5.768363478,1.072465352
80.78604063,5.766989758,1.078451446
80.32233473,5.765605255,1.084466677
79.86129047,5.764210095,1.090511098
79.40289257,5.762804418,1.096584762
78.94712584,5.761388376,1.102687723
78.49397518,5.75996214,1.108820035
78.04342556,5.758525893,1.114981753
77.59546207,5.757079835,1.121172934
77.15006986,5.755624185,1.127393638
76.70723416,5.754159179,1.133643927
76.26694031,5.752685072,1.139923866
75.82917371,5.75120214,1.146233522
75.39391987,5.749710678,1.152572969
74.96116434,5.748211005,1.158942284
74.5308928,5.746703462,1.165341549
74.10309099,5.745188415,1.171770855
73.67774473,5.743666254,1.178230298
73.25483992,5.742137398,1.184719983
