wl,n
12.5,51.611
12.3457,50.874
12.1951,50.148
12.0482,49.415
11.9048,48.767
11.7647,48.14
11.6279,47.505
11.4943,46.879
11.3636,46.265
11.236,45.665
11.1111,45.078
10.989,44.505
10.8696,43.951
10.7527,43.429
10.6383,42.856
10.5263,42.3
10.4167,41.779
10.3093,41.294
10.2041,40.762
10.101,40.253
10.0,39.791
9.901,39.289
9.8039,38.825
9.7087,38.335
9.6154,37.885
9.5238,37.41
9.434,36.975
9.3458,36.516
9.2593,36.1
9.1743,35.672
9.0909,35.216
9.009,34.814
8.9286,34.402
8.8496,33.963
8.7719,33.578
8.6957,33.171
8.6207,32.807
8.547,32.432
8.4746,32.044
8.4034,31.643
8.3333,31.297
8.2645,30.941
8.1967,30.572
8.1301,30.192
8.0645,29.864
8.0,29.524
7.9365,29.165
7.874,28.855
7.8125,28.531
7.7519,28.189
7.6923,27.894
7.6336,27.586
7.5758,27.259
7.5188,26.979
7.4627,26.684
7.4074,26.372
7.3529,26.105
7.2993,25.824
7.2464,25.524
7.1942,25.267
7.1429,24.988
7.0922,24.743
7.0423,24.474
6.993,24.24
6.9444,23.982
6.8966,23.758
6.8493,23.518
6.8027,23.262
6.7568,23.047
6.7114,22.816
6.6667,22.571
6.6225,22.365
6.5789,22.145
6.5359,21.911
6.4935,21.716
6.4516,21.508
6.4103,21.292
6.3694,21.069
6.3291,20.885
6.2893,20.687
6.25,20.483
6.2112,20.273
6.1728,20.102
6.135,19.917
6.0976,19.728
6.0606,19.539
6.0241,19.351
5.988,19.166
5.9524,18.982
5.9172,18.801
5.8824,18.622
5.848,18.444
5.814,18.269
5.7803,18.097
5.7471,17.926
5.7143,17.758
5.6818,17.593
5.6497,17.431
5.618,17.276
5.5866,17.091
5.5556,16.924
5.5249,16.763
5.4945,16.606
5.4645,16.453
5.4348,16.302
5.4054,16.158
5.3763,15.986
5.3476,15.831
5.3191,15.681
5.291,15.535
5.2632,15.392
5.2356,15.25
5.2083,15.11
5.1813,14.972
5.1546,14.836
5.1282,14.701
5.102,14.568
5.0761,14.436
5.0505,14.305
5.0251,14.176
5.0,14.048
4.9751,13.92
4.9505,13.79
4.9261,13.687
4.902,13.571
4.878,13.452
4.8544,13.329
4.8309,13.232
4.8077,13.122
4.7847,13.009
4.7619,12.893
4.7393,12.801
4.717,12.695
4.6948,12.584
4.6729,12.496
4.6512,12.394
4.6296,12.287
4.6083,12.201
4.5872,12.1
4.5662,12.018
4.5455,11.921
4.5249,11.842
