wl,n
6.1992,5.0974
6.0997,4.9477
6.0019,4.8027
5.9056,4.6623
5.8108,4.5262
5.7176,4.3946
5.6258,4.2672
5.5356,4.1439
5.4468,4.0247
5.3594,3.9094
5.2734,3.7981
5.1888,3.6905
5.1055,3.5867
5.0236,3.4866
4.943,3.39
4.8637,3.297
4.7856,3.2075
4.7088,3.1214
4.6333,3.0386
4.5589,2.9592
4.4858,2.883
4.4138,2.8101
4.343,2.7404
4.2733,2.6738
4.2048,2.6103
4.1373,2.5499
4.0709,2.4925
4.0056,2.438
3.9413,2.3864
3.8781,2.3376
3.8159,2.2915
3.7546,2.248
3.6944,2.2069
3.6351,2.168
3.5768,2.131
3.5194,2.0958
3.4629,2.062
3.4074,2.0292
3.3527,1.997
3.2989,1.965
3.246,1.9328
3.1939,1.8999
3.1426,1.8658
3.0922,1.8304
3.0426,1.7932
2.9938,1.7542
2.9457,1.7133
2.8985,1.6705
2.852,1.6261
2.8062,1.5802
2.7612,1.5333
2.7169,1.4857
2.6733,1.4378
2.6304,1.3899
2.5882,1.3425
2.5467,1.2958
2.5058,1.2501
2.4656,1.2056
2.426,1.1626
2.3871,1.1211
2.3488,1.0812
2.3111,1.043
2.274,1.0065
2.2375,0.97174
2.2016,0.93872
2.1663,0.90742
2.1316,0.87781
2.0974,0.84987
2.0637,0.82356
2.0306,0.79886
1.998,0.77573
1.966,0.75414
1.9344,0.73408
1.9034,0.7155
1.8728,0.69839
1.8428,0.6827
1.8132,0.66839
1.7841,0.65541
1.7555,0.64366
1.7273,0.63304
1.6996,0.6234
1.6723,0.61455
1.6455,0.60622
1.6191,0.59813
1.5931,0.58993
1.5676,0.58129
1.5424,0.57185
1.5177,0.56135
1.4933,0.5496
1.4694,0.53655
1.4458,0.52226
1.4226,0.50692
1.3998,0.49079
1.3773,0.47419
1.3552,0.45741
1.3335,0.44076
1.3121,0.42446
1.291,0.40869
1.2703,0.39359
1.2499,0.37924
1.2299,0.36569
1.2101,0.35295
1.1907,0.34102
1.1716,0.32987
1.1528,0.31949
1.1343,0.30983
1.1161,0.30086
1.0982,0.29255
1.0806,0.28486
1.0632,0.27776
1.0462,0.27121
1.0294,0.2652
1.0129,0.2597
0.99662,0.25469
0.98063,0.25015
0.9649,0.24606
0.94942,0.24241
0.93418,0.23919
0.91919,0.23639
0.90445,0.23401
0.88993,0.23204
0.87565,0.23049
0.8616,0.22935
0.84778,0.22863
0.83418,0.22834
0.82079,0.22848
0.80762,0.22906
0.79466,0.2301
0.78191,0.23162
0.76937,0.23364
0.75702,0.23618
0.74488,0.23927
0.73292,0.24295
0.72117,0.24725
0.70959,0.25222
0.69821,0.25791
0.68701,0.26438
0.67598,0.2717
0.66514,0.27995
0.65446,0.28922
0.64396,0.29962
0.63363,0.31127
0.62346,0.32432
0.61346,0.33893
0.60362,0.3553
0.59393,0.37366
0.5844,0.39427
0.57503,0.41743
0.5658,0.44351
0.55672,0.4729
0.54779,0.50606
0.539,0.54348
0.53035,0.58568
0.52184,0.63316
0.51347,0.68631
0.50523,0.74535
0.49712,0.81015
0.48915,0.88009
0.4813,0.95396
0.47358,1.0299
0.46598,1.1054
0.4585,1.1777
0.45114,1.2439
0.4439,1.3011
0.43678,1.3472
0.42977,1.3808
0.42288,1.402
0.41609,1.4122
0.40942,1.4141
0.40285,1.4112
0.39638,1.4071
0.39002,1.4047
0.38377,1.406
0.37761,1.412
0.37155,1.4226
0.36559,1.4373
0.35972,1.4549
0.35395,1.4741
0.34827,1.4937
0.34268,1.5123
0.33718,1.5288
0.33177,1.5422
0.32645,1.5517
0.32121,1.5567
0.31606,1.5567
0.31099,1.5514
0.306,1.5407
0.30109,1.5247
0.29626,1.5034
0.2915,1.4774
0.28683,1.447
0.28222,1.413
0.2777,1.3759
0.27324,1.3366
0.26886,1.2958
0.26454,1.2543
0.2603,1.2127
0.25612,1.1718
0.25201,1.1321
0.24797,1.0941

wl,k
6.1992,38.118
6.0997,37.527
6.0019,36.944
5.9056,36.369
5.8108,35.802
5.7176,35.242
5.6258,34.691
5.5356,34.147
5.4468,33.61
5.3594,33.081
5.2734,32.56
5.1888,32.046
5.1055,31.539
5.0236,31.039
4.943,30.546
4.8637,30.061
4.7856,29.582
4.7088,29.111
4.6333,28.646
4.5589,28.188
4.4858,27.737
4.4138,27.293
4.343,26.856
4.2733,26.425
4.2048,26.001
4.1373,25.584
4.0709,25.174
4.0056,24.77
3.9413,24.374
3.8781,23.984
3.8159,23.601
3.7546,23.226
3.6944,22.857
3.6351,22.496
3.5768,22.142
3.5194,21.796
3.4629,21.457
3.4074,21.126
3.3527,20.802
3.2989,20.486
3.246,20.176
3.1939,19.874
3.1426,19.578
3.0922,19.288
3.0426,19.004
2.9938,18.725
2.9457,18.45
2.8985,18.179
2.852,17.911
2.8062,17.646
2.7612,17.384
2.7169,17.123
2.6733,16.864
2.6304,16.608
2.5882,16.353
2.5467,16.099
2.5058,15.848
2.4656,15.598
2.426,15.351
2.3871,15.106
2.3488,14.863
2.3111,14.622
2.274,14.384
2.2375,14.149
2.2016,13.917
2.1663,13.687
2.1316,13.46
2.0974,13.237
2.0637,13.016
2.0306,12.798
1.998,12.584
1.966,12.372
1.9344,12.164
1.9034,11.959
1.8728,11.757
1.8428,11.558
1.8132,11.363
1.7841,11.172
1.7555,10.984
1.7273,10.799
1.6996,10.619
1.6723,10.442
1.6455,10.269
1.6191,10.1
1.5931,9.9355
1.5676,9.7744
1.5424,9.6168
1.5177,9.4625
1.4933,9.3109
1.4694,9.1616
1.4458,9.0142
1.4226,8.8683
1.3998,8.7235
1.3773,8.5797
1.3552,8.4367
1.3335,8.2946
1.3121,8.1534
1.291,8.0132
1.2703,7.8741
1.2499,7.7361
1.2299,7.5995
1.2101,7.4642
1.1907,7.3304
1.1716,7.1981
1.1528,7.0674
1.1343,6.9383
1.1161,6.8107
1.0982,6.6848
1.0806,6.5604
1.0632,6.4377
1.0462,6.3165
1.0294,6.1969
1.0129,6.0788
0.99662,5.9622
