wl,n
2.48,4.071
2.431,4.074
2.384,4.077
2.339,4.08
2.296,4.083
2.254,4.087
2.214,4.09
2.175,4.094
2.138,4.097
2.101,4.101
2.066,4.105
2.033,4.109
2.0,4.113
1.968,4.117
1.937,4.122
1.907,4.126
1.879,4.131
1.851,4.136
1.823,4.141
1.797,4.146
1.771,4.152
1.746,4.158
1.722,4.164
1.698,4.171
1.675,4.178
1.653,4.186
1.631,4.194
1.61,4.204
1.59,4.216
1.569,4.234
1.55,4.25
1.531,4.249
1.512,4.243
1.494,4.241
1.476,4.242
1.459,4.244
1.442,4.246
1.425,4.249
1.409,4.253
1.393,4.256
1.378,4.259
1.362,4.263
1.348,4.267
1.333,4.271
1.319,4.275
1.305,4.279
1.292,4.283
1.278,4.287
1.265,4.292
1.252,4.296
1.24,4.301
1.228,4.306
1.216,4.31
1.204,4.315
1.192,4.32
1.181,4.326
1.17,4.331
1.159,4.337
1.148,4.344
1.137,4.35
1.127,4.355
1.117,4.36
1.107,4.364
1.097,4.368
1.088,4.372
1.078,4.377
1.069,4.382
1.06,4.387
1.051,4.392
1.042,4.397
1.033,4.403
1.025,4.408
1.016,4.414
1.008,4.42
0.9999,4.426
0.9919,4.432
0.984,4.438
0.9763,4.444
0.9686,4.45
0.9611,4.457
0.9537,4.464
0.9464,4.47
0.9393,4.477
0.9322,4.484
0.9253,4.492
0.9184,4.499
0.9116,4.506
0.905,4.514
0.8984,4.522
0.892,4.53
0.8856,4.538
0.8793,4.546
0.8731,4.555
0.867,4.564
0.861,4.573
0.8551,4.582
0.8492,4.591
0.8434,4.601
0.8377,4.611
0.8321,4.621
0.8266,4.631
0.8211,4.641
0.8157,4.652
0.8104,4.663
0.8051,4.674
0.7999,4.685
0.7948,4.697
0.7897,4.708
0.7847,4.721
0.7798,4.733
0.7749,4.745
0.7701,4.758
0.7653,4.771
0.7606,4.785
0.756,4.798
0.7514,4.812
0.7469,4.827
0.7424,4.841
0.738,4.856
0.7336,4.871
0.7293,4.887
0.7251,4.902
0.7208,4.918
0.7167,4.935
0.7126,4.951
0.7085,4.969
0.7045,4.986
0.7005,5.004
0.6965,5.022
0.6926,5.041
0.6888,5.061
0.685,5.081
0.6812,5.101
0.6775,5.122
0.6738,5.144
0.6702,5.167
0.6666,5.19
0.663,5.214
0.6595,5.239
0.656,5.265
0.6525,5.292
0.6491,5.319
0.6458,5.348
0.6424,5.377
0.6391,5.407
0.6358,5.437
0.6326,5.468
0.6294,5.5
0.6262,5.532
0.623,5.564
0.6199,5.596
0.6168,5.628
0.6138,5.66
0.6108,5.69
0.6078,5.719
0.6048,5.745
0.6019,5.766
0.599,5.78
0.5961,5.785
0.5932,5.778
0.5904,5.758
0.5876,5.725
0.5848,5.68
0.5821,5.625
0.5794,5.564
0.5767,5.504
0.574,5.446
0.5714,5.396
0.5687,5.353
0.5661,5.319
0.5636,5.292
0.561,5.27
0.5585,5.252
0.556,5.236
0.5535,5.219
0.551,5.202
0.5486,5.183
0.5462,5.16
0.5438,5.134
0.5414,5.105
0.5391,5.072
0.5367,5.035
0.5344,4.996
0.5321,4.953
0.5298,4.91
0.5276,4.865
0.5254,4.82
0.5231,4.775
0.5209,4.731
0.5188,4.69
0.5166,4.65
0.5145,4.613
0.5123,4.578
0.5102,4.546
0.5081,4.516
0.5061,4.488
0.504,4.463
0.502,4.439
0.4999,4.416
0.4979,4.395
0.4959,4.376
0.494,4.357
0.492,4.339
0.4901,4.322
0.4881,4.306
0.4862,4.29
0.4843,4.276
0.4824,4.261
0.4806,4.248
0.4787,4.235
0.4769,4.222
0.475,4.21
0.4732,4.199
0.4714,4.188
0.4696,4.177
0.4679,4.167
0.4661,4.158
0.4644,4.149
0.4626,4.14
0.4609,4.132
0.4592,4.125
0.4575,4.117
0.4558,4.111
0.4542,4.105
0.4525,4.099
0.4509,4.094
0.4492,4.089
0.4476,4.084
0.446,4.081
0.4444,4.077
0.4428,4.075
0.4412,4.072
0.4397,4.071
0.4381,4.069
0.4366,4.069
0.435,4.068
0.4335,4.069
0.432,4.07
0.4305,4.071
0.429,4.073
0.4275,4.076
0.4261,4.079
0.4246,4.082
0.4232,4.086
0.4217,4.091
0.4203,4.096
0.4189,4.101
0.4175,4.107
0.4161,4.113
0.4147,4.119
0.4133,4.126
0.4119,4.133
0.4105,4.14
0.4092,4.147
0.4078,4.154
0.4065,4.161
0.4052,4.168
0.4039,4.175
0.4025,4.181
0.4012,4.187
0.3999,4.192
0.3987,4.197
0.3974,4.201
0.3961,4.205
0.3949,4.207
0.3936,4.209
0.3924,4.211
0.3911,4.211
0.3899,4.211
0.3887,4.21
0.3875,4.208
0.3862,4.206
0.385,4.204
0.3839,4.202
0.3827,4.199
0.3815,4.196
0.3803,4.194
0.3792,4.191
0.378,4.189
0.3769,4.187
0.3757,4.184
0.3746,4.181
0.3734,4.177
0.3723,4.173
0.3712,4.168
0.3701,4.163
0.369,4.157
0.3679,4.151
0.3668,4.144
0.3657,4.138
0.3647,4.131
0.3636,4.124
0.3625,4.117
0.3615,4.111
0.3604,4.104
0.3594,4.098
0.3583,4.092
0.3573,4.086
0.3563,4.081
0.3553,4.076
0.3542,4.071
0.3532,4.067
0.3522,4.063
0.3512,4.059
0.3502,4.056
0.3493,4.053
0.3483,4.05
0.3473,4.047
0.3463,4.045
0.3454,4.043
0.3444,4.041
0.3434,4.039
0.3425,4.037
0.3416,4.036
0.3406,4.034
0.3397,4.033
0.3388,4.031
0.3378,4.03
0.3369,4.029
0.336,4.028
0.3351,4.026
0.3342,4.025
0.3333,4.024
0.3324,4.023
0.3315,4.022
0.3306,4.02
0.3297,4.019
0.3289,4.018
0.328,4.016
0.3271,4.015
0.3263,4.013
0.3254,4.011
0.3246,4.01
0.3237,4.008
0.3229,4.006
0.322,4.004
0.3212,4.002
0.3204,3.999
0.3195,3.997
0.3187,3.994
0.3179,3.992
0.3171,3.989
0.3163,3.986
0.3155,3.983
0.3147,3.98
0.3139,3.977
0.3131,3.973
0.3123,3.97
0.3115,3.967
0.3107,3.963
0.31,3.96
0.3092,3.957
0.3084,3.953
0.3077,3.95
0.3069,3.947
0.3061,3.944
0.3054,3.941
0.3046,3.938
0.3039,3.935
0.3031,3.932
0.3024,3.929
0.3017,3.925
0.3009,3.921
0.3002,3.916
0.2995,3.91
0.2988,3.903
0.298,3.893
0.2973,3.882
0.2966,3.867
0.2959,3.85
0.2952,3.829
0.2945,3.805
0.2938,3.776
0.2931,3.742
0.2924,3.704
0.2917,3.661
0.291,3.613
0.2904,3.559
0.2897,3.501
0.289,3.439
0.2883,3.372
0.2877,3.302
0.287,3.228
0.2863,3.152
0.2857,3.073
0.285,2.993
0.2844,2.913
0.2837,2.833
0.2831,2.754
0.2824,2.676
0.2818,2.6
0.2811,2.527
0.2805,2.457
0.2799,2.391
0.2792,2.329
0.2786,2.27
0.278,2.216
0.2774,2.166
0.2768,2.12
0.2761,2.079
0.2755,2.041
0.2749,2.006
0.2743,1.975
0.2737,1.947
0.2731,1.921
0.2725,1.898
0.2719,1.876
0.2713,1.857
0.2707,1.839
0.2701,1.822
0.2695,1.806
0.2689,1.791
0.2684,1.776
0.2678,1.762
0.2672,1.749
0.2666,1.737
0.2661,1.724
0.2655,1.712
0.2649,1.701
0.2644,1.689
0.2638,1.678
0.2632,1.667
0.2627,1.657
0.2621,1.647
0.2616,1.637
0.261,1.627
0.2605,1.618
0.2599,1.609
0.2594,1.6
0.2588,1.592
0.2583,1.583
0.2578,1.575
0.2572,1.568
0.2567,1.56
0.2562,1.553
0.2556,1.546
0.2551,1.54
0.2546,1.534
0.2541,1.527
0.2535,1.522
0.253,1.516
0.2525,1.511
0.252,1.506
0.2515,1.502
0.251,1.497
0.2505,1.493
0.25,1.489
0.2495,1.485
0.249,1.481
0.2485,1.478
0.248,1.475
0.2475,1.472
0.247,1.47
0.2465,1.467
0.246,1.465
0.2455,1.463
0.245,1.461
0.2445,1.459
0.2441,1.457
0.2436,1.456
0.2431,1.455
0.2426,1.454
