wl,n
3.2,1.7278
3.195,1.7279
3.19,1.7279
3.185,1.7279
3.18,1.7279
3.175,1.7279
3.17,1.7279
3.165,1.7279
3.16,1.7279
3.155,1.7279
3.15,1.7279
3.145,1.7279
3.14,1.7279
3.135,1.7279
3.13,1.7279
3.125,1.7279
3.12,1.7279
3.115,1.728
3.11,1.728
3.105,1.728
3.1,1.728
3.095,1.728
3.09,1.728
3.085,1.728
3.08,1.728
3.075,1.728
3.07,1.728
3.065,1.728
3.06,1.728
3.055,1.728
3.05,1.728
3.045,1.728
3.04,1.7281
3.035,1.7281
3.03,1.7281
3.025,1.7281
3.02,1.7281
3.015,1.7281
3.01,1.7281
3.005,1.7281
3.0,1.7281
2.995,1.7281
2.99,1.7281
2.985,1.7281
2.98,1.7281
2.975,1.7281
2.97,1.7282
2.965,1.7282
2.96,1.7282
2.955,1.7282
2.95,1.7282
2.945,1.7282
2.94,1.7282
2.935,1.7282
2.93,1.7282
2.925,1.7282
2.92,1.7282
2.915,1.7282
2.91,1.7282
2.905,1.7283
2.9,1.7283
2.895,1.7283
2.89,1.7283
2.885,1.7283
2.88,1.7283
2.875,1.7283
2.87,1.7283
2.865,1.7283
2.86,1.7283
2.855,1.7283
2.85,1.7283
2.845,1.7284
2.84,1.7284
2.835,1.7284
2.83,1.7284
2.825,1.7284
2.82,1.7284
2.815,1.7284
2.81,1.7284
2.805,1.7284
2.8,1.7284
2.795,1.7284
2.79,1.7285
2.785,1.7285
2.78,1.7285
2.775,1.7285
2.77,1.7285
2.765,1.7285
2.76,1.7285
2.755,1.7285
2.75,1.7285
2.745,1.7285
2.74,1.7285
2.735,1.7286
2.73,1.7286
2.725,1.7286
2.72,1.7286
2.715,1.7286
2.71,1.7286
2.705,1.7286
2.7,1.7286
2.695,1.7286
2.69,1.7286
2.685,1.7287
2.68,1.7287
2.675,1.7287
2.67,1.7287
2.665,1.7287
2.66,1.7287
2.655,1.7287
2.65,1.7287
2.645,1.7287
2.64,1.7287
2.635,1.7288
2.63,1.7288
2.625,1.7288
2.62,1.7288
2.615,1.7288
2.61,1.7288
2.605,1.7288
2.6,1.7288
2.595,1.7288
2.59,1.7289
2.585,1.7289
2.58,1.7289
2.575,1.7289
2.57,1.7289
2.565,1.7289
2.56,1.7289
2.555,1.7289
2.55,1.729
2.545,1.729
2.54,1.729
2.535,1.729
2.53,1.729
2.525,1.729
2.52,1.729
2.515,1.729
2.51,1.7291
2.505,1.7291
2.5,1.7291
2.495,1.7291
2.49,1.7291
2.485,1.7291
2.48,1.7291
2.475,1.7291
2.47,1.7292
2.465,1.7292
2.46,1.7292
2.455,1.7292
2.45,1.7292
2.445,1.7292
2.44,1.7292
2.435,1.7292
2.43,1.7293
2.425,1.7293
2.42,1.7293
2.415,1.7293
2.41,1.7293
2.405,1.7293
2.4,1.7293
2.395,1.7294
2.39,1.7294
2.385,1.7294
2.38,1.7294
2.375,1.7294
2.37,1.7294
2.365,1.7294
2.36,1.7295
2.355,1.7295
2.35,1.7295
2.345,1.7295
2.34,1.7295
2.335,1.7295
2.33,1.7296
2.325,1.7296
2.32,1.7296
2.315,1.7296
2.31,1.7296
2.305,1.7296
2.3,1.7297
2.295,1.7297
2.29,1.7297
2.285,1.7297
2.28,1.7297
2.275,1.7297
2.27,1.7298
2.265,1.7298
2.26,1.7298
2.255,1.7298
2.25,1.7298
2.245,1.7298
2.24,1.7299
2.235,1.7299
2.23,1.7299
2.225,1.7299
2.22,1.7299
2.215,1.7299
2.21,1.73
2.205,1.73
2.2,1.73
2.195,1.73
2.19,1.73
2.185,1.7301
2.18,1.7301
2.175,1.7301
2.17,1.7301
2.165,1.7301
2.16,1.7302
2.155,1.7302
2.15,1.7302
2.145,1.7302
2.14,1.7302
2.135,1.7303
2.13,1.7303
2.125,1.7303
2.12,1.7303
2.115,1.7303
2.11,1.7304
2.105,1.7304
2.1,1.7304
2.095,1.7304
2.09,1.7304
2.085,1.7305
2.08,1.7305
2.075,1.7305
2.07,1.7305
2.065,1.7306
2.06,1.7306
2.055,1.7306
2.05,1.7306
2.045,1.7307
2.04,1.7307
2.035,1.7307
2.03,1.7307
2.025,1.7307
2.02,1.7308
2.015,1.7308
2.01,1.7308
2.005,1.7308
2.0,1.7309
1.995,1.7309
1.99,1.7309
1.985,1.7309
1.98,1.731
1.975,1.731
1.97,1.731
1.965,1.731
1.96,1.7311
1.955,1.7311
1.95,1.7311
1.945,1.7312
1.94,1.7312
1.935,1.7312
1.93,1.7312
1.925,1.7313
1.92,1.7313
1.915,1.7313
1.91,1.7313
1.905,1.7314
1.9,1.7314
1.895,1.7314
1.89,1.7315
1.885,1.7315
1.88,1.7315
1.875,1.7316
1.87,1.7316
1.865,1.7316
1.86,1.7316
1.855,1.7317
1.85,1.7317
1.845,1.7317
1.84,1.7318
1.835,1.7318
1.83,1.7318
1.825,1.7319
1.82,1.7319
1.815,1.7319
1.81,1.732
1.805,1.732
1.8,1.732
1.795,1.7321
1.79,1.7321
1.785,1.7321
1.78,1.7322
1.775,1.7322
1.77,1.7322
1.765,1.7323
1.76,1.7323
1.755,1.7324
1.75,1.7324
1.745,1.7324
1.74,1.7325
1.735,1.7325
1.73,1.7325
1.725,1.7326
1.72,1.7326
1.715,1.7327
1.71,1.7327
1.705,1.7327
1.7,1.7328
1.695,1.7328
1.69,1.7329
1.685,1.7329
