wl,n
1.7,1.0002731392029
1.685,1.0002731487349
1.67,1.000273158526
1.655,1.0002731685857
1.639,1.0002731796233
1.624,1.00027319027
1.609,1.0002732012173
1.594,1.0002732124765
1.579,1.0002732240596
1.564,1.0002732359793
1.549,1.0002732482486
1.533,1.0002732617368
1.518,1.0002732747734
1.503,1.0002732882043
1.488,1.0002733020456
1.473,1.0002733163142
1.458,1.0002733310279
1.442,1.0002733472343
1.427,1.0002733629285
1.412,1.0002733791284
1.397,1.0002733958562
1.382,1.0002734131351
1.367,1.0002734309894
1.352,1.0002734494452
1.336,1.0002734698252
1.321,1.0002734896125
1.306,1.0002735100903
1.291,1.0002735312911
1.276,1.0002735532494
1.261,1.0002735760019
1.246,1.0002735995874
1.23,1.00027362571
1.215,1.0002736511506
1.2,1.0002736775591
1.185,1.0002737049854
1.17,1.0002737334825
1.155,1.0002737631071
1.139,1.0002737960174
1.124,1.0002738281681
1.109,1.0002738616449
1.094,1.0002738965219
1.079,1.0002739328786
1.064,1.0002739708
1.049,1.0002740103776
1.033,1.0002740545298
1.018,1.0002740978493
1.003,1.0002741431501
0.988,1.0002741905553
0.9728,1.0002742408754
0.9577,1.0002742932865
0.9425,1.0002743486439
0.9274,1.000274406392
0.9122,1.0002744674848
0.8971,1.0002745313225
0.8819,1.0002745989747
0.8668,1.0002746697931
0.8516,1.0002747449825
0.8365,1.0002748238425
0.8213,1.0002749077372
0.8062,1.0002749959102
0.791,1.0002750899148
0.7759,1.000275188935
0.7607,1.0002752947509
0.7456,1.000275406484
0.7304,1.0002755261883
0.7153,1.0002756529214
0.7001,1.0002757890721
0.685,1.0002759336346
0.6698,1.0002760894109
0.6547,1.0002762553375
0.6395,1.000276434732
0.6244,1.0002766264864
0.6092,1.0002768345708
0.5941,1.0002770578576
0.5789,1.0002773011558
0.5638,1.0002775633635
0.5486,1.0002778503863
0.5335,1.0002781612283
0.5183,1.0002785032566
0.5032,1.0002788757201
0.488,1.0002792879775
0.4729,1.0002797397643
0.4577,1.0002802432244
0.4426,1.0002807990045
0.4274,1.0002814232627
0.4123,1.000282118321
0.3971,1.0002829063353
0.382,1.0002837927203
0.3668,1.0002848089941
0.3517,1.0002859664133
0.3365,1.0002873119261
0.3214,1.0002888682972
0.3062,1.0002907097615
0.2911,1.0002928832998
0.2759,1.0002955163033
0.2608,1.0002987123421
0.2456,1.0003027187674
0.2305,1.0003077980675
0.2153,1.0003145521507
0.2002,1.0003239127992
0.185,1.0003386117704

wl,k
1.7,0.0
1.685,0.0
1.67,0.0
1.655,0.0
1.639,0.0
1.624,0.0
1.609,0.0
1.594,0.0
1.579,0.0
1.564,0.0
1.549,0.0
1.533,0.0
1.518,0.0
1.503,0.0
1.488,0.0
1.473,0.0
1.458,0.0
1.442,0.0
1.427,0.0
1.412,0.0
1.397,0.0
1.382,0.0
1.367,0.0
1.352,0.0
1.336,0.0
1.321,0.0
1.306,0.0
1.291,0.0
1.276,0.0
1.261,0.0
1.246,0.0
1.23,0.0
1.215,0.0
1.2,0.0
1.185,0.0
1.17,0.0
1.155,0.0
1.139,0.0
1.124,0.0
1.109,0.0
1.094,0.0
1.079,0.0
1.064,0.0
1.049,0.0
1.033,0.0
1.018,0.0
1.003,0.0
0.988,0.0
0.9728,0.0
0.9577,0.0
0.9425,0.0
0.9274,0.0
0.9122,0.0
0.8971,0.0
0.8819,0.0
0.8668,0.0
0.8516,0.0
0.8365,0.0
0.8213,0.0
0.8062,0.0
0.791,0.0
0.7759,0.0
0.7607,0.0
0.7456,0.0
0.7304,0.0
0.7153,0.0
0.7001,0.0
0.685,0.0
0.6698,0.0
0.6547,0.0
0.6395,0.0
0.6244,0.0
0.6092,0.0
0.5941,0.0
0.5789,0.0
0.5638,0.0
0.5486,0.0
0.5335,0.0
0.5183,0.0
0.5032,0.0
0.488,0.0
0.4729,0.0
0.4577,0.0
0.4426,0.0
0.4274,0.0
0.4123,0.0
0.3971,0.0
0.382,0.0
0.3668,0.0
0.3517,0.0
0.3365,0.0
0.3214,0.0
0.3062,0.0
0.2911,0.0
0.2759,0.0
0.2608,0.0
0.2456,0.0
0.2305,0.0
0.2153,0.0
0.2002,0.0
0.185,0.0
