wl,n
247.97,472.2
245.92,470.0
243.88,467.81
241.87,465.63
239.87,463.45
237.89,461.29
235.92,459.13
233.97,456.97
232.03,454.83
230.12,452.69
228.21,450.57
226.33,448.44
224.45,446.33
222.6,444.22
220.76,442.12
218.93,440.03
217.12,437.95
215.33,435.87
213.55,433.8
211.78,431.74
210.03,429.68
208.29,427.64
206.57,425.6
204.86,423.56
203.17,421.54
201.49,419.52
199.82,417.5
198.17,415.5
196.53,413.5
194.91,411.51
193.3,409.52
191.7,407.54
190.11,405.57
188.54,403.61
186.98,401.65
185.44,399.7
183.9,397.75
182.38,395.81
180.88,393.88
179.38,391.96
177.9,390.04
176.43,388.13
174.97,386.22
173.52,384.32
172.09,382.43
170.66,380.54
169.25,378.66
167.85,376.79
166.47,374.92
165.09,373.06
163.72,371.2
162.37,369.35
161.03,367.51
159.7,365.67
158.38,363.84
157.07,362.02
155.77,360.2
154.48,358.38
153.2,356.58
151.94,354.77
150.68,352.98
149.43,351.19
148.2,349.4
146.97,347.63
145.76,345.85
144.55,344.09
143.36,342.32
142.17,340.57
141.0,338.82
139.83,337.07
138.68,335.33
137.53,333.6
136.39,331.87
135.26,330.15
134.15,328.43
133.04,326.72
131.94,325.01
130.85,323.31
129.76,321.62
128.69,319.93
127.63,318.24
126.57,316.56
125.53,314.88
124.49,313.21
123.46,311.55
122.44,309.89
121.43,308.23
120.42,306.59
119.43,304.94
118.44,303.3
117.46,301.67
116.49,300.04
115.52,298.41
114.57,296.79
113.62,295.18
112.68,293.57
111.75,291.96
110.83,290.36
109.91,288.76
109.0,287.17
108.1,285.59
107.21,284.0
106.32,282.43
105.44,280.85
104.57,279.29
103.71,277.72
102.85,276.16
102.0,274.61
101.15,273.06
100.32,271.51
99.489,269.97
98.666,268.44
97.85,266.91
97.041,265.38
96.239,263.85
95.443,262.34
94.654,260.82
93.871,259.31
93.095,257.81
92.326,256.3
91.562,254.81
90.805,253.31
90.054,251.83
89.31,250.34
88.571,248.86
87.839,247.39
87.113,245.91
86.393,244.45
85.678,242.98
84.97,241.52
84.267,240.07
83.571,238.62
82.88,237.17
82.195,235.73
81.515,234.29
80.841,232.86
80.173,231.42
79.51,230.0
78.852,228.58
78.2,227.16
77.554,225.74
76.913,224.33
76.277,222.92
75.646,221.52
75.021,220.12
74.4,218.73
73.785,217.34
73.175,215.95
72.57,214.57
71.97,213.19
71.375,211.81
70.785,210.44
70.2,209.08
69.619,207.71
69.044,206.35
68.473,205.0
67.907,203.65
67.345,202.3
66.788,200.95
66.236,199.61
65.689,198.28
65.145,196.94
64.607,195.62
64.073,194.29
63.543,192.97
63.018,191.65
62.497,190.34
61.98,189.03
61.467,187.73
60.959,186.43
60.455,185.13
59.955,183.83
59.46,182.55
58.968,181.26
58.48,179.98
57.997,178.7
57.517,177.43
57.042,176.16
56.57,174.89
56.102,173.63
55.639,172.37
55.179,171.12
54.722,169.87
54.27,168.62
53.821,167.38
53.376,166.14
52.935,164.9
52.497,163.67
52.063,162.45
51.633,161.23
51.206,160.01
50.783,158.8
50.363,157.59
49.946,156.38
49.533,155.18
49.124,153.98
48.718,152.79
48.315,151.6
47.915,150.42
47.519,149.24
47.126,148.06
46.737,146.89
46.35,145.72
45.967,144.56
45.587,143.4
45.21,142.25
44.836,141.1
44.466,139.95
44.098,138.81
43.733,137.67
43.372,136.54
43.013,135.41
42.657,134.29
42.305,133.17
41.955,132.06
41.608,130.95
41.264,129.84
40.923,128.74
40.585,127.65
40.249,126.56
39.916,125.47
39.586,124.39
39.259,123.32
38.934,122.25
38.612,121.18
38.293,120.12
37.977,119.06
37.663,118.01
37.351,116.97
37.042,115.92
36.736,114.89
36.432,113.86
36.131,112.83
35.832,111.81
35.536,110.79
35.242,109.78
34.951,108.78
34.662,107.78
34.375,106.78
34.091,105.79
33.809,104.81
33.53,103.83
33.253,102.86
32.978,101.89
32.705,100.93
32.435,99.972
32.166,99.021
31.9,98.075
31.637,97.135
31.375,96.201
31.116,95.272
30.858,94.349
30.603,93.431
30.35,92.52
30.099,91.614
29.85,90.713
29.604,89.819
29.359,88.931
29.116,88.048
28.875,87.171
28.637,86.3
28.4,85.435
28.165,84.576
27.932,83.723
27.701,82.876
27.472,82.035
27.245,81.2
27.02,80.37
26.796,79.547
26.575,78.731
26.355,77.92
26.137,77.115
25.921,76.316
25.707,75.524
25.494,74.737
25.284,73.957
25.075,73.183
24.867,72.415
24.662,71.654
24.458,70.898
24.255,70.149
24.055,69.406
23.856,68.669
23.659,67.939
23.463,67.214
23.269,66.496
23.077,65.784
22.886,65.078
22.697,64.379
22.509,63.686
22.323,62.999
22.138,62.318
21.955,61.644
21.774,60.975
21.594,60.313
21.415,59.657
21.238,59.008
21.063,58.364
20.889,57.727
20.716,57.096
20.545,56.471
20.375,55.852
20.206,55.24
20.039,54.633
19.873,54.033
19.709,53.439
19.546,52.85
19.385,52.268
19.224,51.692
19.065,51.122
18.908,50.558
18.751,50.0
18.596,49.447
18.443,48.901
18.29,48.361
18.139,47.826
17.989,47.298
17.84,46.775
17.693,46.258
17.546,45.746
17.401,45.241
17.257,44.741
17.115,44.247
16.973,43.758
16.833,43.275
16.694,42.798
16.556,42.326
16.419,41.859
16.283,41.398
16.149,40.943
16.015,40.493
15.883,40.048
15.751,39.608
15.621,39.174
15.492,38.745
15.364,38.321
15.237,37.902
15.111,37.488
14.986,37.08
14.862,36.676
14.739,36.277
14.617,35.883
14.496,35.494
14.376,35.11
14.258,34.731
14.14,34.356
14.023,33.986
13.907,33.62
13.792,33.26
13.678,32.903
13.565,32.551
13.453,32.204
13.341,31.861
13.231,31.522
13.122,31.187
13.013,30.857
12.906,30.531
12.799,30.209
12.693,29.891
12.588,29.577
12.484,29.267
12.381,28.961
12.279,28.659
12.177,28.36
12.076,28.065
11.976,27.774
11.877,27.487
11.779,27.203
11.682,26.923
11.585,26.646
11.489,26.373
11.394,26.103
11.3,25.836
11.207,25.573
11.114,25.312
11.022,25.056
10.931,24.802
10.841,24.551
10.751,24.303
10.662,24.058
10.574,23.817
10.487,23.578
10.4,23.341
10.314,23.108
10.229,22.877
10.144,22.649
10.06,22.424
9.9771,22.201
9.8946,21.981
9.8128,21.763
9.7317,21.548
9.6512,21.335
9.5714,21.125
9.4923,20.917
9.4138,20.711
9.3359,20.507
9.2588,20.306
9.1822,20.106
9.1063,19.909
9.031,19.714
8.9563,19.521
8.8823,19.33
8.8088,19.141
8.736,18.953
8.6638,18.768
8.5921,18.585
8.5211,18.403
8.4507,18.223
8.3808,18.045
