wl,n
6.1992,4.9348
6.1793,4.9228
6.1594,4.9109
6.1396,4.8992
6.1198,4.8875
6.1001,4.876
6.0805,4.8646
6.061,4.8533
6.0415,4.8422
6.022,4.8311
6.0026,4.8202
5.9833,4.8094
5.9641,4.7987
5.9449,4.7881
5.9258,4.7776
5.9067,4.7673
5.8877,4.757
5.8688,4.7469
5.8499,4.7368
5.8311,4.7269
5.8123,4.7171
5.7936,4.7074
5.775,4.6978
5.7564,4.6884
5.7379,4.679
5.7194,4.6697
5.701,4.6606
5.6827,4.6515
5.6644,4.6426
5.6462,4.6337
5.628,4.625
5.6099,4.6163
5.5919,4.6078
5.5739,4.5993
5.556,4.591
5.5381,4.5828
5.5203,4.5746
5.5025,4.5666
5.4848,4.5586
5.4672,4.5508
5.4496,4.543
5.432,4.5354
5.4146,4.5278
5.3972,4.5203
5.3798,4.513
5.3625,4.5057
5.3452,4.4985
5.328,4.4914
5.3109,4.4844
5.2938,4.4775
5.2768,4.4706
5.2598,4.4639
5.2429,4.4572
5.226,4.4507
5.2092,4.4442
5.1925,4.4378
5.1758,4.4315
5.1591,4.4253
5.1425,4.4191
5.126,4.4131
5.1095,4.4071
5.093,4.4012
5.0767,4.3954
5.0603,4.3897
5.044,4.384
5.0278,4.3785
5.0116,4.373
4.9955,4.3676
4.9794,4.3622
4.9634,4.357
4.9475,4.3518
4.9315,4.3467
4.9157,4.3417
4.8999,4.3367
4.8841,4.3318
4.8684,4.327
4.8527,4.3223
4.8371,4.3176
4.8216,4.313
4.8061,4.3085
4.7906,4.304
4.7752,4.2996
4.7598,4.2953
4.7445,4.2911
4.7292,4.2869
4.714,4.2828
4.6989,4.2787
4.6838,4.2747
4.6687,4.2708
4.6537,4.2669
4.6387,4.2631
4.6238,4.2594
4.6089,4.2557
4.5941,4.2521
4.5793,4.2485
4.5646,4.245
4.5499,4.2416
4.5352,4.2382
4.5207,4.2349
4.5061,4.2316
4.4916,4.2284
4.4772,4.2253
4.4628,4.2222
4.4484,4.2191
4.4341,4.2161
4.4198,4.2132
4.4056,4.2103
4.3914,4.2075
4.3773,4.2047
4.3632,4.202
4.3492,4.1993
