wl,n
12.398,15.567
12.35,15.468
12.302,15.37
12.254,15.273
12.206,15.176
12.158,15.08
12.111,14.984
12.063,14.888
12.016,14.794
11.969,14.699
11.922,14.605
11.876,14.512
11.829,14.419
11.783,14.327
11.737,14.235
11.691,14.143
11.645,14.052
11.6,13.962
11.555,13.872
11.509,13.782
11.464,13.693
11.42,13.605
11.375,13.517
11.331,13.429
11.286,13.342
11.242,13.255
11.198,13.169
11.154,13.083
11.111,12.998
11.067,12.913
11.024,12.829
10.981,12.745
10.938,12.662
10.895,12.579
10.853,12.496
10.81,12.414
10.768,12.333
10.726,12.252
10.684,12.171
10.642,12.091
10.601,12.011
10.559,11.932
10.518,11.853
10.477,11.775
10.436,11.697
10.395,11.619
10.355,11.542
10.314,11.466
10.274,11.39
10.234,11.314
10.194,11.239
10.154,11.164
10.114,11.089
10.075,11.015
10.035,10.942
9.9961,10.869
9.957,10.796
9.9181,10.724
9.8793,10.652
9.8407,10.58
9.8023,10.509
9.7639,10.439
9.7258,10.369
9.6878,10.299
9.6499,10.23
9.6122,10.161
9.5746,10.092
9.5372,10.024
9.4999,9.9563
9.4628,9.889
9.4258,9.8221
9.389,9.7556
9.3523,9.6895
9.3157,9.6238
9.2793,9.5585
9.2431,9.4936
9.2069,9.4291
9.171,9.365
9.1351,9.3013
9.0994,9.2379
9.0638,9.175
9.0284,9.1124
8.9931,9.0503
8.958,8.9885
8.923,8.9271
8.8881,8.866
8.8534,8.8054
8.8188,8.7451
8.7843,8.6852
8.75,8.6257
8.7158,8.5665
8.6817,8.5077
8.6478,8.4493
8.614,8.3912
8.5803,8.3335
8.5468,8.2762
8.5134,8.2192
8.4801,8.1626
8.447,8.1063
8.4139,8.0504
8.3811,7.9949
8.3483,7.9397
8.3157,7.8849
8.2832,7.8304
8.2508,7.7762
8.2186,7.7224
8.1864,7.669
8.1544,7.6159
8.1226,7.5631
8.0908,7.5107
8.0592,7.4586
8.0277,7.4068
7.9963,7.3554
7.9651,7.3043
7.934,7.2535
7.9029,7.2031
7.8721,7.153
7.8413,7.1032
7.8106,7.0538
7.7801,7.0047
7.7497,6.9558
7.7194,6.9074
7.6893,6.8592
7.6592,6.8113
7.6293,6.7638
7.5995,6.7166
7.5698,6.6697
7.5402,6.6231
7.5107,6.5768
7.4813,6.5308
7.4521,6.4851
7.423,6.4397
7.394,6.3946
7.3651,6.3498
7.3363,6.3054
7.3076,6.2612
7.2791,6.2173
7.2506,6.1737
7.2223,6.1304
7.194,6.0874
7.1659,6.0447
7.1379,6.0023
7.11,5.9601
7.0822,5.9182
7.0546,5.8767
7.027,5.8354
6.9995,5.7944
6.9722,5.7536
6.9449,5.7132
6.9178,5.673
6.8907,5.6331
6.8638,5.5934
6.837,5.5541
6.8103,5.515
6.7836,5.4762
6.7571,5.4376
6.7307,5.3993
6.7044,5.3613
6.6782,5.3235
6.6521,5.286
6.6261,5.2487
6.6002,5.2117
6.5744,5.175
6.5487,5.1385
6.5231,5.1023
6.4976,5.0663
6.4722,5.0306
6.4469,4.9951
6.4218,4.9599
6.3967,4.9249
6.3717,4.8902
6.3468,4.8557
6.3219,4.8214
6.2972,4.7874
6.2726,4.7537
