wl,n
2.479684,2.0155
1.653123,1.1623
1.239842,1.7149
0.991874,5.4405
0.826561,5.3421
0.708481,4.2348
0.619921,2.995
0.551041,1.9391
0.495937,1.3838
0.450852,1.0474
0.413281,0.825
0.38149,0.6688
0.354241,0.5547
0.330625,0.4694
0.30996,0.4049
0.291728,0.3511
0.27552,0.3041
0.261019,0.268
0.247968,0.2396
0.225426,0.2018
0.20664,0.1881
0.190745,0.1706
0.17712,0.2035
0.165312,0.3371
0.15498,0.4246
0.145864,0.5119
0.13776,0.5782
0.13051,0.5962
0.123984,0.6127
0.11808,0.6186
0.112713,0.5819
0.107812,0.5718
0.10332,0.5719
0.099187,0.5899
0.095372,0.6444
0.09184,0.6864
0.08856,0.7055
0.085506,0.7243
0.082656,0.7487
0.07999,0.7718
0.07749,0.7925
0.075142,0.8138
0.072932,0.8266
0.070848,0.7992
0.06888,0.7652
0.067018,0.7351
0.065255,0.7014
0.063582,0.7051
0.061992,0.7299
0.06048,0.7615
0.05904,0.7942
0.057667,0.8179
0.056356,0.8358
0.055104,0.8499
0.053906,0.8782
0.052759,0.8998
0.05166,0.9162
0.050606,0.9138
0.049594,0.8989
0.048621,0.8814
0.047686,0.8632
0.046786,0.8506
0.04592,0.8465
0.045085,0.8425
0.04428,0.8467
0.043503,0.8699
0.042753,0.8956
0.042029,0.9091
0.041328,0.9037
0.040651,0.8954
0.039995,0.8976
0.03936,0.9014
0.038745,0.907
0.038149,0.9105
0.037571,0.9158
0.03701,0.9181
0.036466,0.9205
0.035937,0.9255
0.035424,0.9302
0.034925,0.9341
0.03444,0.9344
0.033968,0.9349
0.033509,0.9357
0.033062,0.9379
0.032627,0.9406
0.032204,0.9421
0.031791,0.9394
0.031388,0.9358
0.030996,0.9344
0.030613,0.9327
0.03024,0.9308
0.029876,0.9308
0.02952,0.9264
0.029173,0.9249
0.028834,0.9213
0.028502,0.9206
0.028178,0.92
0.027862,0.9229
0.027552,0.9232
0.027249,0.9255
0.026953,0.9266
0.026663,0.9264
0.02638,0.9265
0.026102,0.9249
0.02583,0.9215
0.025564,0.917
0.025303,0.9194
0.025047,0.9256
0.024797,0.9294
0.024551,0.9322
0.024311,0.9307
0.024075,0.9307
0.023843,0.9295
0.023616,0.9309
0.023393,0.9315
0.023175,0.9294
0.02296,0.9281
0.022749,0.9278
0.022543,0.9286
0.022339,0.9306
0.02214,0.9323
0.021944,0.9312
0.021752,0.9317
0.021562,0.9322
0.021377,0.9317
0.021194,0.9301
0.021014,0.9268
0.020838,0.9243
0.020664,0.9231
0.020493,0.9227
0.020325,0.9224
0.02016,0.9242
0.019997,0.9306
0.019837,0.9333
0.01968,0.9344
0.019525,0.935
0.019373,0.934
0.019222,0.9322
0.019074,0.9326
0.018929,0.9347
0.018785,0.9358
0.018644,0.9357
0.018505,0.9351
0.018368,0.935
0.018233,0.9365
0.0181,0.9376
0.017969,0.9386
0.017839,0.9391
0.017712,0.939
0.017586,0.9396

wl,k
2.479684,16.718
1.653123,10.1284
1.239842,5.542
0.991874,4.586
0.826561,6.5156
0.708481,6.9879
0.619921,7.0555
0.551041,6.4093
0.495937,5.7195
0.450852,5.1361
0.413281,4.6479
0.38149,4.2345
0.354241,3.8798
0.330625,3.5716
0.30996,3.3023
0.291728,3.0675
0.27552,2.8509
0.261019,2.6531
0.247968,2.4711
0.225426,2.1477
0.20664,1.8691
0.190745,1.6116
0.17712,1.3219
0.165312,1.1361
0.15498,1.0316
0.145864,0.9376
0.13776,0.9046
0.13051,0.8755
0.123984,0.8291
0.11808,0.8196
0.112713,0.7698
0.107812,0.6978
0.10332,0.6286
0.099187,0.5467
0.095372,0.4881
0.09184,0.4691
0.08856,0.4536
0.085506,0.4273
0.082656,0.4081
0.07999,0.3945
0.07749,0.3874
0.075142,0.3889
0.072932,0.4113
0.070848,0.4298
0.06888,0.4214
0.067018,0.3979
0.065255,0.3536
0.063582,0.29
0.061992,0.2445
0.06048,0.2141
0.05904,0.1996
0.057667,0.1975
0.056356,0.1884
0.055104,0.18
0.053906,0.1765
0.052759,0.1862
0.05166,0.2058
0.050606,0.2282
0.049594,0.2431
0.048621,0.2428
0.047686,0.2369
0.046786,0.2181
0.04592,0.2014
0.045085,0.184
0.04428,0.1577
0.043503,0.1368
0.042753,0.1345
0.042029,0.1501
0.041328,0.1632
0.040651,0.1541
0.039995,0.1471
0.03936,0.1398
0.038745,0.1367
0.038149,0.134
0.037571,0.1332
0.03701,0.1302
0.036466,0.1315
0.035937,0.1248
0.035424,0.1279
0.034925,0.1285
0.03444,0.1311
0.033968,0.1305
0.033509,0.1283
0.033062,0.129
0.032627,0.1292
0.032204,0.1327
0.031791,0.1357
0.031388,0.1368
0.030996,0.1343
0.030613,0.134
0.03024,0.1321
0.029876,0.1316
0.02952,0.1312
0.029173,0.1281
0.028834,0.1254
0.028502,0.1206
0.028178,0.1158
0.027862,0.1127
0.027552,0.111
0.027249,0.1075
0.026953,0.1079
0.026663,0.1063
0.02638,0.1069
0.026102,0.107
0.02583,0.1058
0.025564,0.0998
0.025303,0.0914
0.025047,0.0881
0.024797,0.0882
0.024551,0.0896
0.024311,0.0908
0.024075,0.0903
0.023843,0.0888
0.023616,0.087
0.023393,0.088
0.023175,0.0882
0.02296,0.0857
0.022749,0.0825
0.022543,0.0792
0.022339,0.0779
0.02214,0.0788
0.021944,0.0779
0.021752,0.0773
0.021562,0.0772
0.021377,0.0773
0.021194,0.0785
0.021014,0.0771
0.020838,0.0736
0.020664,0.071
0.020493,0.0661
0.020325,0.0618
0.02016,0.0557
0.019997,0.0543
0.019837,0.0557
0.01968,0.0557
0.019525,0.0572
0.019373,0.0573
0.019222,0.0552
0.019074,0.0531
0.018929,0.0508
0.018785,0.0513
0.018644,0.0508
0.018505,0.0497
0.018368,0.0476
0.018233,0.0459
0.0181,0.0448
0.017969,0.0442
0.017839,0.0437
0.017712,0.0426
0.017586,0.042
