wl,n,k
0.185,1.0003386117704,0.0
0.2002,1.0003239127992,0.0
0.2153,1.0003145521507,0.0
0.2305,1.0003077980675,0.0
0.2456,1.0003027187674,0.0
0.2608,1.0002987123421,0.0
0.2759,1.0002955163033,0.0
0.2911,1.0002928832998,0.0
0.3062,1.0002907097615,0.0
0.3214,1.0002888682972,0.0
0.3365,1.0002873119261,0.0
0.3517,1.0002859664133,0.0
0.3668,1.0002848089941,0.0
0.382,1.0002837927203,0.0
0.3971,1.0002829063353,0.0
0.4123,1.000282118321,0.0
0.4274,1.0002814232627,0.0
0.4426,1.0002807990045,0.0
0.4577,1.0002802432244,0.0
0.4729,1.0002797397643,0.0
0.488,1.0002792879775,0.0
0.5032,1.0002788757201,0.0
0.5183,1.0002785032566,0.0
0.5335,1.0002781612283,0.0
0.5486,1.0002778503863,0.0
0.5638,1.0002775633635,0.0
0.5789,1.0002773011558,0.0
0.5941,1.0002770578576,0.0
0.6092,1.0002768345708,0.0
0.6244,1.0002766264864,0.0
0.6395,1.000276434732,0.0
0.6547,1.0002762553375,0.0
0.6698,1.0002760894109,0.0
0.685,1.0002759336346,0.0
0.7001,1.0002757890721,0.0
0.7153,1.0002756529214,0.0
0.7304,1.0002755261883,0.0
0.7456,1.000275406484,0.0
0.7607,1.0002752947509,0.0
0.7759,1.000275188935,0.0
0.791,1.0002750899148,0.0
0.8062,1.0002749959102,0.0
0.8213,1.0002749077372,0.0
0.8365,1.0002748238425,0.0
0.8516,1.0002747449825,0.0
0.8668,1.0002746697931,0.0
0.8819,1.0002745989747,0.0
0.8971,1.0002745313225,0.0
0.9122,1.0002744674848,0.0
0.9274,1.000274406392,0.0
0.9425,1.0002743486439,0.0
0.9577,1.0002742932865,0.0
0.9728,1.0002742408754,0.0
0.988,1.0002741905553,0.0
1.003,1.0002741431501,0.0
1.018,1.0002740978493,0.0
1.033,1.0002740545298,0.0
1.049,1.0002740103776,0.0
1.064,1.0002739708,0.0
1.079,1.0002739328786,0.0
1.094,1.0002738965219,0.0
1.109,1.0002738616449,0.0
1.124,1.0002738281681,0.0
1.139,1.0002737960174,0.0
1.155,1.0002737631071,0.0
1.17,1.0002737334825,0.0
1.185,1.0002737049854,0.0
1.2,1.0002736775591,0.0
1.215,1.0002736511506,0.0
1.23,1.00027362571,0.0
1.246,1.0002735995874,0.0
1.261,1.0002735760019,0.0
1.276,1.0002735532494,0.0
1.291,1.0002735312911,0.0
1.306,1.0002735100903,0.0
1.321,1.0002734896125,0.0
1.336,1.0002734698252,0.0
1.352,1.0002734494452,0.0
1.367,1.0002734309894,0.0
1.382,1.0002734131351,0.0
1.397,1.0002733958562,0.0
1.412,1.0002733791284,0.0
1.427,1.0002733629285,0.0
1.442,1.0002733472343,0.0
1.458,1.0002733310279,0.0
1.473,1.0002733163142,0.0
1.488,1.0002733020456,0.0
1.503,1.0002732882043,0.0
1.518,1.0002732747734,0.0
1.533,1.0002732617368,0.0
1.549,1.0002732482486,0.0
1.564,1.0002732359793,0.0
1.579,1.0002732240596,0.0
1.594,1.0002732124765,0.0
1.609,1.0002732012173,0.0
1.624,1.00027319027,0.0
1.639,1.0002731796233,0.0
1.655,1.0002731685857,0.0
1.67,1.000273158526,0.0
1.685,1.0002731487349,0.0
1.7,1.0002731392029,0.0
