wl,n,k
0.20664,1.3317,1.9365
0.20767,1.3372,1.9529
0.2087,1.3429,1.9698
0.20975,1.3486,1.9872
0.21081,1.3545,2.0051
0.21188,1.3605,2.0236
0.21295,1.3666,2.0428
0.21404,1.3729,2.0626
0.21515,1.3794,2.0831
0.21626,1.3861,2.1043
0.21738,1.393,2.1264
0.21852,1.4002,2.1494
0.21967,1.4076,2.1733
0.22083,1.4154,2.1982
0.222,1.4236,2.2243
0.22318,1.4322,2.2515
0.22438,1.4412,2.28
0.22559,1.4509,2.3099
0.22681,1.4612,2.3413
0.22805,1.4723,2.3744
0.2293,1.4843,2.4092
0.23057,1.4974,2.446
0.23184,1.5117,2.4849
0.23314,1.5274,2.5261
0.23444,1.545,2.5698
0.23577,1.5646,2.6162
0.2371,1.5867,2.6654
0.23845,1.6118,2.7178
0.23982,1.6404,2.7736
0.2412,1.6734,2.8329
0.2426,1.7116,2.8958
0.24402,1.7561,2.9625
0.24545,1.8083,3.0328
0.2469,1.8697,3.1064
0.24837,1.9423,3.1828
0.24985,2.0283,3.2606
0.25135,2.1302,3.3379
0.25287,2.2504,3.4117
0.25441,2.3912,3.4775
0.25597,2.554,3.5293
0.25755,2.7379,3.559
0.25914,2.9389,3.558
0.26076,3.1487,3.518
0.26239,3.3545,3.4342
0.26405,3.5408,3.3077
0.26573,3.6939,3.1469
0.26743,3.8048,2.9656
0.26915,3.8722,2.7791
0.27089,3.9005,2.6005
0.27266,3.8979,2.4383
0.27445,3.8733,2.297
0.27626,3.8344,2.1772
0.2781,3.7877,2.078
0.27996,3.7377,1.9971
0.28185,3.6874,1.9319
0.28376,3.639,1.8801
0.2857,3.5938,1.8394
0.28766,3.5523,1.8079
0.28966,3.5151,1.7839
0.29168,3.4822,1.766
0.29372,3.4535,1.7533
0.2958,3.4291,1.7446
0.29791,3.4087,1.7394
0.30005,3.3922,1.7368
0.30222,3.3793,1.7366
0.30442,3.3698,1.7381
0.30665,3.3637,1.7412
0.30891,3.3608,1.7454
0.31121,3.3608,1.7505
0.31354,3.3637,1.7564
0.31591,3.3693,1.7628
0.31832,3.3776,1.7697
0.32076,3.3885,1.7768
0.32324,3.4019,1.7842
0.32576,3.4177,1.7916
0.32831,3.4361,1.799
0.33091,3.4569,1.8063
0.33355,3.4801,1.8134
0.33623,3.5058,1.8203
0.33896,3.5341,1.8269
0.34173,3.5649,1.8332
0.34454,3.5985,1.8389
0.34741,3.6348,1.8442
0.35032,3.6741,1.8489
0.35328,3.7165,1.8528
0.35629,3.7622,1.856
0.35935,3.8115,1.8584
0.36246,3.8647,1.8597
0.36563,3.9221,1.8599
0.36886,3.9843,1.8588
0.37214,4.0515,1.8564
0.37548,4.1243,1.8524
0.37888,4.2032,1.8469
0.38235,4.2881,1.8399
0.38588,4.3784,1.8318
0.38947,4.4713,1.824
0.39313,4.5599,1.8191
0.39686,4.6314,1.822
0.40066,4.8394,2.2327
0.40454,4.6848,1.9013
0.40849,4.5609,1.6943
0.41252,4.4394,1.5217
0.41663,4.3225,1.3621
0.42082,4.2127,1.2066
0.4251,4.111,1.0506
0.42947,4.018,0.89159
0.43392,3.9525,0.82218
0.43847,3.902,0.80147
0.44312,3.8552,0.77974
0.44786,3.8119,0.75712
0.45271,3.7716,0.73374
0.45767,3.734,0.70974
0.46273,3.699,0.68525
0.46791,3.6663,0.66038
0.4732,3.6357,0.63525
0.47862,3.6071,0.61
0.48416,3.5803,0.58475
0.48983,3.5553,0.55961
0.49564,3.5319,0.53472
0.50158,3.5101,0.51021
0.50767,3.4897,0.48622
0.51391,3.4708,0.46291
0.5203,3.4533,0.44041
0.52686,3.4371,0.41889
0.53358,3.4223,0.39853
0.54048,3.4086,0.37949
0.54756,3.3962,0.36196
0.55482,3.385,0.34615
0.56228,3.375,0.33227
0.56994,3.3661,0.32052
0.57782,3.3583,0.31117
0.58591,3.3517,0.30444
0.59424,3.3462,0.3006
0.60281,3.3418,0.29994
0.61162,3.3385,0.30161
0.6207,3.3361,0.30314
0.63005,3.3345,0.30441
0.63969,3.3337,0.30536
0.64963,3.3338,0.30597
0.65988,3.3347,0.30618
0.67046,3.3365,0.30593
0.68138,3.3392,0.30515
0.69267,3.3428,0.30376
0.70433,3.3473,0.30166
0.7164,3.3528,0.29875
0.72889,3.3593,0.29487
0.74182,3.3668,0.28985
0.75521,3.3754,0.28346
0.7691,3.3851,0.27543
0.78351,3.3959,0.26535
0.79847,3.4079,0.25265
0.81402,3.4211,0.23645
0.83018,3.4355,0.21507
0.84699,3.4512,0.18372
0.8645,3.4393,0.14227
0.88275,3.4373,0.12046
0.90179,3.4419,0.086742
0.92166,3.4137,0.0069603
0.94243,3.3591,0.0068642
0.96416,3.3293,0.0067188
0.98691,3.3068,0.0065603
1.0108,3.2883,0.0063959
1.0358,3.2724,0.0062284
1.0621,3.2583,0.0060593
1.0898,3.2457,0.0058897
1.119,3.2342,0.0057201
1.1497,3.2237,0.0055508
1.1822,3.214,0.0053822
1.2166,3.2049,0.0052145
1.2531,3.1965,0.0050476
1.2918,3.1887,0.0048818
1.3329,3.1813,0.0047171
1.3768,3.1744,0.0045535
1.4237,3.1679,0.0043911
1.4739,3.1617,0.0042297
1.5277,3.1559,0.0040696
1.5857,3.1505,0.0039105
1.6482,3.1453,0.0037526
1.7158,3.1404,0.0035957
1.7892,3.1358,0.0034399
1.8692,3.1315,0.0032851
1.9566,3.1274,0.0031313
2.0527,3.1236,0.0029784
2.1586,3.12,0.0028264
2.2761,3.1166,0.0026753
2.4071,3.1134,0.002525
2.5541,3.1105,0.0023755
2.7203,3.1077,0.0022267
2.9095,3.1051,0.0020787
3.1271,3.1028,0.0019312
3.3798,3.1006,0.0017844
3.677,3.0986,0.0016382
4.0315,3.0967,0.0014924
4.4616,3.0951,0.0013471
4.9945,3.0936,0.0012023
5.6719,3.0923,0.0010578
6.5619,3.0912,0.00091368
7.7832,3.0902,0.00076983
9.5631,3.0894,0.00062623
12.398,3.0888,0.00048282
