wl,n,k
0.3,1.8403,0.19634
0.305,1.8293,0.19345
0.31,1.8179,0.19401
0.315,1.8074,0.19875
0.32,1.7997,0.20771
0.325,1.7968,0.21992
0.33,1.8001,0.23328
0.335,1.8099,0.24512
0.34,1.825,0.25284
0.345,1.8434,0.25473
0.35,1.8625,0.25023
0.355,1.8798,0.23991
0.36,1.8938,0.22516
0.365,1.9034,0.20768
0.37,1.9086,0.18918
0.375,1.9096,0.17108
0.38,1.9074,0.1544
0.385,1.9027,0.13971
0.39,1.8964,0.12725
0.395,1.8894,0.11698
0.4,1.8821,0.10866
0.405,1.8749,0.102
0.41,1.8681,0.096667
0.415,1.8619,0.092362
0.42,1.8562,0.088828
0.425,1.851,0.08586
0.43,1.8463,0.083303
0.435,1.8421,0.081043
0.44,1.8383,0.078999
0.445,1.8347,0.077117
0.45,1.8315,0.075357
0.455,1.8285,0.073695
0.46,1.8257,0.072114
0.465,1.8231,0.070603
0.47,1.8206,0.069153
0.475,1.8182,0.067759
0.48,1.816,0.066416
0.485,1.8139,0.065123
0.49,1.8119,0.063875
0.495,1.8099,0.062671
0.5,1.8081,0.061508
0.505,1.8063,0.060384
0.51,1.8046,0.059299
0.515,1.8029,0.05825
0.52,1.8013,0.057235
0.525,1.7998,0.056254
0.53,1.7983,0.055304
0.535,1.7969,0.054385
0.54,1.7955,0.053495
0.545,1.7942,0.052632
0.55,1.7929,0.051797
0.555,1.7916,0.050988
0.56,1.7904,0.050203
0.565,1.7892,0.049442
0.57,1.7881,0.048704
0.575,1.787,0.047987
0.58,1.7859,0.047292
0.585,1.7848,0.046617
0.59,1.7838,0.045961
0.595,1.7828,0.045324
0.6,1.7818,0.044705
0.605,1.7809,0.044104
0.61,1.78,0.043519
0.615,1.7791,0.04295
0.62,1.7782,0.042397
0.625,1.7773,0.041858
0.63,1.7765,0.041334
0.635,1.7757,0.040824
0.64,1.7749,0.040327
0.645,1.7741,0.039843
0.65,1.7734,0.039372
0.655,1.7727,0.038913
0.66,1.7719,0.038465
0.665,1.7712,0.038029
0.67,1.7706,0.037603
0.675,1.7699,0.037188
0.68,1.7692,0.036783
0.685,1.7686,0.036388
0.69,1.768,0.036002
0.695,1.7674,0.035626
0.7,1.7668,0.035259
0.705,1.7662,0.0349
0.71,1.7656,0.034549
0.715,1.7651,0.034207
0.72,1.7645,0.033872
0.725,1.764,0.033545
0.73,1.7635,0.033226
0.735,1.7629,0.032913
0.74,1.7624,0.032608
0.745,1.7619,0.032309
0.75,1.7615,0.032017
0.755,1.761,0.031731
0.76,1.7605,0.031451
0.765,1.7601,0.031177
0.77,1.7596,0.030909
0.775,1.7592,0.030647
0.78,1.7588,0.03039
0.785,1.7583,0.030139
0.79,1.7579,0.029893
0.795,1.7575,0.029651
0.8,1.7571,0.029415
0.805,1.7567,0.029183
0.81,1.7564,0.028956
0.815,1.756,0.028734
0.82,1.7556,0.028516
0.825,1.7553,0.028302
