wl,n
61.992,77.15
61.65,76.792
61.311,76.435
60.973,76.078
60.637,75.722
60.302,75.367
59.97,75.013
59.639,74.659
59.311,74.306
58.984,73.953
58.659,73.602
58.335,73.251
58.014,72.9
57.694,72.551
57.376,72.202
57.06,71.854
56.745,71.506
56.433,71.16
56.122,70.813
55.812,70.468
55.505,70.123
55.199,69.78
54.894,69.436
54.592,69.094
54.291,68.752
53.992,68.411
53.694,68.071
53.398,67.731
53.104,67.392
52.811,67.054
52.52,66.716
52.231,66.38
51.943,66.044
51.657,65.708
51.372,65.374
51.089,65.04
50.807,64.707
50.527,64.375
50.249,64.043
49.972,63.712
49.696,63.382
49.422,63.053
49.15,62.724
48.879,62.396
48.61,62.069
48.342,61.742
48.075,61.417
47.81,61.092
47.547,60.768
47.285,60.444
47.024,60.122
46.765,59.8
46.507,59.479
46.251,59.159
45.996,58.839
45.742,58.52
45.49,58.202
45.239,57.885
44.99,57.569
44.742,57.253
44.495,56.938
44.25,56.624
44.006,56.311
43.764,55.998
43.523,55.687
43.283,55.376
43.044,55.066
42.807,54.756
42.571,54.448
42.336,54.14
42.103,53.833
41.871,53.527
41.64,53.222
41.411,52.918
41.182,52.614
40.955,52.312
40.73,52.01
40.505,51.709
40.282,51.409
40.06,51.109
39.839,50.811
39.619,50.513
39.401,50.216
39.184,49.92
38.968,49.625
38.753,49.331
38.54,49.038
38.327,48.745
38.116,48.454
37.906,48.163
37.697,47.873
37.489,47.584
37.282,47.296
37.077,47.009
36.873,46.723
36.669,46.437
36.467,46.153
36.266,45.869
36.066,45.586
35.868,45.305
35.67,45.024
35.473,44.744
35.278,44.465
35.083,44.187
34.89,43.91
34.698,43.634
34.506,43.358
34.316,43.084
34.127,42.811
33.939,42.538
33.752,42.267
33.566,41.996
33.381,41.726
33.197,41.458
33.014,41.19
32.832,40.923
32.651,40.658
32.471,40.393
32.292,40.129
32.114,39.866
31.937,39.604
31.761,39.344
31.586,39.084
31.412,38.825
31.239,38.567
31.067,38.31
30.895,38.054
30.725,37.8
30.556,37.546
30.387,37.293
30.22,37.041
30.053,36.79
29.888,36.54
29.723,36.292
29.559,36.044
29.396,35.797
29.234,35.552
29.073,35.307
28.913,35.063
28.753,34.821
28.595,34.579
28.437,34.339
28.281,34.099
28.125,33.861
27.97,33.624
27.816,33.387
27.662,33.152
27.51,32.918
27.358,32.685
27.207,32.453
27.057,32.222
26.908,31.992
26.76,31.763
26.612,31.535
26.466,31.309
26.32,31.083
26.175,30.858
26.031,30.635
25.887,30.413
25.744,30.191
25.602,29.971
25.461,29.752
25.321,29.534
25.181,29.317
25.043,29.101
24.905,28.887
24.767,28.673
24.631,28.46
24.495,28.249
24.36,28.038
24.226,27.829
24.092,27.621
23.96,27.414
23.827,27.208
23.696,27.003
23.566,26.799
23.436,26.597
23.306,26.395
23.178,26.195
23.05,25.995
22.923,25.797
22.797,25.6
22.671,25.404
22.546,25.209
22.422,25.015
22.298,24.822
22.175,24.631
22.053,24.44
21.932,24.251
21.811,24.063
21.691,23.875
21.571,23.689
21.452,23.504
21.334,23.32
21.216,23.138
21.099,22.956
20.983,22.775
20.867,22.596
20.752,22.418
20.638,22.24
20.524,22.064
20.411,21.889
20.299,21.715
20.187,21.542
20.076,21.37
19.965,21.2
19.855,21.03
19.745,20.862
19.637,20.694
19.528,20.528
19.421,20.363
19.314,20.198
19.207,20.035
19.101,19.873
18.996,19.712
18.891,19.553
18.787,19.394
18.684,19.236
18.581,19.08
18.478,18.924
18.376,18.77
18.275,18.616
18.174,18.464
18.074,18.312
17.975,18.162
17.876,18.013
17.777,17.865
17.679,17.718
17.582,17.572
17.485,17.427
17.388,17.283
17.292,17.14
17.197,16.998
17.102,16.857
17.008,16.717
16.914,16.579
16.821,16.441
16.728,16.304
16.636,16.168
16.545,16.034
16.453,15.9
16.363,15.767
16.272,15.636
16.183,15.505
16.094,15.375
16.005,15.246
15.917,15.119
15.829,14.992
15.742,14.866
15.655,14.742
15.569,14.618
15.483,14.495
15.398,14.373
15.313,14.252
15.228,14.132
15.144,14.013
15.061,13.895
14.978,13.778
14.895,13.662
14.813,13.547
14.732,13.433
14.65,13.32
14.57,13.207
14.489,13.096
14.409,12.985
14.33,12.876
14.251,12.767
14.172,12.659
14.094,12.552
14.017,12.446
13.939,12.341
13.863,12.237
13.786,12.134
13.71,12.031
13.635,11.93
13.559,11.829
13.485,11.73
13.41,11.631
13.336,11.533
13.263,11.435
13.19,11.339
13.117,11.244
13.045,11.149
12.973,11.055
12.901,10.962
12.83,10.87
12.76,10.779
12.689,10.688
12.619,10.598
12.55,10.51
12.481,10.422
12.412,10.334
12.343,10.248
12.275,10.162
12.208,10.077
12.14,9.9932
12.074,9.9099
12.007,9.8274
11.941,9.7457
11.875,9.6647
11.81,9.5845
11.744,9.505
11.68,9.4263
11.615,9.3483
11.551,9.2711
11.488,9.1946
11.424,9.1189
11.361,9.0439
11.299,8.9696
11.237,8.896
11.175,8.8232
11.113,8.751
11.052,8.6796
10.991,8.6089
10.93,8.5389
10.87,8.4696
10.81,8.4009
10.75,8.333
10.691,8.2657
10.632,8.1991
10.574,8.1332
10.515,8.0679
10.457,8.0034
10.4,7.9394
10.343,7.8762
10.286,7.8135
10.229,7.7516
10.172,7.6902
10.116,7.6295
10.061,7.5695
10.005,7.51
9.95,7.4512
9.8952,7.393
9.8406,7.3354
9.7864,7.2785
9.7325,7.2221
9.6788,7.1664
9.6255,7.1112
9.5724,7.0566
9.5196,7.0027
9.4672,6.9493
9.415,6.8965
9.3631,6.8442
9.3115,6.7926
9.2602,6.7415
9.2091,6.691
9.1584,6.641
9.1079,6.5916
9.0577,6.5428
9.0078,6.4945
8.9581,6.4467
8.9088,6.3995
8.8596,6.3528
8.8108,6.3067
8.7623,6.2611
8.714,6.216
8.6659,6.1714
8.6182,6.1273
8.5707,6.0838
8.5234,6.0408
8.4764,5.9983
8.4297,5.9562
8.3833,5.9147
8.3371,5.8737
8.2911,5.8331
8.2454,5.7931
8.2,5.7535
8.1548,5.7144
8.1098,5.6758
8.0651,5.6377
8.0207,5.6
7.9765,5.5628
7.9325,5.526
7.8888,5.4897
7.8453,5.4539
7.802,5.4185
7.759,5.3836
7.7163,5.3491
7.6738,5.315
7.6315,5.2814
7.5894,5.2482
7.5476,5.2154
7.506,5.1831
7.4646,5.1512
7.4234,5.1197
7.3825,5.0886
7.3418,5.0579
7.3014,5.0277
7.2611,4.9978
7.2211,4.9684
7.1813,4.9393
7.1417,4.9107
7.1024,4.8824
7.0632,4.8545
7.0243,4.827
6.9856,4.7999
6.9471,4.7732
6.9088,4.7468
6.8707,4.7209
6.8328,4.6953
6.7952,4.67
6.7577,4.6452
6.7205,4.6206
6.6834,4.5965
6.6466,4.5727
6.61,4.5492
6.5735,4.5261
6.5373,4.5034
6.5013,4.481
6.4654,4.4589
6.4298,4.4372
6.3944,4.4158
6.3591,4.3947
6.3241,4.374
6.2892,4.3536
6.2545,4.3335
6.2201,4.3137
6.1858,4.2942
6.1517,4.2751
6.1178,4.2563
6.0841,4.2378
6.0505,4.2195
6.0172,4.2016
5.984,4.184
5.951,4.1667
5.9182,4.1497
5.8856,4.133
5.8532,4.1166
5.8209,4.1004
5.7888,4.0846
5.7569,4.069
5.7252,4.0537
5.6936,4.0387
5.6622,4.0239
5.631,4.0094
5.6,3.9952
5.5691,3.9813
5.5384,3.9676
5.5079,3.9542
5.4776,3.9411
5.4474,3.9282
5.4173,3.9155
5.3875,3.9032
5.3578,3.891
5.3283,3.8791
5.2989,3.8675
5.2697,3.8561
5.2406,3.8449
5.2118,3.834
5.183,3.8233
5.1545,3.8128
5.126,3.8026
5.0978,3.7926
5.0697,3.7829
5.0418,3.7733
5.014,3.764
4.9863,3.7549
4.9588,3.746
4.9315,3.7373
4.9043,3.7289
4.8773,3.7206
4.8504,3.7126
4.8237,3.7048
4.7971,3.6971
4.7707,3.6897
4.7444,3.6825
4.7182,3.6755
4.6922,3.6686
4.6663,3.662
4.6406,3.6555
4.615,3.6493
4.5896,3.6432
4.5643,3.6373
4.5392,3.6316
4.5141,3.6261
4.4893,3.6208
4.4645,3.6156
4.4399,3.6106
4.4154,3.6058
4.3911,3.6012
4.3669,3.5967
4.3428,3.5924
4.3189,3.5883
4.2951,3.5843
4.2714,3.5805
4.2479,3.5769
4.2245,3.5734
4.2012,3.5701
4.178,3.5669
4.155,3.5639
4.1321,3.561
4.1093,3.5583
4.0867,3.5557
4.0641,3.5533
4.0417,3.551
4.0195,3.5488
3.9973,3.5468
3.9753,3.545
3.9534,3.5433
3.9316,3.5417
3.9099,3.5402
3.8884,3.5389
3.8669,3.5377
3.8456,3.5367
3.8244,3.5357
3.8033,3.5349
3.7824,3.5342
3.7615,3.5337
3.7408,3.5332
3.7202,3.5329
3.6997,3.5327
3.6793,3.5326
3.659,3.5327
3.6388,3.5328
3.6188,3.5331
3.5988,3.5335
3.579,3.5339
3.5593,3.5345
3.5396,3.5352
3.5201,3.536
3.5007,3.5369
3.4814,3.5379
3.4623,3.539
3.4432,3.5403
3.4242,3.5416
3.4053,3.543
3.3865,3.5445
3.3679,3.5461
3.3493,3.5478
3.3309,3.5495
3.3125,3.5514
3.2942,3.5534
3.2761,3.5554
3.258,3.5576
3.2401,3.5598
3.2222,3.5621
3.2045,3.5645
3.1868,3.5669
3.1692,3.5695
3.1518,3.5721
3.1344,3.5749
3.1171,3.5776
3.0999,3.5805
3.0828,3.5835
3.0659,3.5865
3.049,3.5896
3.0321,3.5927
3.0154,3.596
2.9988,3.5993
2.9823,3.6027
2.9658,3.6061
2.9495,3.6096
2.9332,3.6132
2.9171,3.6169
2.901,3.6206
2.885,3.6244
2.8691,3.6282
2.8533,3.6321
2.8376,3.6361
2.8219,3.6401
2.8064,3.6442
2.7909,3.6483
2.7755,3.6526
2.7602,3.6568
2.745,3.6611
2.7299,3.6655
2.7148,3.6699
2.6999,3.6744
2.685,3.679
2.6702,3.6835
2.6555,3.6882
2.6408,3.6929
2.6263,3.6976
2.6118,3.7024
2.5974,3.7073
