wl,n
2.479684,3.0091
1.653123,3.003
1.239842,3.1843
0.991874,3.1711
0.826561,3.1729
0.708481,3.2476
0.619921,3.3029
0.551041,3.4027
0.495937,3.4938
0.450852,3.2526
0.413281,2.8893
0.38149,2.4265
0.354241,1.9628
0.330625,1.4322
0.30996,1.1942
0.291728,1.0611
0.27552,1.0517
0.261019,1.1804
0.247968,1.1812
0.225426,1.0219
0.20664,1.1864
0.190745,1.4834
0.17712,0.9378
0.165312,0.7778
0.15498,0.7709
0.145864,1.0254
0.13776,1.1988
0.13051,1.2701
0.123984,1.1693
0.11808,1.0469
0.112713,1.0176
0.107812,1.0775
0.10332,1.0613
0.099187,1.0058
0.095372,0.9481
0.09184,0.9044
0.08856,0.8719
0.085506,0.8431
0.082656,0.8224
0.07999,0.8152
0.07749,0.8188
0.075142,0.8304
0.072932,0.8512
0.070848,0.8858
0.06888,0.9261
0.067018,0.965
0.065255,0.9494
0.063582,0.8871
0.061992,0.8659
0.06048,0.8371
0.05904,0.7836
0.057667,0.7298
0.056356,0.7024
0.055104,0.6732
0.053906,0.6539
0.052759,0.6676
0.05166,0.6938
0.050606,0.6974
0.049594,0.7431
0.048621,0.7258
0.047686,0.7041
0.046786,0.6949
0.04592,0.7259
0.045085,0.7418
0.04428,0.766
0.043503,0.7455
0.042753,0.7712
0.042029,0.7824
0.041328,0.785
0.040651,0.7964
0.039995,0.7962
0.03936,0.7972
0.038745,0.7968
0.038149,0.8162
0.037571,0.8228
0.03701,0.8374
0.036466,0.8483
0.035937,0.8425
0.035424,0.8458
0.034925,0.8538
0.03444,0.8608
0.033968,0.8645
0.033509,0.8683
0.033062,0.8783
0.032627,0.8824
0.032204,0.8765
0.031791,0.8703
0.031388,0.8758
0.030996,0.876
0.030613,0.8805
0.03024,0.8899
0.029876,0.8969
0.02952,0.9004
0.029173,0.9075
0.028834,0.9155
0.028502,0.9207
0.028178,0.932
0.027862,0.9392
0.027552,0.9509
0.027249,0.9632
0.026953,0.9748
0.026663,0.9819
0.02638,0.9919
0.026102,1.0023
0.02583,1.0169
0.025564,1.0328
0.025303,1.0538
0.025047,1.0782
0.024797,1.1097
0.024551,1.1533
0.024311,1.2229
0.024075,1.3256
0.023843,1.4159
0.023616,1.431
0.023393,1.2885
0.023175,0.955
0.02296,0.6535
0.022749,0.5395
0.022543,0.5782
0.022339,0.6179
0.02214,0.6493
0.021944,0.6754
0.021752,0.7011
0.021562,0.7243
0.021377,0.7464
0.021194,0.7656
0.021014,0.7914
0.020838,0.8265
0.020664,0.8789
0.020493,0.8285
0.020325,0.8504
0.02016,0.8494
0.019997,0.8292
0.019837,0.8297
0.01968,0.8371
0.019525,0.8401
0.019373,0.8392
0.019222,0.8415
0.019074,0.8432
0.018929,0.8422
0.018785,0.8415
0.018644,0.8433
0.018505,0.8469
0.018368,0.8512
0.018233,0.8574
0.0181,0.8611
0.017969,0.8598
0.017839,0.862
0.017712,0.86
0.017586,0.8631

wl,k
2.479684,11.4101
1.653123,7.322
1.239842,5.6415
0.991874,4.7039
0.826561,4.079
0.708481,3.6546
0.619921,3.4538
0.551041,3.3585
0.495937,3.5324
0.450852,3.79
0.413281,3.975
0.38149,3.9832
0.354241,3.9857
0.330625,3.6584
0.30996,3.2461
0.291728,2.8759
0.27552,2.532
0.261019,2.3542
0.247968,2.2655
0.225426,2.0125
0.20664,1.5108
0.190745,2.0571
0.17712,1.9518
0.165312,1.6168
0.15498,1.2693
0.145864,1.0181
0.13776,1.0923
0.13051,1.1735
0.123984,1.2815
0.11808,1.2236
0.112713,1.1178
0.107812,1.084
0.10332,1.0911
0.099187,1.1016
0.095372,1.0737
0.09184,1.0266
0.08856,0.9789
0.085506,0.9305
0.082656,0.8749
0.07999,0.8182
0.07749,0.7664
0.075142,0.7208
0.072932,0.6808
0.070848,0.6508
0.06888,0.6479
0.067018,0.6762
0.065255,0.7283
0.063582,0.7429
0.061992,0.7299
0.06048,0.734
0.05904,0.7389
0.057667,0.6954
0.056356,0.6506
0.055104,0.6076
0.053906,0.5483
0.052759,0.4876
0.05166,0.4576
0.050606,0.4223
0.049594,0.4077
0.048621,0.4299
0.047686,0.4034
0.046786,0.3547
0.04592,0.33
0.045085,0.302
0.04428,0.3094
0.043503,0.2945
0.042753,0.2678
0.042029,0.2722
0.041328,0.2573
0.040651,0.2555
0.039995,0.2468
0.03936,0.244
0.038745,0.219
0.038149,0.2077
0.037571,0.1999
0.03701,0.1929
0.036466,0.2039
0.035937,0.1946
0.035424,0.188
0.034925,0.1786
0.03444,0.1789
0.033968,0.1741
0.033509,0.1699
0.033062,0.1657
0.032627,0.1723
0.032204,0.174
0.031791,0.1626
0.031388,0.1547
0.030996,0.1461
0.030613,0.1352
0.03024,0.1298
0.029876,0.1243
0.02952,0.1211
0.029173,0.1124
0.028834,0.1103
0.028502,0.1032
0.028178,0.0982
0.027862,0.0953
0.027552,0.0904
0.027249,0.0882
0.026953,0.0908
0.026663,0.0906
0.02638,0.0892
0.026102,0.0868
0.02583,0.0836
0.025564,0.0818
0.025303,0.0807
0.025047,0.0807
0.024797,0.0807
0.024551,0.0845
0.024311,0.0916
0.024075,0.1709
0.023843,0.2896
0.023616,0.529
0.023393,0.7171
0.023175,0.9602
0.02296,0.655
0.022749,0.5301
0.022543,0.3623
0.022339,0.2824
0.02214,0.2295
0.021944,0.1903
0.021752,0.1598
0.021562,0.1367
0.021377,0.1186
0.021194,0.1006
0.021014,0.0853
0.020838,0.078
0.020664,0.124
0.020493,0.1201
0.020325,0.1058
0.02016,0.143
0.019997,0.129
0.019837,0.1157
0.01968,0.1081
0.019525,0.1083
0.019373,0.1061
0.019222,0.101
0.019074,0.0996
0.018929,0.0962
0.018785,0.0903
0.018644,0.0848
0.018505,0.0785
0.018368,0.074
0.018233,0.0711
0.0181,0.0737
0.017969,0.0721
0.017839,0.0708
0.017712,0.068
0.017586,0.0631
