wl,n
12.398,3.4094
9.5631,3.4102
7.7832,3.4113
6.5619,3.4125
5.6719,3.414
4.9945,3.4158
4.4616,3.4177
4.0315,3.42
3.677,3.4225
3.3798,3.4252
3.1271,3.4283
2.9095,3.4317
2.7203,3.4354
2.5541,3.4396
2.4071,3.4442
2.2761,3.4492
2.1586,3.4549
2.0527,3.4614
1.9566,3.4688
1.8692,3.4776
1.7892,3.4886
1.7158,3.5041
1.6482,3.5455
1.5857,3.5356
1.5277,3.5276
1.4739,3.5211
1.4237,3.5162
1.3768,3.5127
1.3329,3.5106
1.2918,3.5098
1.2531,3.5106
1.2166,3.5137
1.1822,3.5223
1.1497,3.5201
1.119,3.5187
1.0898,3.5182
1.0621,3.5184
1.0358,3.5194
1.0108,3.5212
0.98691,3.5238
0.96416,3.5271
0.94243,3.5312
0.92166,3.536
0.90179,3.5415
0.88275,3.5477
0.8645,3.5546
0.84699,3.5622
0.83018,3.5705
0.81402,3.5794
0.79847,3.5891
0.78351,3.5994
0.7691,3.6104
0.75521,3.622
0.74182,3.6344
0.72889,3.6475
0.7164,3.6613
0.70433,3.6758
0.69267,3.6911
0.68138,3.7071
0.67046,3.724
0.65988,3.7416
0.64963,3.7601
0.63969,3.7795
0.63005,3.7999
0.6207,3.8212
0.61162,3.8436
0.60281,3.867
0.59424,3.8917
0.58591,3.9176
0.57782,3.945
0.56994,3.9738
0.56228,4.0042
0.55482,4.0363
0.54756,4.0703
0.54048,4.1062
0.53358,4.1443
0.52686,4.1844
0.5203,4.2264
0.51391,4.2935
0.50767,4.3682
0.50158,4.4463
0.49564,4.5265
0.48983,4.6092
0.48416,4.7107
0.47862,4.5909
0.4732,4.5746
0.46791,4.549
0.46273,4.5191
0.45767,4.4891
0.45271,4.4611
0.44786,4.4364
0.44312,4.4163
0.43847,4.416
0.43392,4.3832
0.42947,4.33
0.4251,4.2758
0.42082,4.2222
0.41663,4.1705
0.41252,4.1216
0.40849,4.0756
0.40454,4.0328
0.40066,3.9931
0.39686,3.9564
0.39313,3.9226
0.38947,3.8916
0.38588,3.8632
0.38235,3.8374
0.37888,3.8139
0.37548,3.7928
0.37214,3.774
0.36886,3.7573
0.36563,3.7426
0.36246,3.73
0.35935,3.7194
0.35629,3.7106
0.35328,3.7036
0.35032,3.6983
0.34741,3.6947
0.34454,3.6928
0.34173,3.6923
0.33896,3.6932
0.33623,3.6955
0.33355,3.6989
0.33091,3.7034
0.32831,3.7087
0.32576,3.7146
0.32324,3.721
0.32076,3.7275
0.31832,3.7338
0.31591,3.7395
0.31354,3.7442
0.31121,3.7473
0.30891,3.7484
0.30665,3.7467
0.30442,3.7417
0.30222,3.7325
0.30005,3.7185
0.29791,3.6989
0.2958,3.673
0.29372,3.6402
0.29168,3.6
0.28966,3.5522
0.28766,3.4967
0.2857,3.4336
0.28376,3.3636
0.28185,3.2873
0.27996,3.2056
0.2781,3.1197
