wl,n
1.0,1.30612675
0.99844,1.30890062
0.99688,1.31166526
0.99532,1.31442054
0.99376,1.31716652
0.9922,1.31990345
0.99063,1.32263121
0.98907,1.32535001
0.98751,1.32805977
0.98595,1.33076069
0.98439,1.33345283
0.98283,1.33613592
0.98126,1.33881051
0.9797,1.34147616
0.97814,1.34413341
0.97658,1.34678183
0.97502,1.3494218
0.97345,1.35205337
0.97189,1.35467642
0.97033,1.35729102
0.96876,1.35989737
0.9672,1.36249535
0.96564,1.36508519
0.96407,1.36766677
0.96251,1.3702403
0.96095,1.37280567
0.95938,1.37536292
0.95782,1.37791226
0.95625,1.38045359
0.95469,1.3829871
0.95313,1.38551268
0.95156,1.38803054
0.95,1.39054056
0.94843,1.39304279
0.94687,1.39553728
0.9453,1.39802422
0.94374,1.40050366
0.94217,1.40297548
0.94061,1.40543973
0.93904,1.40789645
0.93747,1.41034584
0.93591,1.41278793
0.93434,1.41522247
0.93278,1.4176498
0.93121,1.42006996
0.92964,1.42248269
0.92808,1.42488832
0.92651,1.42728691
0.92494,1.42967833
0.92338,1.43206263
0.92181,1.43443985
0.92024,1.43681018
0.91867,1.43917349
0.91711,1.44152984
0.91554,1.4438794
0.91397,1.44622207
0.9124,1.44855788
0.91083,1.45088702
0.90927,1.45320938
0.9077,1.45552498
0.90613,1.45783403
0.90456,1.46013639
0.90299,1.46243212
0.90142,1.46472124
0.89986,1.46700393
0.89829,1.46928009
0.89672,1.47154989
0.89515,1.47381308
0.89358,1.47606997
0.89201,1.47832047
0.89044,1.48056461
0.88887,1.48280255
0.8873,1.48503419
0.88573,1.48725957
0.88416,1.48947884
0.88259,1.49169178
0.88102,1.49389869
0.87945,1.49609946
0.87788,1.49829426
0.87631,1.50048286
0.87474,1.50266554
0.87316,1.50484221
0.87159,1.50701291
0.87002,1.50917778
0.86845,1.51133674
0.86688,1.51348981
0.86531,1.51563702
0.86374,1.51777841
0.86216,1.51991412
0.86059,1.52204394
0.85902,1.52416815
0.85745,1.52628665
0.85588,1.5283996
0.8543,1.53050677
0.85273,1.53260845
0.85116,1.53470454
0.84959,1.53679506
0.84801,1.53888004
0.84644,1.54095952
0.84487,1.54303365
0.84329,1.54510232
0.84172,1.54716545
0.84015,1.54922331
0.83857,1.55127592
0.837,1.55332308
0.83543,1.55536492
0.83385,1.5574016
0.83228,1.55943302
0.8307,1.56145909
0.82913,1.56348008
0.82755,1.5654959
0.82598,1.56750669
0.82441,1.56951223
0.82283,1.57151268
0.82126,1.57350819
0.81968,1.57549865
0.81811,1.57748403
0.81653,1.57946449
0.81496,1.58143992
0.81338,1.58341053
0.81181,1.58537618
0.81023,1.58733694
0.80865,1.5892929
0.80708,1.59124402
0.8055,1.59319034
0.80393,1.59513188
0.80235,1.59706866
0.80077,1.59900072
0.7992,1.60092812
0.79762,1.60285079
0.79605,1.60476887
0.79447,1.60668231
0.79289,1.60859115
0.79132,1.61049542
0.78974,1.61239513
0.78816,1.61429032
0.78659,1.616181
0.78501,1.61806727
0.78343,1.61994902
0.78185,1.62182635
0.78028,1.62369934
0.7787,1.62556789
0.77712,1.62743215
0.77554,1.62929203
0.77396,1.6311476
0.77239,1.63299896
0.77081,1.634846
0.76923,1.63668888
0.76765,1.6385275
0.76607,1.640362
0.7645,1.64219229
0.76292,1.64401852
0.76134,1.64584058
0.75976,1.64765857
0.75818,1.64947257
0.7566,1.65128248
0.75502,1.65308839
0.75344,1.65489032
0.75186,1.65668831
0.75029,1.65848237
0.74871,1.66027247
0.74713,1.66205875
0.74555,1.66384113
0.74397,1.66561973
0.74239,1.66739449
0.74081,1.66916546
0.73923,1.67093269
0.73765,1.6726962
0.73607,1.67445601
0.73449,1.67621209
0.73291,1.67796452
0.73133,1.67971339
0.72975,1.68145861
0.72817,1.6832002
0.72659,1.6849383
0.725,1.68667284
0.72342,1.68840388
0.72184,1.69013145
0.72026,1.69185559
0.71868,1.69357632
0.7171,1.6952936
0.71552,1.69700752
0.71394,1.69871811
0.71236,1.70042535
0.71077,1.7021293
0.70919,1.70383
0.70761,1.70552747
0.70603,1.70722169
0.70445,1.70891274
0.70287,1.71060065
0.70128,1.71228538
0.6997,1.71396708
0.69812,1.71564562
0.69654,1.71732118
0.69495,1.71899368
0.69337,1.7206632
0.69179,1.72232972
0.69021,1.72399333
0.68862,1.72565404
0.68704,1.72731184
0.68546,1.72896681
0.68388,1.73061898
0.68229,1.73226832
0.68071,1.73391492
0.67913,1.73555875
0.67754,1.7371999
0.67596,1.7388384
0.67438,1.74047422
0.67279,1.7421074
0.67121,1.74373807
0.66963,1.74536611
0.66804,1.74699171
0.66646,1.74861478
0.66488,1.75023537
0.66329,1.75185356
0.66171,1.75346933
0.66012,1.75508276
0.65854,1.75669389
0.65696,1.7583027
0.65537,1.75990922
0.65379,1.76151354
0.6522,1.76311564
0.65062,1.76471561
0.64903,1.76631342
0.64745,1.76790917
0.64586,1.76950285
0.64428,1.77109453
0.64269,1.77268421
0.64111,1.77427191
0.63952,1.77585774
0.63794,1.77744167
0.63635,1.77902379
0.63477,1.78060409
0.63318,1.78218266
0.6316,1.78375948
0.63001,1.78533461
0.62843,1.78690807
0.62684,1.78847996
0.62526,1.79005032
0.62367,1.79161909
0.62209,1.79318641
0.6205,1.79475232
0.61891,1.79631676
0.61733,1.79787989
0.61574,1.79944173
0.61416,1.80100225
0.61257,1.80256157
0.61098,1.8041197
0.6094,1.80567673
0.60781,1.80723261
0.60623,1.80878748
0.60464,1.81034139
0.60305,1.8118943
0.60147,1.81344635
0.59988,1.81499753
0.59829,1.81654791
0.59671,1.81809757
0.59512,1.81964647
0.59353,1.82119477
0.59195,1.82274246
0.59036,1.82428966
0.58877,1.8258363
0.58718,1.82738256
0.5856,1.82892843
0.58401,1.83047397
0.58242,1.83201924
0.58084,1.8335643
0.57925,1.83510926
0.57766,1.83665412
0.57607,1.8381989
0.57449,1.83974377
0.5729,1.84128872
0.57131,1.84283388
0.56972,1.84437921
0.56814,1.84592483
0.56655,1.84747086
0.56496,1.84901726
0.56337,1.8505642
0.56178,1.8521117
0.5602,1.85365978
0.55861,1.85520862
0.55702,1.85675824
0.55543,1.85830872
0.55384,1.85986012
0.55226,1.86141254
0.55067,1.86296604
0.54908,1.86452071
0.54749,1.86607663
0.5459,1.86763388
0.54431,1.86919254
0.54273,1.87075271
0.54114,1.87231447
0.53955,1.87387791
