wl,n
12.398,3.0888
9.5631,3.0894
7.7832,3.0902
6.5619,3.0912
5.6719,3.0923
4.9945,3.0936
4.4616,3.0951
4.0315,3.0967
3.677,3.0986
3.3798,3.1006
3.1271,3.1028
2.9095,3.1051
2.7203,3.1077
2.5541,3.1105
2.4071,3.1134
2.2761,3.1166
2.1586,3.12
2.0527,3.1236
1.9566,3.1274
1.8692,3.1315
1.7892,3.1358
1.7158,3.1404
1.6482,3.1453
1.5857,3.1505
1.5277,3.1559
1.4739,3.1617
1.4237,3.1679
1.3768,3.1744
1.3329,3.1813
1.2918,3.1887
1.2531,3.1965
1.2166,3.2049
1.1822,3.214
1.1497,3.2237
1.119,3.2342
1.0898,3.2457
1.0621,3.2583
1.0358,3.2724
1.0108,3.2883
0.98691,3.3068
0.96416,3.3293
0.94243,3.3591
0.92166,3.4137
0.90179,3.4419
0.88275,3.4373
0.8645,3.4393
0.84699,3.4512
0.83018,3.4355
0.81402,3.4211
0.79847,3.4079
0.78351,3.3959
0.7691,3.3851
0.75521,3.3754
0.74182,3.3668
0.72889,3.3593
0.7164,3.3528
0.70433,3.3473
0.69267,3.3428
0.68138,3.3392
0.67046,3.3365
0.65988,3.3347
0.64963,3.3338
0.63969,3.3337
0.63005,3.3345
0.6207,3.3361
0.61162,3.3385
0.60281,3.3418
0.59424,3.3462
0.58591,3.3517
0.57782,3.3583
0.56994,3.3661
0.56228,3.375
0.55482,3.385
0.54756,3.3962
0.54048,3.4086
0.53358,3.4223
0.52686,3.4371
0.5203,3.4533
0.51391,3.4708
0.50767,3.4897
0.50158,3.5101
0.49564,3.5319
0.48983,3.5553
0.48416,3.5803
0.47862,3.6071
0.4732,3.6357
0.46791,3.6663
0.46273,3.699
0.45767,3.734
0.45271,3.7716
0.44786,3.8119
0.44312,3.8552
0.43847,3.902
0.43392,3.9525
0.42947,4.018
0.4251,4.111
0.42082,4.2127
0.41663,4.3225
0.41252,4.4394
0.40849,4.5609
0.40454,4.6848
0.40066,4.8394
0.39686,4.6314
0.39313,4.5599
0.38947,4.4713
0.38588,4.3784
0.38235,4.2881
0.37888,4.2032
0.37548,4.1243
0.37214,4.0515
0.36886,3.9843
0.36563,3.9221
0.36246,3.8647
0.35935,3.8115
0.35629,3.7622
0.35328,3.7165
0.35032,3.6741
0.34741,3.6348
0.34454,3.5985
0.34173,3.5649
0.33896,3.5341
0.33623,3.5058
0.33355,3.4801
0.33091,3.4569
0.32831,3.4361
0.32576,3.4177
0.32324,3.4019
0.32076,3.3885
0.31832,3.3776
0.31591,3.3693
0.31354,3.3637
0.31121,3.3608
0.30891,3.3608
0.30665,3.3637
0.30442,3.3698
0.30222,3.3793
0.30005,3.3922
0.29791,3.4087
0.2958,3.4291
0.29372,3.4535
0.29168,3.4822
0.28966,3.5151
0.28766,3.5523
0.2857,3.5938
0.28376,3.639
0.28185,3.6874
0.27996,3.7377
0.2781,3.7877
0.27626,3.8344
0.27445,3.8733
0.27266,3.8979
0.27089,3.9005
0.26915,3.8722
0.26743,3.8048
0.26573,3.6939
0.26405,3.5408
0.26239,3.3545
0.26076,3.1487
0.25914,2.9389
0.25755,2.7379
0.25597,2.554
0.25441,2.3912
0.25287,2.2504
0.25135,2.1302
0.24985,2.0283
0.24837,1.9423
0.2469,1.8697
0.24545,1.8083
0.24402,1.7561
0.2426,1.7116
0.2412,1.6734
0.23982,1.6404
0.23845,1.6118
0.2371,1.5867
0.23577,1.5646
0.23444,1.545
0.23314,1.5274
0.23184,1.5117
0.23057,1.4974
0.2293,1.4843
0.22805,1.4723
0.22681,1.4612
0.22559,1.4509
0.22438,1.4412
0.22318,1.4322
0.222,1.4236
0.22083,1.4154
0.21967,1.4076
0.21852,1.4002
0.21738,1.393
0.21626,1.3861
0.21515,1.3794
0.21404,1.3729
0.21295,1.3666
0.21188,1.3605
0.21081,1.3545
0.20975,1.3486
0.2087,1.3429
0.20767,1.3372
0.20664,1.3317

wl,k
12.398,0.00048282
9.5631,0.00062623
7.7832,0.00076983
6.5619,0.00091368
5.6719,0.0010578
4.9945,0.0012023
4.4616,0.0013471
4.0315,0.0014924
3.677,0.0016382
3.3798,0.0017844
3.1271,0.0019312
2.9095,0.0020787
2.7203,0.0022267
2.5541,0.0023755
2.4071,0.002525
2.2761,0.0026753
2.1586,0.0028264
2.0527,0.0029784
1.9566,0.0031313
1.8692,0.0032851
1.7892,0.0034399
1.7158,0.0035957
1.6482,0.0037526
1.5857,0.0039105
1.5277,0.0040696
1.4739,0.0042297
1.4237,0.0043911
1.3768,0.0045535
1.3329,0.0047171
1.2918,0.0048818
1.2531,0.0050476
1.2166,0.0052145
1.1822,0.0053822
1.1497,0.0055508
1.119,0.0057201
1.0898,0.0058897
1.0621,0.0060593
1.0358,0.0062284
1.0108,0.0063959
0.98691,0.0065603
0.96416,0.0067188
0.94243,0.0068642
0.92166,0.0069603
0.90179,0.086742
0.88275,0.12046
0.8645,0.14227
0.84699,0.18372
0.83018,0.21507
0.81402,0.23645
0.79847,0.25265
0.78351,0.26535
0.7691,0.27543
0.75521,0.28346
0.74182,0.28985
0.72889,0.29487
0.7164,0.29875
0.70433,0.30166
0.69267,0.30376
0.68138,0.30515
0.67046,0.30593
0.65988,0.30618
0.64963,0.30597
0.63969,0.30536
0.63005,0.30441
0.6207,0.30314
0.61162,0.30161
0.60281,0.29994
0.59424,0.3006
0.58591,0.30444
0.57782,0.31117
0.56994,0.32052
0.56228,0.33227
0.55482,0.34615
0.54756,0.36196
0.54048,0.37949
0.53358,0.39853
0.52686,0.41889
0.5203,0.44041
0.51391,0.46291
0.50767,0.48622
0.50158,0.51021
0.49564,0.53472
0.48983,0.55961
0.48416,0.58475
0.47862,0.61
0.4732,0.63525
0.46791,0.66038
0.46273,0.68525
0.45767,0.70974
0.45271,0.73374
0.44786,0.75712
0.44312,0.77974
0.43847,0.80147
0.43392,0.82218
0.42947,0.89159
0.4251,1.0506
0.42082,1.2066
0.41663,1.3621
0.41252,1.5217
0.40849,1.6943
0.40454,1.9013
0.40066,2.2327
0.39686,1.822
0.39313,1.8191
0.38947,1.824
0.38588,1.8318
0.38235,1.8399
0.37888,1.8469
0.37548,1.8524
0.37214,1.8564
0.36886,1.8588
0.36563,1.8599
0.36246,1.8597
0.35935,1.8584
0.35629,1.856
0.35328,1.8528
0.35032,1.8489
0.34741,1.8442
0.34454,1.8389
0.34173,1.8332
0.33896,1.8269
0.33623,1.8203
0.33355,1.8134
0.33091,1.8063
0.32831,1.799
0.32576,1.7916
0.32324,1.7842
0.32076,1.7768
0.31832,1.7697
0.31591,1.7628
0.31354,1.7564
0.31121,1.7505
0.30891,1.7454
0.30665,1.7412
0.30442,1.7381
