wl,n
55.5556,21.069
50.0,21.611
45.4545,21.347
41.6667,20.879
38.4615,20.304
35.7143,19.77
33.3333,19.208
31.25,18.674
29.4118,18.153
27.7778,17.651
26.3158,17.206
25.0,16.804
23.8095,16.462
22.7273,16.197
21.7391,15.949
20.8333,15.686
20.0,15.455
19.2308,15.246
18.5185,15.064
17.8571,14.888
17.2414,14.719
16.6667,14.574
16.129,14.434
15.625,14.307
15.1515,14.2
14.7059,14.104
14.2857,14.023
13.8889,13.934
13.5135,13.839
13.1579,13.746
12.8205,13.637
12.5,13.52
12.1951,13.404
11.9048,13.295
11.6279,13.197
11.3636,13.103
11.1111,13.018
10.8696,12.915
10.6383,12.814
10.4167,12.722
10.2041,12.615
10.0,12.524
9.8039,12.421
9.6154,12.322
9.434,12.231
9.2593,12.13
9.0909,12.031
8.9286,11.941
8.7719,11.851
8.6207,11.76
8.4746,11.666
8.3333,11.564
8.1967,11.467
8.0645,11.382
7.9365,11.297
7.8125,11.222
7.6923,11.141
7.5758,11.059
7.4627,10.99
7.3529,10.907
7.2464,10.834
7.1429,10.762
7.0423,10.683
6.9444,10.61
6.8493,10.551
6.7568,10.485
6.6667,10.418
6.5789,10.352
6.4935,10.279
6.4103,10.221
6.3291,10.154
6.25,10.094
6.1728,10.03
6.0976,9.964
6.0241,9.899
5.9524,9.836
5.8824,9.78
5.814,9.723
5.7471,9.667
5.6818,9.61
5.618,9.555
5.5556,9.5
5.4945,9.438
5.4348,9.385
5.3763,9.329
5.3191,9.27
5.2632,9.22
5.2083,9.172
5.1546,9.119
5.102,9.067
5.0505,9.02
5.0,8.969
4.9505,8.925
4.902,8.877
4.8544,8.838
4.8077,8.793
4.7619,8.754
4.717,8.721
4.6729,8.69
4.6296,8.654
4.5872,8.622
4.5455,8.582
4.5045,8.546
4.4643,8.51
4.4248,8.477
4.386,8.434
4.3478,8.395
4.3103,8.355
4.2735,8.321
4.2373,8.282
4.2017,8.244
4.1667,8.207
4.1322,8.17
4.0984,8.132
4.065,8.094
4.0323,8.059
4.0,8.022
3.9683,7.988
3.937,7.954
3.9063,7.928
3.876,7.902
3.8462,7.874
3.8168,7.849
3.7879,7.817
3.7594,7.787
3.7313,7.757
3.7037,7.731
3.6765,7.7
3.6496,7.671
3.6232,7.644
3.5971,7.618
3.5714,7.593
3.5461,7.571
3.5211,7.547
3.4965,7.52
3.4722,7.492
3.4483,7.467
3.4247,7.441
3.4014,7.416
3.3784,7.396
3.3557,7.369
3.3333,7.349
3.3113,7.325
3.2895,7.3
3.268,7.277
3.2468,7.254
3.2258,7.228
3.2051,7.206
3.1847,7.184
3.1646,7.161
3.1447,7.139
3.125,7.113
3.1056,7.094
3.0864,7.074
3.0675,7.052
3.0488,7.033
3.0303,7.012
3.012,6.992
2.994,6.974
2.9762,6.956
2.9586,6.933
2.9412,6.913
2.924,6.894
2.907,6.876
2.8902,6.86
2.8736,6.837
2.8571,6.818
2.8409,6.796
2.8249,6.781
2.809,6.762
2.7933,6.742
2.7778,6.728
2.7624,6.711
2.7473,6.691
2.7322,6.676
2.7174,6.659
2.7027,6.642
2.6882,6.623
2.6738,6.607
2.6596,6.595
2.6455,6.578
2.6316,6.564
2.6178,6.549
