wl,n
131.7250957,3.5859895
119.7500878,3.5865417
108.8637143,3.5874411
98.9670177,3.5887093
89.97001543,3.5901008
81.79091881,3.5917547
74.35538252,3.593747
67.59580266,3.5961602
61.45072816,3.5990932
55.86429959,3.6026669
50.78572773,3.6070311
46.16884253,3.6123724
41.97167574,3.6189243
38.15606839,3.6269792
34.68733519,3.6369015
31.533941,3.6491383
28.66721876,3.6642137
26.06110824,3.6826639
23.69191662,3.7045798
21.53810572,3.7285879
20.0006755,3.7489348
19.52506889,3.7574033
19.0006416,3.7658243
18.5051026,3.7729841
18.00060789,3.7790996
17.58640956,3.7829862
17.00057412,3.7835975
16.53122499,3.7798015
16.0005404,3.7662598
15.49802343,3.7409355
15.00050669,3.6946039
14.00047283,3.5369359
13.62463598,3.4465978
13.33163306,3.3606458
13.00043904,3.2551831
12.78187499,3.1795631
12.5236553,3.0916214
12.00040491,2.9353617
11.69662146,2.8530882
11.37469609,2.7861427
11.00037161,2.7332841
10.73456168,2.7118315
10.41883928,2.7030056
10.00033775,2.7090113
9.686264643,2.7251472
9.392741472,2.7461517
9.049940689,2.7736254
8.731280805,2.8011358
8.377309962,2.831801
8.000270201,2.8636822
7.468926954,2.9051132
6.985195831,2.9390925
6.262265374,2.9802779
5.596839199,3.0129066
5.100478351,3.0345694
4.692441882,3.0505027
4.295547504,3.0649262
4.031624304,3.0742951
3.783916877,3.0828621
3.496580273,3.092332
2.976064527,3.1089715
2.620940933,3.1214891
2.318585853,3.1341906
2.091965336,3.1462222
1.896942515,3.1585844
1.748290137,3.1688938
1.498778544,3.1887812
1.311030739,3.2091931
1.165526725,3.2279197
1.04909367,3.2471036
0.95294772,3.2729617
0.946754729,3.2759563
0.940641712,3.2769431
0.934468713,3.2776645
0.928295714,3.2793021
0.922152706,3.2813677
0.916009653,3.2838174
0.909816695,3.284888
0.903713632,3.2845351
0.897550623,3.2854071
0.891357663,3.2867029
0.885234599,3.2883094
0.87908163,3.2915573
0.872878634,3.2939944
0.866775592,3.2949597
0.860572629,3.2960116
0.854449572,3.2977639
0.848306571,3.3006158
0.842133591,3.3036976
0.836000532,3.3054404
0.829837503,3.3067164
0.823654573,3.3088085
0.817511506,3.3106483
0.811348519,3.312627
0.805175519,3.3154559
0.799052483,3.3181924
0.792859539,3.3208871
0.786716523,3.3235731
0.780563476,3.3261336
0.77442045,3.3285119
0.76826747,3.3308213
0.762124441,3.3332146
0.75593145,3.3354128
0.749798435,3.3375157
0.743635438,3.3398461
0.737472418,3.3426017
0.731339397,3.3454166
0.725166404,3.3478155
0.719023392,3.35022
0.712860397,3.3526664
0.706677388,3.3549639
0.700514421,3.3575725
0.694391355,3.3605071
0.688218388,3.3633597
0.682075361,3.3659485
0.675892361,3.3685981
0.669759337,3.3714774
0.663586345,3.3745261
0.657453303,3.3776438
0.651300292,3.3806194
0.64512732,3.3833437
0.63896431,3.3864576
0.632831265,3.3901042
0.626648289,3.3935931
0.620495299,3.3966721
0.614342279,3.3995084
0.608179276,3.4024221
0.602036246,3.4056437
0.595893212,3.4087608
0.589740215,3.4116403
0.583567237,3.4146264
0.577414214,3.4178021
0.571261194,3.4210106
0.565108184,3.4241282
0.558945187,3.4272675
0.552782195,3.4304673
0.546629171,3.4336912
0.540476158,3.437019
0.534323144,3.4403908
0.52817015,3.4436978
0.521997144,3.4469546
0.515844145,3.450185
0.509691132,3.4533993
0.503538121,3.4565516
0.497385095,3.4597277
0.491232102,3.4629485
0.485079089,3.4662185
0.478926062,3.4696288
0.472763076,3.4728205
0.466600073,3.4754387
0.46043707,3.4780215
0.454294049,3.4812111
0.448131044,3.4849406
0.441988027,3.4888334
0.435825025,3.4928288
0.42967201,3.4969124
0.423518999,3.5013541
0.417346006,3.5066925
0.411192998,3.5127088
0.405039978,3.5189385
0.398876978,3.5254215
0.392733962,3.532574
0.386580948,3.5410021
0.380417954,3.5510396
0.37426494,3.5636482
0.36810194,3.5791865
0.36194892,3.5919315
0.355795913,3.5936786
0.349632913,3.5856439
0.343479899,3.5762999
0.337326888,3.5695972
0.331173878,3.5642136
0.325020863,3.5581008
0.318857862,3.5510013
0.31269486,3.544201
0.306541853,3.5370883
0.300388841,3.5280436
0.294225837,3.5171971
0.288072825,3.5039752
0.281919815,3.4851767
0.275766805,3.458462
0.269603805,3.4231566
0.263450793,3.3773939
0.257297781,3.3212387
0.251134778,3.2592396
0.244981768,3.1953921
0.238828757,3.1308859
0.232675743,3.0656025
0.226512744,2.9986569
0.220359729,2.9299705
0.214206718,2.8564306
0.20804372,2.7743042
0.201890706,2.6792912
0.195737693,2.5546254
0.19034382,2.4275135
0.184790127,2.3130627
0.179795801,2.2166503
0.174801474,2.1094467
0.169807145,1.997798
0.164812817,1.8868331
0.159818489,1.7774839
0.154824162,1.6717922
0.149030741,1.564155
0.137760208,1.3677286
0.12781875,1.1858477
0.119863867,1.0268995
0.113371244,0.88839747
0.108758059,0.79543533
0.104681107,0.7233664
0.100800152,0.64963031
0.097625344,0.58714863
0.094644418,0.53841536
0.09189563,0.50043575
0.089197257,0.47263116
0.086501757,0.45223234
0.083210864,0.4327285
0.079989798,0.4184842
0.077008812,0.41730209
0.073416619,0.42042534
0.070445561,0.42168082
0.067382711,0.42384595
0.064575098,0.42245526
0.061992094,0.42056808
0.059895743,0.42089596
0.058333748,0.44056609
0.05687348,0.47194511
0.055350084,0.50100953
0.053910821,0.53552479
0.052094196,0.57296097
0.050400076,0.59847603
0.048951653,0.62483006
0.04750352,0.65139108
0.046074556,0.67415448
0.044782512,0.69404695
0.043656404,0.71055038
0.042460338,0.72661559
0.041328062,0.74150533
0.041038659,0.74539018
0.040751285,0.74896221
0.040465923,0.75250731
0.040182558,0.75601435
0.039901182,0.75948444
0.039621771,0.76291772
0.039344314,0.76631349
0.039068808,0.76967063
0.038795226,0.77298332
0.038523564,0.77624562
0.038253796,0.77946052
0.037985925,0.78262709
0.037719926,0.785747
0.037455789,0.78882547
0.037193508,0.79186204
0.036933057,0.79485754
0.036674433,0.79781264
0.036417617,0.80072841
0.036162603,0.80360596
0.035909374,0.80644746
0.035657918,0.80925639
0.035408219,0.81203228
0.03516027,0.81476728
0.034914063,0.81745758
0.034669571,0.82009965
0.034426799,0.82269557
0.034185724,0.82525228
0.033946337,0.82776983
0.033708628,0.83024892
0.033472583,0.83269018
0.03323819,0.83509407
0.033005437,0.83746093
0.032774317,0.83979089
0.032544813,0.84208383
0.032316916,0.84433901
0.032090614,0.84655412
0.031865897,0.84872458
0.031642758,0.85085362
0.031421177,0.8529447
0.031201147,0.85500555
0.030982665,0.85705307
0.030765704,0.85909496
0.030550267,0.86112673
0.030336339,0.86314167
0.030123905,0.86513773
0.029912962,0.86711373
0.029703496,0.86906913
0.029495495,0.87100364
0.029288953,0.87291711
0.029083857,0.87480977
0.028880195,0.8766822
0.028677961,0.87853705
0.028477142,0.88036705
0.028277731,0.88217311
0.028079712,0.88396473
0.027883085,0.88574141
0.027687832,0.88750657
0.027493947,0.88926235
0.027301418,0.89099647
0.027110241,0.89269146
0.026920399,0.89434621
0.026731889,0.895969
0.026544698,0.8975648
0.026358819,0.89913613
0.02617424,0.90068736
0.025990951,0.90220966
0.025808949,0.90370378
0.025628224,0.90517999
0.02544876,0.90663604
0.025270554,0.90807204
0.025093597,0.90948845
0.024917878,0.91088575
0.024743389,0.91226446
0.024570122,0.91362513
0.024398068,0.91496839
0.024227221,0.916295
0.024057569,0.91760601
0.023889104,0.91890317
0.02372182,0.92019115
0.023555708,0.92146063
0.023390758,0.92271315
0.023226964,0.92395467
0.023064316,0.92517519
0.022902806,0.92637294
0.022742428,0.9275471
0.022583174,0.92869819
0.022425035,0.92982871
0.022268003,0.93094051
0.022112071,0.93203467
0.02195723,0.93311222
0.021803473,0.93417435
0.021650794,0.93522558
0.021499182,0.93625348
0.021348634,0.93725895
0.02119914,0.93825582
0.021050692,0.93924287
0.020903282,0.94022095
0.020756907,0.94118314
0.020611556,0.94212183
0.020467223,0.94303767
0.020323899,0.94393367
0.020181583,0.94481331
0.02004026,0.94568616
0.019899927,0.94654563
0.019760576,0.94739026
0.019622203,0.94822918
0.019484797,0.94905454
0.019348355,0.94986519
0.019212866,0.95066396
0.019078326,0.95144874
0.018944732,0.95221607
0.01881207,0.95297305
0.018680338,0.95372878
0.018549528,0.95448122
0.018419635,0.9552241
0.018290651,0.9559565
0.018162569,0.95668098
0.018035387,0.95739614
0.017909092,0.95809599
0.017783683,0.95877935
0.017659151,0.95945418
0.017535493,0.96012235
0.0174127,0.96078766
0.017290767,0.96145607
0.017169688,0.96212629
0.017049457,0.96279487
0.016930068,0.9634591
0.016811514,0.96411605
0.01669379,0.96476436
0.016576891,0.9654077
0.01646081,0.9660525
0.016345544,0.96670075
0.016231083,0.96735281
0.016117424,0.96800901
0.016004561,0.9686659
0.015892489,0.96932903
0.015781202,0.97000109
0.015670692,0.97067693
0.015560957,0.97134534
0.015451992,0.97200358
0.015343789,0.97266511
0.015236343,0.97332265
0.01512965,0.97396924
0.015023704,0.97461099
0.0149185,0.97525029
0.014814033,0.97588881
0.014710296,0.97653084
0.014607287,0.97717328
0.014504999,0.97780836
0.014403427,0.97843783
0.014302568,0.97906532
0.014202413,0.97969267
0.01410296,0.98032141
0.014004203,0.98095312
0.013906139,0.98158939
0.01380876,0.98223269
0.013712064,0.98288476
0.013616045,0.98354738
0.013520698,0.98422376
0.013426018,0.98491555
0.013332003,0.98562597
0.013238644,0.98636165
0.013145941,0.98713035
0.013053886,0.98794247
0.012962476,0.98881312
0.012871706,0.98976482
0.01278157,0.99083359
0.012692067,0.9920878
0.012603191,0.99367097
0.012514937,0.99618377
0.012427301,1.0002086
0.012340278,1.0013468
0.012253864,0.99654134
0.012168056,0.99282608
0.012082849,0.99240007
0.011998238,0.99232377
0.01191422,0.99299362
0.01183079,0.99414751
0.011747944,0.99528282
0.011665679,0.99564813
0.011583989,0.99538998
0.011502872,0.99520036
0.011422323,0.99500206
0.011342338,0.99494182
0.011262913,0.99511715
0.011184044,0.99521117
0.011105728,0.99516019
0.011027959,0.99507059
0.010950735,0.99505438
0.010874052,0.99518633
0.010797907,0.9953442
0.010722293,0.99537005
0.010647209,0.99523429
0.010572653,0.99489425
0.010498617,0.99441141
0.0104251,0.99388733
0.010352099,0.99348266
0.010279608,0.99318561
0.010207624,0.99284129
0.010136144,0.9924828
0.010065166,0.99216441
0.009994684,0.9919093
0.009924696,0.99170984
0.009855197,0.99153413
0.009786187,0.99136607
0.009717658,0.99123069
0.00964961,0.99108923
0.00958204,0.99091783
0.00951494,0.99069666
0.009448311,0.99036534
0.009382149,0.9899685
0.00931645,0.98948856
0.009251211,0.98902639
0.009186429,0.98875575
0.009122101,0.98872115
0.009058223,0.98884568
0.008994792,0.98904231
0.008931806,0.98922369
0.008869262,0.98933735
0.008807154,0.9893829
0.008745482,0.98941116
0.00868424,0.9895433
0.008623429,0.98967568
0.008563044,0.98972566
0.00850308,0.98972596
0.008443537,0.98969219
0.008384411,0.98964703
0.008325698,0.98959946
0.008267397,0.98965255
0.008209504,0.98973919
0.008152017,0.98953254
0.008094932,0.98920294
0.008038247,0.98917796
0.007981959,0.9894181
0.007926066,0.98964519
0.007870563,0.98980692
0.007815449,0.98988377
0.007760721,0.98991291
0.007706377,0.98995536
0.007652412,0.98992419
0.007598826,0.98982809
0.007545615,0.98968194
