wl,n
2.066,3.44
1.771,3.45
1.55,3.48
1.378,3.5
1.24,3.54
1.127,3.57
1.033,3.61
0.9538,3.68
0.8856,3.77
0.8266,3.86
0.7749,3.93
0.7293,4.01
0.6888,4.09
0.6526,4.17
0.6199,4.23
0.5636,4.36
0.5166,4.46
0.496,4.47
0.4769,4.49
0.4428,4.47
0.4133,4.38
0.3875,4.17
0.3647,3.9
0.3543,3.73
0.3444,3.55
0.3263,3.21
0.31,2.87
0.2952,2.56
0.2818,2.3
0.2695,2.07
0.2583,1.86
0.248,1.69
0.2254,1.35
0.2066,1.11
0.1907,0.951
0.1771,0.832
0.1653,0.735
0.155,0.66
0.1459,0.597
0.1378,0.543
0.1305,0.497
0.124,0.459
0.1181,0.423
0.1127,0.392
0.1078,0.363
0.1033,0.327

wl,k
2.066,0.0
1.771,0.0
1.55,0.0
1.378,0.0
1.24,0.0
1.127,0.0
1.033,0.0
0.9538,0.0
0.8856,0.0401
0.8266,0.0812
0.7749,0.136
0.7293,0.199
0.6888,0.271
0.6526,0.363
0.6199,0.461
0.5636,0.69
0.5166,0.969
0.496,1.12
0.4769,1.28
0.4428,1.64
0.4133,2.02
0.3875,2.38
0.3647,2.66
0.3543,2.79
0.3444,2.88
0.3263,3.0
0.31,3.06
0.2952,3.04
0.2818,2.99
0.2695,2.93
0.2583,2.85
0.248,2.76
0.2254,2.51
0.2066,2.28
0.1907,2.07
0.1771,1.89
0.1653,1.74
0.155,1.6
0.1459,1.47
0.1378,1.35
0.1305,1.24
0.124,1.14
0.1181,1.04
0.1127,0.946
0.1078,0.847
0.1033,0.726
